Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1955,Jun,,,Gallup,News Chron,,,,,,,,,,"Non-Gallup figures recaclulated to exclude ""don't know"" and rounded to nearest whole number where required"
,Jul,2-13,,Gallup,News Chron,47.0,,43.0,,9.0,,4.0,,,NOP figures only available for Lib + Other
,Aug,,,Gallup,News Chron,44.5,-2.5,47.5,4.5,7.0,-2.0,-3.0,-7.0,,
,Sep,9-19,,Gallup,News Chron,48.0,3.5,44.0,-3.5,7.0,0.0,4.0,7.0,,
,Oct,19-26,,Gallup,News Chron,46.5,-1.5,44.5,0.5,8.0,1.0,2.0,-2.0,,
,Dec,24-4,,Gallup,News Chron,44.5,-2.0,45.5,1.0,9.0,1.0,-1.0,-3.0,,
,Dec,17-30,,Gallup,News Chron,45.5,1.0,46.5,1.0,7.5,-1.5,-1.0,0.0,,
1956,Jan,14-26,,Gallup,News Chron,45.5,0.0,46.5,0.0,7.5,0.0,-1.0,0.0,,
,Feb,11-20,,Gallup,News Chron,44.0,-1.5,46.0,-0.5,9.0,1.5,-2.0,-1.0,,
,Apr,24-4,,Gallup,News Chron,44.5,0.5,47.5,1.5,7.0,-2.0,-3.0,-1.0,,
,Apr,20-29,,Gallup,News Chron,43.0,-1.5,48.0,0.5,8.0,1.0,-5.0,-2.0,,
,May,19-27,,Gallup,News Chron,43.0,0.0,47.0,-1.0,9.0,1.0,-4.0,1.0,,
,Jun,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,
,Jul,13-23,,Gallup,News Chron,42.0,,49.0,,8.0,,-7.0,,,
,Aug,16-24,,Gallup,News Chron,43.5,1.5,49.5,0.5,6.0,-2.0,-6.0,1.0,,
,Sep,7-18,,Gallup,News Chron,43.0,-0.5,46.5,-3.0,10.0,4.0,-3.5,2.5,,
,Oct,,,Gallup,News Chron,42.5,-0.5,47.0,0.5,9.5,-0.5,-4.5,-1.0,,
,Nov,10-11,,Gallup,News Chron,46.0,3.5,45.0,-2.0,8.0,-1.5,1.0,5.5,,
,Nov,22-25,,Gallup,News Chron,45.0,-1.0,46.0,1.0,8.5,0.8,-1.0,-2.0,,
,Dec,1-2,,Gallup,News Chron,45.0,0.0,46.0,0.0,8.0,-0.8,-1.0,0.0,,
1957,Jan,12-13,,Gallup,News Chron,43.5,-1.5,48.5,2.5,7.0,-1.0,-5.0,-4.0,,
,Feb,,,Gallup,News Chron,42.0,-1.5,48.0,-0.5,8.5,1.5,-6.0,-1.0,,
,Mar,15-22,,Gallup,News Chron,40.0,-2.0,51.5,3.5,7.5,-1.0,-11.5,-5.5,,
,Apr,12-16,,Gallup,News Chron,41.0,1.0,51.0,-0.5,7.0,-0.5,-10.0,1.5,,
,Jun,24-1,,Gallup,News Chron,41.5,0.5,50.0,-1.0,7.5,0.5,-8.5,1.5,,
,Jun,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,
,Jul,5-11,,Gallup,News Chron,41.5,,49.5,,8.0,,-8.0,,,
,Aug,16-27,,Gallup,News Chron,41.5,0.0,49.0,-0.5,8.5,0.5,-7.5,0.5,,
,Sep,29-10,,Gallup,News Chron,40.5,-1.0,48.5,-0.5,10.0,1.5,-8.0,-0.5,,
,Sep,19-25,,Gallup,News Chron,33.5,-7.0,52.0,3.5,14.0,4.0,-18.5,-10.5,,
,Oct,4-8,,Gallup,News Chron,37.0,3.5,49.0,-3.0,13.0,-1.0,-12.0,6.5,,
,Nov,2-6,,Gallup,News Chron,36.0,-1.0,48.5,-0.5,14.5,1.5,-12.5,-0.5,,
,Nov,22-26,,Gallup,News Chron,38.5,2.5,49.0,0.5,12.0,-2.5,-10.5,2.0,,
,Dec,,,Gallup,News Chron,41.5,3.0,47.5,-1.5,9.5,-2.5,-6.0,4.5,,
1958,Jan,17-23,,Gallup,News Chron,40.0,-1.5,47.5,0.0,12.0,2.5,-7.5,-1.5,,
,Feb,14-19,,Gallup,News Chron,36.0,-4.0,44.5,-3.0,18.5,6.5,-8.5,-1.0,,
,Mar,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,
,Apr,19-23,,Gallup,News Chron,38.0,,46.5,,15.0,,-8.5,,,
,May,3-7,,Gallup,News Chron,34.0,-4.0,47.0,0.5,19.0,4.0,-13.0,-4.5,,
,May,30-6,,Gallup,News Chron,39.0,5.0,45.5,-1.5,15.0,-4.0,-6.5,6.5,,
,Jun,20-25,,Gallup,News Chron,39.5,0.5,43.0,-2.5,17.0,2.0,-3.5,3.0,,
,Jul,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,
,Aug,1-6,,Gallup,News Chron,42.5,,42.0,,15.0,,0.5,,,
,Sep,19-23,,Gallup,News Chron,44.0,1.5,43.0,1.0,13.0,-2.0,1.0,0.5,,
,Oct,10-14,,Gallup,News Chron,45.5,1.5,41.5,-1.5,12.0,-1.0,4.0,3.0,,
,Nov,,,Gallup,News Chron,46.5,1.0,42.5,1.0,10.0,-2.0,4.0,0.0,,
,Dec,6-10,,Gallup,News Chron,47.0,0.5,42.5,0.0,9.5,-0.5,4.5,0.5,,
1959,Jan,10-14,,Gallup,News Chron,45.5,-1.5,45.0,2.5,8.5,-1.0,0.5,-4.0,,
,Jan,24-28,,Gallup,News Chron,44.5,-1.0,46.5,1.5,8.5,0.0,-2.0,-2.5,,
,Feb,,,Gallup,News Chron,43.0,-1.5,47.0,0.5,8.5,0.0,-4.0,-2.0,,
,Mar,13-18,,Gallup,News Chron,45.5,2.5,47.0,0.0,6.5,-2.0,-1.5,2.5,,
,Apr,10-15,,Gallup,News Chron,44.5,-1.0,44.0,-3.0,10.0,3.5,0.5,2.0,,
,May,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,
,Jun,6-10,,Gallup,News Chron,45.0,,43.5,,11.0,,1.5,,,
,Jul,4-7,,Gallup,News Chron,45.5,0.5,41.5,-2.0,12.5,1.5,4.0,2.5,,
,Jul,17-22,,Gallup,News Chron,46.0,0.5,42.0,0.5,11.0,-1.5,4.0,0.0,,
,Jul,23-27,,Gallup,News Chron,46.5,0.5,43.0,1.0,9.5,-1.5,3.5,-0.5,,
,Aug,7-12,,Gallup,News Chron,47.5,1.0,41.5,-1.5,10.0,0.5,6.0,2.5,,
,Sep,,8,Gallup,News Chron,48.3,,41.9,,9.3,,7.0,,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK"
,,-14,,NOP,DM,51.2,,42.9,,5.9,,8.3,,,
,,,15,,DE,50.8,,42.7,,5.9,,8.1,,,
,,,,Gallup,News Chron,50.5,3.0,43.5,2.0,5.5,-4.5,7.0,1.0,,
,,,17,Gallup,News Chron,50.6,,43.9,,4.9,,6.0,,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK"
,,-21,,NOP,DM,47.4,-3.8,43.5,0.6,9.1,3.2,3.9,-4.4,,
,,,22,,DE,51.1,0.3,43.0,0.3,5.4,-0.5,8.1,-1.0,,
,Sep,11-15,,Gallup,News Chron,49.0,-1.5,44.5,1.0,6.0,0.5,4.5,-2.5,,
,,,24,Gallup,News Chron,49.7,,44.8,,4.9,,5.0,,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK"
,,-28,,NOP,DM,47.8,0.4,45.6,2.1,5.6,-3.5,2.2,-1.7,,
,,29,,,DE,49.5,-1.6,44.5,1.5,5.5,0.1,5.0,-4.0,,
,Sep,25-28,,Gallup,News Chron,46.0,-3.0,46.5,2.0,7.0,1.0,-0.5,-5.0,,
,,,1,Gallup,News Chron,48.5,,46.6,,4.3,,1.0,,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK"
