Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
,Oct,29-2,,Gallup,News Chron,45.0,-1.0,47.0,0.5,7.5,0.5,-2.0,-1.5,,
,,,5,Gallup,News Chron,47.2,,47.2,,5.0,,0.0,,,"Poll from Butler GE book, via Stephen Fisher, recalculated to exclude DK"
,,-5,,NOP,DM,48.4,0.6,46.9,1.3,4.7,-0.9,1.5,-0.7,,
,,,6,,DE,49.7,0.2,46.2,1.7,3.5,-2.0,3.5,0.0,,
,Oct,1-4,,Forecasting Statistics,DT,49.0,,46.0,,5.0,,3.0,,,
,Oct,3-6,,Gallup,News Chron,46.5,1.5,47.5,0.5,5.5,-2.0,-1.0,1.0,,
,Oct,3-6,8,Gallup,News Chron,48.5,,46.5,,4.5,,2.0,,,
,Oct,2-5,8,NOP,DM,48.0,-0.4,44.1,-2.8,7.9,3.2,3.9,2.4,,
,,,8,,DE,49.1,-0.6,45.4,-0.8,5.0,1.5,3.7,0.0,,
,,,,,,,,,,,,,,,
,,,,Result,,48.8,,44.6,,6.0,,4.2,,,"Note: various poll figures rounded off to nearest half percent (?) - hence different figures from Hodder-Williams, p.25"
