Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Feb,24-1,5,Gallup,DT,32.0,-1.5,49.0,3.0,14.0,-1.5,,,-17.0,-4.5,
,Feb,,,G9000,,31.9,-1.1,47.4,-0.5,15.4,1.5,,,-15.5,-0.6,
,Mar,5-6,13,ICM,GU,34.0,-3.0,45.0,0.0,16.0,3.0,,,-11.0,-3.0,
,Mar,25-29,2,MORI,TT,32.0,-2.0,47.0,1.0,17.0,1.0,,,-15.0,-3.0,
,Mar,30-5,8,Gallup,DT,30.5,-1.5,49.0,0.0,15.5,1.5,,,-18.5,-1.5,
,Mar,,,G9000,,30.0,-1.9,48.3,0.9,15.8,0.4,,,-18.3,-2.8,
,Apr,2-3,7,ICM,GU,34.0,0.0,46.0,1.0,15.0,-1.0,,,-12.0,-1.0,
,Apr,22-26,30,MORI,TT,32.0,0.0,46.0,-1.0,20.0,3.0,,,-14.0,1.0,
,Apr,27-3,7,Gallup,DT,30.0,-0.5,47.0,-2.0,17.5,2.0,,,-17.0,1.5,
,Apr,,,G9000,,30.9,0.9,47.4,-0.9,16.0,0.2,,,-16.5,1.8,
,May,7-8,12,ICM,GU,29.0,-5.0,43.0,-3.0,23.0,8.0,,,-14.0,-2.0,
,May,20-24,28,MORI,TT,28.0,-4.0,44.0,-2.0,24.0,4.0,,,-16.0,-2.0,
,May,26-31,1,Gallup,DT,25.0,-5.0,49.0,2.0,23.0,5.5,,,-24.0,-7.0,
,May,,,G9000,,26.8,-4.1,44.2,-3.2,23.6,7.6,,,-17.4,-0.9,
,Jun,4-5,9,ICM,GU,27.0,-2.0,43.0,0.0,25.0,2.0,,,-16.0,2.0,
,Jun,11,13,NOP,IoS,27.0,,42.0,,26.0,,,,-15.0,,
,Jun,11-12,13,MORI,ST,29.0,1.0,44.0,0.0,22.0,-2.0,,,-15.0,1.0,
,Jun,24-28,2,MORI,TT,28.0,-1.0,46.0,2.0,23.0,1.0,,,-18.0,-3.0,
,Jun,30-5,9,Gallup,DT,24.5,-0.5,43.0,-6.0,26.5,3.5,,,-18.5,5.5,
,Jun,,,G9000,,24.2,-2.6,45.8,1.6,24.5,0.9,,,-21.6,-4.2,
,Jul,2-3,7,ICM,GU,28.0,1.0,42.0,-1.0,23.0,-2.0,,,-14.0,-2.0,
,Jul,,25,Gallup,Stel,31.0,6.5,46.0,3.0,20.0,-6.5,,,-15.0,3.5,
,Jul,22-26,29,MORI,TT,27.0,-7.0,44.0,0.0,25.0,7.0,,,-17.0,-7.0,
,Jul,23,25,MORI,ST,34.0,6.0,44.0,-2.0,18.0,-5.0,,,-10.0,8.0,
,Jul,28-2,6,Gallup,DT,23.0,-8.0,44.5,-1.5,27.0,7.0,,,-21.5,-6.5,
,Jul,30,1,MORI,TT,27.0,0.0,41.0,-3.0,28.0,3.0,,,-14.0,3.0,
,Jul,,,G9000,,25.4,1.2,44.7,-1.1,24.7,0.2,,,-19.3,2.3,
,Aug,6-7,12,ICM,GU,28.0,0.0,40.0,-2.0,28.0,5.0,,,-12.0,2.0,
,Aug,19-23,27,MORI,TT,28.0,1.0,42.0,1.0,25.0,-3.0,,,-14.0,0.0,
,Aug,,,G9000,,23.7,-1.7,42.9,-1.8,28.3,3.6,,,-19.2,0.1,
,Sep,2-6,,Gallup,DT,25.5,2.5,46.5,2.0,23.0,-4.0,,,-21.0,0.5,
,Sep,10-11,17,ICM,GU,27.0,-1.0,45.0,5.0,24.0,-4.0,,,-18.0,-6.0,
