Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Mar,27-1,5,Gallup,DT,26.0,3.0,55.5,-2.0,15.5,-0.5,,,-29.5,5.0,
,Mar,,,G9000,,23.9,-1.5,57.3,1.9,15.1,0.2,,,-33.4,-3.4,
,Apr,12-13,18,ICM,GU,29.0,-2.0,50.0,5.0,17.0,-3.0,,,-21.0,-7.0,
,Apr,19-22,25,MORI,TT,28.0,0.0,54.0,-3.0,14.0,1.0,,,-26.0,3.0,
,Apr,25,28,NOP,ST,29.0,0.0,51.0,-2.0,14.0,1.0,,,-22.0,2.0,
,Apr,27,,MORI,,29.0,1.0,54.0,0.0,13.0,-1.0,,,-25.0,1.0,
,Apr,,,G9000,,23.8,-0.1,57.2,-0.1,14.3,-0.8,,,-33.4,0.0,
,May,1-3,5,ICM,SE,31.0,2.0,45.0,-5.0,21.0,4.0,,,-14.0,7.0,
,May,1-6,10,Gallup,DT,24.5,-1.5,55.5,0.0,15.5,0.0,,,-31.0,-1.5,
,May,3-5,9,ICM,GU,28.0,-3.0,45.0,0.0,21.0,0.0,,,-17.0,-3.0,
,May,10-13,,MORI,,27.0,-2.0,56.0,2.0,13.0,0.0,,,-29.0,-4.0,
,May,16,19,NOP,ST,27.0,-2.0,52.0,1.0,17.0,3.0,,,-25.0,-3.0,
,May,23-26,30,MORI,TT,27.0,0.0,54.0,-2.0,15.0,2.0,,,-27.0,2.0,
,May,30-3,7,Gallup,DT,22.5,-2.0,57.0,1.5,16.0,0.5,,,-34.5,-3.5,
,May,31-2,4,ICM,GU,30.0,2.0,46.0,1.0,19.0,-2.0,,,-16.0,1.0,
,May,,,G9000,,24.3,0.5,54.8,-2.4,16.0,1.7,,,-30.5,2.9,
,Jun,5-6,5,ICM,GU,30.0,,46.0,,19.0,,,,-16.0,,Phone
,Jun,7-10,,MORI,,27.0,0.0,56.0,2.0,13.0,-2.0,,,-29.0,-2.0,
,Jun,20,23,NOP,ST,31.0,4.0,50.0,-2.0,15.0,-2.0,,,-19.0,6.0,
,Jun,21-24,27,MORI,TT,31.0,4.0,52.0,-4.0,12.0,-1.0,,,-21.0,8.0,
,Jun,27-1,4,Gallup,DT,26.0,3.5,54.5,-2.5,14.5,-1.5,,,-28.5,6.0,
,Jun,28-1,,MORI,,32.0,1.0,52.0,0.0,12.0,0.0,,,-20.0,1.0,
,Jun,,,G9000,,26.1,1.8,54.9,0.1,14.5,-1.5,,,-28.8,1.7,
,Jul,5-6,11,ICM,GU,30.0,0.0,45.0,-1.0,21.0,2.0,,,-15.0,1.0,Phone
,Jul,23-28,1,MORI,TT,29.0,-3.0,53.0,1.0,12.0,0.0,,,-24.0,-7.0,
,Jul,25,28,NOP,ST,31.0,0.0,48.0,-2.0,16.0,1.0,,,-17.0,2.0,
,Jul,31-5,9,Gallup,DT,25.0,-1.0,59.0,4.5,11.0,-3.5,,,-34.0,-5.5,
,Jul,,,G9000,,27.0,0.9,54.1,-0.8,14.0,-0.5,,,-27.1,1.7,
,Aug,2-3,7,ICM,GU,33.0,3.0,45.0,-1.0,19.0,0.0,,,-12.0,4.0,
,Aug,9-12,,MORI,,30.0,1.0,52.0,-1.0,13.0,1.0,,,-22.0,2.0,
,Aug,15,18,NOP,ST,30.0,-1.0,51.0,3.0,15.0,-1.0,,,-21.0,-4.0,
,Aug,20-25,29,MORI,TT,30.0,0.0,51.0,-1.0,13.0,0.0,,,-21.0,1.0,
,Aug,28-3,6,Gallup,DT,25.5,0.5,58.5,-0.5,11.0,0.0,,,-33.0,1.0,
,Aug,,,G9000,,26.9,-0.1,53.3,-0.8,13.8,-0.2,,,-26.4,0.7,
,Sep,6-7,13,ICM,GU,32.0,-1.0,47.0,2.0,16.0,-3.0,,,-15.0,-3.0,
,Sep,6-9,,MORI,,28.0,-2.0,56.0,5.0,12.0,-1.0,,,-28.0,-7.0,
,Sep,20-23,26,MORI,TT,29.0,1.0,52.0,-4.0,14.0,2.0,,,-23.0,5.0,
,Sep,19,22,NOP,ST,31.0,1.0,50.0,-1.0,14.0,-1.0,,,-19.0,2.0,
,Sep,18-24,30,Gallup,DT,27.0,1.5,54.0,-4.5,13.5,2.5,,,-27.0,6.0,
,Sep,26-1,5,Gallup,DT,27.5,0.5,52.0,-2.0,15.0,1.5,,,-24.5,2.5,
,Sep,,,G9000,,27.0,0.1,54.1,0.8,13.9,0.1,,,-27.1,-0.7,
,Oct,3,6,NOP,ST,29.0,-2.0,52.0,2.0,13.0,-1.0,,,-23.0,-4.0,
,Oct,3-4,5,Gallup,DT,24.0,-3.5,57.0,5.0,15.0,0.0,,,-33.0,-8.5,
,Oct,4-5,8,ICM,GU,31.0,-1.0,49.0,2.0,16.0,0.0,,,-18.0,-3.0,
,Oct,4-7,,MORI,,29.0,0.0,54.0,2.0,13.0,-1.0,,,-25.0,-2.0,
,Oct,11-14,,MORI,,30.0,1.0,53.0,-1.0,12.0,-1.0,,,-23.0,2.0,
,Oct,17,20,NOP,ST,33.0,4.0,47.0,-5.0,14.0,1.0,,,-14.0,9.0,
,Oct,18-21,,MORI,,27.0,,54.0,1.0,12.0,0.0,,,-27.0,,Phone
,Oct,25-28,31,MORI,TT,28.0,-2.0,56.0,3.0,12.0,0.0,,,-28.0,-5.0,
,Oct,30-1,,MORI,,30.0,3.0,54.0,0.0,12.0,0.0,,,-24.0,3.0,Phone
,Oct,30-5,8,Gallup,DT,28.0,4.0,55.0,-2.0,11.0,-4.0,,,-27.0,6.0,
,Oct,,,G9000,,25.8,-1.2,54.7,0.6,15.0,1.1,,,-28.9,-1.8,
,Nov,1-2,7,ICM,GU,34.0,3.0,47.0,-2.0,15.0,-1.0,,,-13.0,5.0,
,Nov,8-11,15,MORI,TT,33.0,5.0,50.0,-6.0,12.0,0.0,,,-17.0,11.0,
,Nov,14,17,NOP,ST,30.0,-3.0,50.0,3.0,15.0,1.0,,,-20.0,-6.0,
,Nov,27-29,,MORI,,30.0,-3.0,52.0,2.0,13.0,1.0,,,-22.0,-5.0,
,Nov,,,G9000,,25.8,0.0,55.8,1.1,12.6,-2.4,,,-30.0,-1.1,
,Nov,27-2,6,Gallup,DT,22.0,-6.0,59.0,4.0,12.0,1.0,,,-37.0,-10.0,
,Nov,29-1,3,ICM,GU,31.0,-3.0,50.0,3.0,15.0,0.0,,,-19.0,-6.0,
,Dec,6-9,12,MORI,TT,30.0,0.0,51.0,-1.0,13.0,0.0,2.0,,-21.0,1.0,
,Dec,12,15,NOP,ST,31.0,1.0,50.0,0.0,14.0,-1.0,1.0,,-19.0,1.0,
,Dec,,,Gallup,,28.5,,52.5,,11.5,,,,-24.0,,Change of methodology
,Dec,,,G9000,,30.5,,51.0,,12.7,,,,-20.5,,Change of methodology
1997,Jan,3-5,8,ICM,GU,31.0,0.0,48.0,-2.0,16.0,1.0,,,-17.0,2.0,
,Jan,11-15,17,Gallup,DT,32.5,4.0,50.5,-2.0,10.5,-1.0,,,-18.0,6.0,
,Jan,16,19,NOP,ST,32.0,1.0,49.0,-1.0,13.0,-1.0,1.0,0.0,-17.0,2.0,
,Jan,24-28,31,MORI,TT,30.0,0.0,55.0,4.0,11.0,-2.0,,,-25.0,-4.0,
,Jan,30-4,7,Gallup,DT,34.0,1.5,49.0,-1.5,12.0,1.5,1.0,,-15.0,3.0,
,Jan,31-2,4,ICM,GU,32.0,1.0,48.0,0.0,15.0,-1.0,,,-16.0,1.0,
,Jan,,,G9000,,33.0,2.5,50.5,-0.5,11.3,-1.4,1.3,,-17.5,3.0,
,Feb,13,16,NOP,ST,31.0,-1.0,49.0,0.0,13.0,0.0,,,-18.0,-1.0,
,Feb,21,25,NOP,Reuters,30.0,-1.0,50.0,1.0,14.0,1.0,2.0,,-20.0,2.0,
,Feb,21-24,27,MORI,TT,31.0,1.0,52.0,-3.0,11.0,0.0,2.0,,-21.0,4.0,
,Feb,28-2,4,ICM,GU,30.0,-2.0,48.0,0.0,16.0,1.0,,,-18.0,-2.0,
,Feb,28-4,7,Gallup,DT,28.0,-6.0,54.0,5.0,12.5,0.5,2.0,1.0,-26.0,-11.0,
,Feb,28-3,7,Harris,Ind,32.0,,53.0,,10.0,,,,-21.0,,
,Feb,,,G9000,,32.8,-0.2,50.9,0.4,10.8,-0.5,,,-18.1,-0.6,
,Mar,7-10,14,Harris,Ind,27.0,-5.0,52.0,-2.0,14.0,4.0,,,-25.0,4.0,
,Mar,13,15,NOP,ST,27.0,-3.0,52.0,2.0,13.0,-1.0,,,-25.0,-5.0,
,Mar,14,18,NOP,Reuters,29.0,-1.0,54.0,4.0,11.0,-3.0,,,-25.0,-5.0,
,Mar,14-17,21,Harris,Ind,29.0,2.0,56.0,4.0,10.0,-4.0,2.0,,-27.0,-2.0,
,Mar,15-17,18,Gallup,DT,28.5,0.5,56.5,2.5,9.5,-3.0,1.5,-0.5,-28.0,-2.0,
,Mar,19-21,23,Gallup,ST,29.0,0.5,54.5,-2.0,10.5,1.0,,,-25.5,2.5,
,Mar,20-24,28,Harris,Ind,30.0,1.0,54.0,-2.0,11.0,1.0,2.0,0.0,-24.0,3.0,
,Mar,21-24,27,MORI,TT,29.0,-2.0,50.0,-2.0,14.0,3.0,3.0,1.0,-21.0,0.0,
,Mar,26-2,4,Gallup,DT,31.0,2.0,52.0,-2.5,11.0,0.5,1.0,-0.5,-21.0,4.5,
,Mar,27-31,4,Harris,Ind,28.0,-2.0,52.0,-2.0,14.0,3.0,3.0,1.0,-24.0,0.0,
,Mar,29-31,2,ICM,GU,32.0,2.0,46.0,-2.0,17.0,1.0,,,-14.0,4.0,
,Mar,,,G9000,,29.8,-3.0,53.7,2.8,10.8,0.0,,,-23.9,-5.8,
30,Apr,1,3,MORI,TT,28.0,-1.0,55.0,5.0,11.0,-3.0,2.0,-1.0,-27.0,-6.0,
30,Apr,1-3,9,Gallup,C4,30.0,-1.0,54.0,2.0,11.0,0.0,,,-24.0,-3.0,
29,Apr,2-3,6,MORI,IoS,30.0,,55.0,,9.0,,3.0,,-25.0,,Panel
29,Apr,2-4,6,ICM,OB,33.0,1.0,48.0,2.0,14.0,-3.0,,,-15.0,-1.0,
28,Apr,3,6,NOP,ST,28.0,-1.0,52.0,-2.0,12.0,1.0,,,-24.0,1.0,
27,Apr,4,7,NOP,Reuters,30.0,2.0,51.0,-1.0,11.0,-1.0,,,-21.0,3.0,
27,Apr,4-6,7,Gallup,DT,32.0,2.0,53.0,-1.0,10.0,-1.0,,,-21.0,3.0,
27,Apr,4-7,11,Harris,Ind,30.0,2.0,52.0,0.0,12.0,-2.0,,,-22.0,2.0,
26,Apr,5-7,8,Gallup,DT,33.0,1.0,53.0,0.0,10.0,0.0,,,-20.0,1.0,"Gallup DT polls are rolling polls, with some fieldwork overlap"
25,Apr,6-7,9,ICM,GU,34.0,1.0,46.0,-2.0,15.0,1.0,,,-12.0,3.0,
25,Apr,6-8,9,Gallup,DT,32.0,-1.0,51.0,-2.0,11.0,1.0,,,-19.0,1.0,
23,Apr,8,10,MORI,TT,34.0,6.0,49.0,-6.0,12.0,1.0,1.0,-1.0,-15.0,12.0,
24,Apr,7-9,10,Gallup,DT,30.0,-2.0,53.0,2.0,11.0,0.0,,,-23.0,-4.0,
23,Apr,8-10,11,Gallup,DT,30.0,0.0,52.0,-1.0,11.0,0.0,,,-22.0,1.0,
22,Apr,9-11,12,Gallup,DT,32.0,2.0,52.0,0.0,11.0,0.0,,,-20.0,2.0,
22,Apr,9-11,13,ICM,OB,32.0,-2.0,48.0,2.0,15.0,0.0,,,-16.0,-4.0,
20,Apr,11,13,NOP,ST,28.0,-2.0,48.0,-3.0,17.0,6.0,,,-20.0,1.0,
22,Apr,9-12,13,Gallup,STel,33.0,1.0,49.0,-3.0,12.0,1.0,,,-16.0,4.0,
21,Apr,10-12,14,Gallup,DT,32.0,-1.0,49.0,0.0,14.0,2.0,,,-17.0,-1.0,
20,Apr,11-14,15,MORI,ES ,29.0,-5.0,50.0,1.0,15.0,3.0,,,-21.0,-6.0,
20,Apr,11-14,18,Harris,Ind,31.0,1.0,49.0,-3.0,13.0,1.0,,,-18.0,4.0,
19,Apr,12-14,15,Gallup,DT,31.0,-1.0,49.0,0.0,13.0,-1.0,,,-18.0,1.0,
18,Apr,13-14,16,ICM,GU,31.0,-1.0,45.0,-3.0,19.0,4.0,,,-14.0,2.0,
18,Apr,13-15,16,Gallup,DT,30.0,-1.0,51.0,2.0,12.0,-1.0,3.0,,-21.0,-3.0,
16,Apr,15,17,MORI,TT,32.0,3.0,49.0,-1.0,13.0,-2.0,2.0,1.0,-17.0,4.0,
17,Apr,14-16,17,Gallup,DT,31.0,1.0,50.0,-1.0,11.0,-1.0,,,-19.0,2.0,
16,Apr,15-17,18,Gallup,DT,31.0,0.0,50.0,0.0,12.0,1.0,,,-19.0,0.0,
15,Apr,16-18,19,Gallup,DT,32.0,1.0,50.0,0.0,13.0,1.0,2.0,,-18.0,1.0,
15,Apr,16-18,20,ICM,OB,32.0,1.0,47.0,2.0,16.0,-3.0,,,-15.0,-1.0,
13,Apr,18,20,NOP,ST,31.0,3.0,45.0,-3.0,17.0,0.0,,,-14.0,6.0,
,Apr,16-19,20,Gallup,STel,31.0,-1.0,50.0,0.0,13.0,0.0,,,-19.0,-1.0,
12,Apr,19-20,25,Harris,Ind,30.0,-1.0,48.0,-1.0,15.0,2.0,,,-18.0,0.0,
,Apr,,21,Gallup,DT,32.0,1.0,48.0,-2.0,13.0,0.0,,,-16.0,3.0,
13,Apr,18-21,22,Gallup,DT,32.0,0.0,48.0,0.0,12.0,-1.0,3.0,,-16.0,0.0,
13,Apr,18-22,23,Gallup,C4,31.0,-1.0,50.0,2.0,13.0,1.0,,,-19.0,-3.0,
11,Apr,20-21,23,ICM,GU,37.0,5.0,42.0,-5.0,14.0,-2.0,,,-5.0,10.0,
11,Apr,20-22,23,Gallup,DT,30.0,-1.0,51.0,1.0,12.0,-2.0,4.0,1.0,-21.0,-2.0,
10,Apr,21-23,24,Gallup,DT,30.0,0.0,50.0,-1.0,12.0,0.0,,,-20.0,1.0,
9,Apr,22,24,MORI,TT,27.0,-5.0,48.0,-1.0,17.0,4.0,3.0,1.0,-21.0,-4.0,
,Apr,22-24,25,Gallup,DT,32.0,2.0,48.0,-2.0,12.0,0.0,,,-16.0,4.0,
8,Apr,23-24,27,MORI,IoS,29.0,-1.0,53.0,-2.0,12.0,3.0,3.0,0.0,-24.0,1.0,Panel
8,Apr,23-25,26,Gallup,DT,32.0,0.0,48.0,0.0,14.0,2.0,,,-16.0,0.0,
8,Apr,23-25,27,ICM,OB,32.0,-5.0,47.0,5.0,16.0,2.0,,,-15.0,-10.0,
7,Apr,24-28,29,Gallup,C4,31.0,-1.0,49.0,1.0,14.0,0.0,,,-18.0,-2.0,
6,Apr,25,27,NOP,ST,29.0,-2.0,47.0,2.0,16.0,-1.0,,,-18.0,-4.0,
,Apr,24-26,27,Gallup,STel,31.0,0.0,48.0,-1.0,13.0,-1.0,,,-17.0,1.0,
6,Apr,25-27,28,Gallup,DT,30.0,-1.0,49.0,1.0,14.0,1.0,,,-19.0,-2.0,
,Apr,26-28,29,Gallup,DT,29.0,-1.0,51.0,2.0,13.0,-1.0,,,-22.0,-3.0,
3,Apr,28-29,30,Gallup,DT,31.0,2.0,51.0,0.0,13.0,0.0,,,-20.0,2.0,
3,Apr,28-29,1,Harris,Ind,31.0,1.0,48.0,0.0,15.0,0.0,,,-17.0,1.0,
2,Apr,29,1,MORI,TT,28.0,-1.0,48.0,-5.0,16.0,4.0, ,-1.0,-20.0,4.0,
2,Apr,29,1,NOP,Reuters,28.0,-1.0,50.0,3.0,14.0,-2.0,,,-22.0,-4.0,
2,Apr,29-30,1,ICM,GU,33.0,1.0,43.0,-4.0,18.0,2.0,,,-10.0,5.0,
2,Apr,29-30,1,Gallup,DT,33.0,2.0,46.0,-5.0,16.0,3.0,1.0,,-13.0,7.0,
1,Apr,30,1,MORI,ES ,29.0,,46.0,,19.0,,,,-17.0,3.0,Phone
,,,,,,,,,,,,,,,,
,,,,G9000,,31.0,1.2,50.0,-3.7,12.6,1.8,,,-19.0,4.9,
,,,,,,,,,,,,,,,,
,,Exit polls,,MORI,ITN,30.0,,46.0,,18.0,,,,-16.0,,
,,,,NOP,BBC,29.0,,47.0,,17.0,,,,-18.0,,
,,,,,,,,,,,,,,,,
,,,1,Result,,31.0,,44.0,,17.0,,,,-13.0,,
