Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,,Govt good,Govt bad,Govt net,Question,Con,Lab,LD,UKIP,,,,
,Mar,28-29,28/3/11,,,YouGov,Sun,36.0,0.0,42.0,-2.0,10.0,1.0,-6.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,56.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Mar,29-30,29/3/11,,,YouGov,Sun,35.0,-1.0,45.0,3.0,9.0,-1.0,-10.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,35,25,5,,,30.0,56.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Mar,31-1,31/3/11,,,YouGov,ST,36.0,1.0,42.0,-3.0,11.0,2.0,-6.0,4.0,Internet,,,,,,,44.0,49.0,-5.0,35.0,48.0,-13.0,25.0,64.0,-39.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,30.0,54.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,3-4,3/4/11,,,YouGov,Sun,37.0,1.0,42.0,0.0,9.0,-2.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,54.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,4-5,4/4/11,,,YouGov,Sun,37.0,0.0,42.0,0.0,9.0,0.0,-5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,55.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,5-6,5/4/11,,,YouGov,Sun,36.0,-1.0,42.0,0.0,10.0,1.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,57.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,6-7,6/4/11,,,YouGov,Sun,35.0,-1.0,44.0,2.0,10.0,0.0,-9.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,7-8,7/4/11,,,YouGov,ST,36.0,1.0,43.0,-1.0,9.0,-1.0,-7.0,2.0,Internet,,,,,,,43.0,52.0,-9.0,33.0,48.0,-15.0,26.0,65.0,-39.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,30.0,57.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr ,8-10,8/4/11,12,,Populus,TT,36.0,1.0,40.0,-1.0,11.0,0.0,-4.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,8-11,8/4/11,,,Angus RS,,31.0,-1.0,42.0,1.0,11.0,1.0,-11.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,10-11,10/4/11,,,YouGov,Sun,36.0,0.0,42.0,-1.0,10.0,1.0,-6.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,54.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,11-12,11/4/11,,,YouGov,Sun,37.0,1.0,42.0,0.0,9.0,-1.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,54.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,12-13,12/4/11,,,YouGov,Sun,35.0,-2.0,44.0,2.0,10.0,1.0,-9.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,35,26,5,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,13-14,13/4/11,,,YouGov,Sun,36.0,1.0,42.0,-2.0,10.0,0.0,-6.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,55.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,13-15,13/4/11,17,,ComRes,IoS/SM,35.0,-2.0,39.0,-1.0,10.0,-1.0,-4.0,-1.0,Internet,,,,,,,37.0,46.0,-9.0,24.0,38.0,-14.0,24.0,55.0,-31.0,,,,,,,... is turning out to be a good ...,,,,,,,,,,,,,,,,,
,Apr,13-?,13/4/11,,,Opinium,,34.0,0.0,38.0,1.0,11.0,0.0,-4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,14-15,14/4/11,,,YouGov,ST,37.0,1.0,41.0,-1.0,9.0,-1.0,-4.0,2.0,Internet,,,,,,,43.0,51.0,-8.0,31.0,50.0,-19.0,24.0,68.0,-44.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,30.0,54.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,14-18,14/4/11,,,TNS BMRB,,36.0,0.0,38.0,-3.0,10.0,0.0,-2.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,15/4/11,19,,ICM,Gu,35.0,-2.0,37.0,1.0,15.0,-1.0,-2.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,15/4/11,20,,MORI,Reuters,40.0,3.0,40.0,-1.0,9.0,-1.0,0.0,4.0,Phone,Certain to vote,,,,,,44.0,47.0,-3.0,41.0,40.0,1.0,35.0,53.0,-18.0,,,,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,37.0,55.0,-18.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Apr,17-18,17/4/11,,,YouGov,Sun,36.0,-1.0,42.0,1.0,9.0,0.0,-6.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,53.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,18-19,18/4/11,,,YouGov,Sun,36.0,0.0,43.0,1.0,9.0,0.0,-7.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,19-20,19/4/11,,,YouGov,Sun,36.0,0.0,43.0,0.0,9.0,0.0,-7.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,55.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,19-?,19/4/11,,,Opinium,,34.0,0.0,38.0,0.0,10.0,-1.0,-4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,20-21,20/4/11,,,YouGov,Sun,36.0,0.0,42.0,-1.0,10.0,1.0,-6.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,57.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,25-26,25/4/11,,,YouGov,Sun,36.0,0.0,41.0,-1.0,10.0,0.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,54.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,26-27,26/4/11,,,YouGov,Sun,36.0,0.0,42.0,1.0,10.0,0.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,35,25,6,,,31.0,55.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,27-28,27/4/11,,,YouGov,Sun,36.0,0.0,41.0,-1.0,12.0,2.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,54.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr ,27-28,27/4/11,1,,BPIX ,MoS,37.0,,42.0,,9.0,,-5.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-29,28/4/11,1,,YouGov,ST,36.0,0.0,41.0,0.0,10.0,-2.0,-5.0,0.0,Internet,,,,,,,45.0,49.0,-4.0,33.0,49.0,-16.0,23.0,68.0,-45.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,31.0,54.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Apr,28-1,28/4/11,4,,ComRes,Ind,34.0,-1.0,37.0,-4.0,15.0,2.0,-3.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-2,28/4/12,,,TNS BMRB,,37.0,1.0,36.0,-2.0,10.0,0.0,1.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-2,28/4/11,6,,Opinium,,35.0,1.0,37.0,-1.0,11.0,1.0,-2.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,2-3,2/5/11,5,,ICM,Gu,36.0,1.0,37.0,0.0,15.0,0.0,-1.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May ,2-3,2/5/11,,,YouGov,Sun,37.0,1.0,42.0,1.0,10.0,-2.0,-5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,52.0,-19.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,3-4,3/5/11,,,YouGov,Sun,36.0,-1.0,40.0,-2.0,11.0,1.0,-4.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,54.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,4-5,4/5/11,,,YouGov,Sun,37.0,1.0,39.0,-1.0,10.0,-1.0,-2.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,52.0,-18.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,5-6,5/5/11,8,,YouGov,ST,36.0,-1.0,41.0,2.0,10.0,0.0,-5.0,-3.0,Internet,,,,,,,46.0,49.0,-3.0,36.0,48.0,-12.0,21.0,71.0,-50.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,33.0,55.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,6-8,6/5/11,10,,Populus,TT,37.0,1.0,39.0,-1.0,11.0,0.0,-2.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,6-9,6/5/11,11,,Opinium,,35.0,0.0,38.0,1.0,9.0,-2.0,-3.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,8-9,8/5/11,,,YouGov,Sun,38.0,2.0,42.0,1.0,8.0,-2.0,-4.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,54.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,9-10,9/5/11,,,YouGov,Sun,38.0,0.0,40.0,-2.0,9.0,1.0,-2.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,54.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,10-11,10/5/11,,,YouGov,Sun,36.0,-2.0,42.0,2.0,8.0,-1.0,-6.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,38,25,4,,,33.0,56.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,11-12,11/5/11,15,,ComRes,IoS/SM,38.0,3.0,39.0,0.0,11.0,1.0,-1.0,3.0,Internet,,,,,,,39.0,43.0,-4.0,22.0,39.0,-17.0,21.0,56.0,-35.0,,,,,,,... is turning out to be a good ...,,,,,,,,,,,,,,,,,
,May,11-12,11/5/11,,,YouGov,Sun,39.0,3.0,41.0,-1.0,9.0,1.0,-2.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,54.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,12-13,12/5/11,15,,YouGov,ST,36.0,-3.0,41.0,0.0,9.0,0.0,-5.0,-3.0,Internet,,,,,,,47.0,48.0,-1.0,32.0,53.0,-21.0,21.0,73.0,-52.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,35.0,53.0,-18.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,15-16,15/5/11,,,YouGov,Sun,38.0,2.0,41.0,0.0,10.0,1.0,-3.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,54.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,16-17,16/5/11,,,YouGov,Sun,39.0,1.0,41.0,0.0,9.0,-1.0,-2.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,53.0,-20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,17-18,17/5/11,,,YouGov,Sun,36.0,-3.0,42.0,1.0,9.0,0.0,-6.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,55.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,18-19,18/5/11,,,YouGov,Sun,38.0,2.0,40.0,-2.0,10.0,1.0,-2.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,52.0,-20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,19-20,19/5/11,22,,YouGov,ST,37.0,-1.0,42.0,2.0,8.0,-2.0,-5.0,-3.0,Internet,,,,,,,46.0,50.0,-4.0,32.0,51.0,-19.0,19.0,75.0,-56.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,32.0,55.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,20-24,20/5/11,26,,MORI,Reuters,35.0,-5.0,42.0,2.0,10.0,1.0,-7.0,-7.0,Phone,Certain to vote,,,,,,44.0,47.0,-3.0,35.0,43.0,-8.0,29.0,61.0,-32.0,,,,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,34.0,56.0,-22.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,May,22-23,22/5/11,,,YouGov,Sun,38.0,1.0,42.0,0.0,10.0,2.0,-4.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,53.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,23-24,23/5/11,,,YouGov,Sun,38.0,0.0,42.0,0.0,9.0,-1.0,-4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,55.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,24-25,24/5/11,,,YouGov,Sun,37.0,-1.0,41.0,-1.0,10.0,1.0,-4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,53.0,-20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,25-26,25/5/11,,,YouGov,Sun,37.0,0.0,43.0,2.0,8.0,-2.0,-6.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,52.0,-19.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,26-27,26/5/11,29,,YouGov,ST,37.0,0.0,43.0,0.0,9.0,1.0,-6.0,0.0,Internet,,,,,,,48.0,46.0,2.0,31.0,50.0,-19.0,22.0,70.0,-48.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,33.0,52.0,-19.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,27-29,27/5/11,1,,ComRes,Ind,37.0,3.0,37.0,0.0,12.0,-3.0,0.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,30-31,30/5/11,,,YouGov,Sun,37.0,0.0,42.0,-1.0,9.0,0.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,54.0,-18.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,May,31-1,31/5/11,,,YouGov,Sun,39.0,2.0,41.0,-1.0,9.0,0.0,-2.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,53.0,-20.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,1-2,1/6/11,,,YouGov,Sun,36.0,-3.0,42.0,1.0,9.0,0.0,-6.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,54.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,2-3,2/6/11,5,,YouGov,ST,37.0,1.0,42.0,0.0,9.0,0.0,-5.0,1.0,Internet,,,,,,,45.0,48.0,-3.0,32.0,51.0,-19.0,18.0,74.0,-56.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,31.0,54.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,3-?,3/6/11,,,Opinium,,35.0,0.0,38.0,0.0,9.0,0.0,-3.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,5-6,5/6/11,,,YouGov,Sun,37.0,0.0,43.0,1.0,9.0,0.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,54.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,6-7,6/6/11,,,YouGov,Sun,36.0,-1.0,44.0,1.0,8.0,-1.0,-8.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,53.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,7-8,7/6/11,,,YouGov,Sun,37.0,1.0,42.0,-2.0,9.0,1.0,-5.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,38,23,4,,,32.0,53.0,-21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,8-9,8/6/11,,,YouGov,Sun,37.0,0.0,43.0,1.0,8.0,-1.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,55.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,9-10,9/6/11,12,,YouGov,ST,37.0,0.0,42.0,-1.0,9.0,1.0,-5.0,1.0,Internet,,,,,,,44.0,50.0,-6.0,30.0,53.0,-23.0,21.0,70.0,-49.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,31.0,55.0,-24.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,10-12,10/6/11,14,,Populus,TT,39.0,2.0,40.0,1.0,9.0,-2.0,-1.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,12-13,12/6/11,,,YouGov,Sun,37.0,0.0,42.0,0.0,10.0,1.0,-5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,54.0,-22.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,13-14,13/6/11,,,YouGov,Sun,37.0,0.0,42.0,0.0,10.0,0.0,-5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,56.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,14-15,14/6/11,,,YouGov,Sun,36.0,-1.0,42.0,0.0,9.0,-1.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,15-16,15/6/11,,,YouGov,Sun,37.0,1.0,43.0,1.0,9.0,0.0,-6.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,15-16,15/6/11,19,,ComRes,IoS/SM,37.0,-1.0,37.0,-1.0,11.0,0.0,0.0,1.0,Internet,,,,,,,37.0,44.0,-7.0,18.0,45.0,-27.0,20.0,57.0,-37.0,,,,,,,... is turning out to be a good ...,,,,,,,,,,,,,,,,,
,Jun,16-17,16/6/11,19,,YouGov,ST,37.0,0.0,42.0,-1.0,10.0,1.0,-5.0,1.0,Internet,,,,,,,44.0,48.0,-4.0,26.0,58.0,-32.0,22.0,68.0,-46.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,31.0,54.0,-23.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,17-19,17/6/11,23,,MORI,Reuters,37.0,2.0,39.0,-3.0,11.0,1.0,-2.0,5.0,Phone,Certain to vote,,,,,,45.0,47.0,-2.0,34.0,48.0,-14.0,32.0,58.0,-26.0,,,,,,,Are you satisfied or dissatisified with the way X is doing his job as… (DPM),,,,,,36.0,54.0,-18.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jun,17-19,17/6/11,21,,ICM,Gu,37.0,1.0,39.0,2.0,12.0,-3.0,-2.0,-1.0,Phone,,,,,,,42.0,47.0,-5.0,28.0,49.0,-21.0,34.0,54.0,-20.0,,,,,,,From what you have seen or heard do you think ... Is doing a good job or a bad job?,,,,,,35.0,50.0,-15.0,From what you have seen or heard do you think ... Is doing a good job or a bad job?,,,,,,,,
,Jun,19-20,19/6/11,,,YouGov,Sun,37.0,0.0,43.0,1.0,9.0,-1.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,20-21,20/6/11,,,YouGov,Sun,37.0,0.0,42.0,-1.0,8.0,-1.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,21-22,21/6/11,,,YouGov,Sun,36.0,-1.0,42.0,0.0,9.0,1.0,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,37,21,5,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,22-23,22/6/11,,,YouGov,Sun,37.0,1.0,42.0,0.0,9.0,0.0,-5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,56.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,23-24,23/6/11,26,,YouGov,ST,36.0,-1.0,43.0,1.0,9.0,0.0,-7.0,-2.0,Internet,,,,,,,42.0,52.0,-10.0,26.0,58.0,-32.0,20.0,71.0,-51.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,29.0,56.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,23-27,23/6/11,,,TNS BMRB,,39.0,2.0,41.0,5.0,8.0,-2.0,-2.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,24-26,24/6/11,28,,ComRes,Ind,36.0,-1.0,40.0,3.0,11.0,-1.0,-4.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,24-?,24/6/12,,,Opinium,,37.0,2.0,38.0,0.0,8.0,-1.0,-1.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,26-27,26/6/11,,,YouGov,Sun,37.0,1.0,42.0,-1.0,10.0,1.0,-5.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,26-27,26/6/11,,,YouGov,Sun,37.0,1.0,42.0,-1.0,10.0,1.0,-5.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,27-28,27/6/11,,,YouGov,Sun,36.0,-1.0,43.0,1.0,8.0,-2.0,-7.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,55.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,28-29,28/6/11,,,YouGov,Sun,37.0,1.0,41.0,-2.0,10.0,2.0,-4.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,56.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,29-30,29/6/11,,,YouGov,Sun,37.0,0.0,42.0,1.0,8.0,-2.0,-5.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,30-1,30/6/11,3,,YouGov,ST,36.0,-1.0,42.0,0.0,9.0,1.0,-6.0,-1.0,Internet,,,,,,,42.0,52.0,-10.0,26.0,60.0,-34.0,20.0,71.0,-51.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,30.0,56.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,3-4,3/7/11,,,YouGov,Sun,37.0,1.0,43.0,1.0,9.0,0.0,-6.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,56.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,4-5,4/7/11,,,YouGov,Sun,35.0,-2.0,43.0,0.0,10.0,1.0,-8.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,58.0,-30.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,5-6,5/7/11,,,YouGov,Sun,35.0,0.0,43.0,0.0,9.0,-1.0,-8.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,36,23,4,,,28.0,58.0,-30.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,6-7,6/7/11,,,YouGov,Sun,37.0,2.0,43.0,0.0,8.0,-1.0,-6.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,56.0,-25.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,6-?,6/7/10,,,Opinium,,35.0,-2.0,36.0,-2.0,9.0,1.0,-1.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,7-8,7/7/11,10,,YouGov,ST,35.0,-2.0,44.0,1.0,8.0,0.0,-9.0,-3.0,Internet,,,,,,,40.0,53.0,-13.0,27.0,55.0,-28.0,20.0,69.0,-49.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,28.0,57.0,-29.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,10-11,10/7/11,,,YouGov,Sun,35.0,0.0,43.0,-1.0,10.0,2.0,-8.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,58.0,-31.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,11-12,11/7/11,,,YouGov,Sun,37.0,2.0,42.0,-1.0,9.0,-1.0,-5.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,56.0,-27.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,12-13,12/7/11,,,YouGov,Sun,35.0,-2.0,43.0,1.0,10.0,1.0,-8.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,57.0,-28.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,13-14,13/7/11,,,YouGov,Sun,36.0,1.0,43.0,0.0,9.0,-1.0,-7.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,55.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
