Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,,Govt good,Govt bad,Govt net,Question,Con,Lab,LD,UKIP,,,,
,Jun,17-18,17/6/10,,,YouGov,ST,39.0,-1.0,34.0,2.0,19.0,1.0,5.0,-1.0,Internet,,,,,,,64.0,20.0,44.0,,,,62.0,22.0,40.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,,,,,,,,,,,,
,Jun,20-21,20/6/10,22,,YouGov,Sun,41.0,2.0,33.0,-1.0,18.0,-1.0,8.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,21-22,21/6/10,,,YouGov,Sun,41.0,0.0,37.0,4.0,15.0,-3.0,4.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,28.0,13.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,22-23,22/6/10,24,,YouGov,Sun,42.0,1.0,34.0,-3.0,17.0,2.0,8.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,28.0,18.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,22-23,22/6/10,27,,Populus,ST,39.0,,33.0,,18.0,,6.0,,Phone,,,,,,,69.0,20.0,49.0,,,,63.0,23.0,40.0,,,,,,,How good or bad a job do you think...,,,,,,,,,,,,,,,,,
,Jun,23-24,23/6/10,27,,ICM,STel,41.0,2.0,35.0,4.0,16.0,-5.0,6.0,-2.0,Phone,,,,,,,56.0,27.0,29.0,,,,,,,,,,,,,From what you have heard do you think ... Is doing a good job or a bad job?,,,,,,54.0,28.0,26.0,From what you have heard do you think ... Is doing a good job or a bad job?,,,,,,,,
,Jun,23-24,23/4/10,,,YouGov,Sun,43.0,2.0,34.0,-1.0,17.0,1.0,9.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,27.0,21.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,24-25,24/6/10,27,,YouGov,ST,43.0,0.0,36.0,2.0,16.0,-1.0,7.0,-2.0,Internet,,,,,,,61.0,27.0,34.0,,,,57.0,30.0,27.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,47.0,32.0,15.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,25-27,25/6/10,29,,ComRes,Ind,40.0,4.0,31.0,1.0,18.0,-5.0,9.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,27-28,27/6/10,,,YouGov,Sun,42.0,-1.0,35.0,-1.0,16.0,0.0,7.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,33.0,13.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,28-29,28/6/10,,,YouGov,Sun,42.0,0.0,36.0,1.0,15.0,-1.0,6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,33.0,11.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,29-30,29/6/10,,,YouGov,Sun,42.0,0.0,36.0,0.0,15.0,0.0,6.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,34.0,10.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,30-1,30/6/10,,,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,34.0,9.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jun,23-25,23/6/10,30,,Angus RS,,,,,,,,,,,,,,,,,54.0,32.0,22.0,,,,50.0,34.0,16.0,,,,,,,Do you approve or disapprove of X's performance as Y...,,,,,,,,,,,,,,,,,
,Jul,1-2,1/7/10,4,,YouGov,ST,41.0,-1.0,36.0,0.0,16.0,1.0,5.0,-1.0,Internet,,,,,,,58.0,30.0,28.0,,,,54.0,33.0,21.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,43.0,35.0,8.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,2-6,2/7/10,,,Opinium,,37.0,-3.0,33.0,2.0,18.0,-1.0,4.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,4-5,4/7/10,,,YouGov,,40.0,-1.0,36.0,0.0,16.0,0.0,4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,38.0,4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,5-6,5/7/10,7,,YouGov,,41.0,1.0,36.0,0.0,15.0,-1.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,34.0,11.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,6-7,6/7/10,,,YouGov,,40.0,-1.0,36.0,0.0,17.0,2.0,4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,36.0,7.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,7-8,7/7/10,,,YouGov,Sun,42.0,2.0,35.0,-1.0,16.0,-1.0,7.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,35.0,8.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,8-9,8/7/10,11,,YouGov,ST,42.0,0.0,34.0,-1.0,17.0,1.0,8.0,1.0,Internet,,,,,,,59.0,28.0,31.0,,,,54.0,32.0,22.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,,,,,,,,,,,,
,Jul,9-13,9/7/10,,,Opinium,,38.0,1.0,34.0,1.0,16.0,-2.0,4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,11-12,11/7/10,,,YouGov,Sun,42.0,0.0,35.0,1.0,15.0,-2.0,7.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.0,6.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,12-13,12/7/10,,,YouGov,Sun,42.0,0.0,35.0,0.0,15.0,0.0,7.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,35.0,7.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,13-14,13/7/10,,,YouGov,Sun,43.0,1.0,34.0,-1.0,15.0,0.0,9.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,36.0,8.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,14-15,14/7/10,,,YouGov,Sun,43.0,0.0,34.0,0.0,15.0,0.0,9.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,37.0,5.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,15-16,15/7/10,18,,YouGov,ST,40.0,-3.0,37.0,3.0,15.0,0.0,3.0,-6.0,Internet,,,,,,,58.0,31.0,27.0,,,,51.0,35.0,16.0,,,,,,,Do you think X is doing well or badly as… (LD leader),,,,,,42.0,37.0,5.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,18-19,18/7/10,,,YouGov,Sun,42.0,2.0,35.0,-2.0,15.0,0.0,7.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,37.0,4.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
,Jul,19-20,19/7/10,,,YouGov,Sun,43.0,1.0,35.0,0.0,14.0,-1.0,8.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,35.0,7.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
