Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Aug,21-24,21/8/15,,,Sky,,,,,,,,,,,,,,Internet,,,,43.0,51.0,-8.0,25.0,47.0,-22.0,11.0,39.0,-28.0,38.0,47.0,-9.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Sep,3-4,3/9/15,6,,Survation,MoS,38.0,0.0,32.0,-1.0,6.0,0.0,13.0,-2.0,4.0,1.0,6.0,1.0,Internet,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,11-13,11/9/15,14,,ICM,Gu,38.0,-2.0,32.0,1.0,8.0,1.0,13.0,3.0,3.0,-1.0,6.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,15-18,15/9/15,20,,Opinium,Ob,37.0,-5.0,32.0,1.0,6.0,,14.0,2.0,4.0,1.0,5.0,-6.0,Internet,,,,42.0,41.0,1.0,28.0,35.0,-7.0,9.0,29.0,-20.0,26.0,43.0,-17.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,41.0,22.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Sep,16-17,16/9/15,19,,ComRes,IoS/SM,42.0,2.0,30.0,1.0,7.0,-1.0,13.0,0.0,3.0,-1.0,12.0,1.0,Internet,,,,35.0,42.0,-7.0,24.0,42.0,-18.0,6.0,18.0,-12.0,,,,,,,Please indicate whether you have a favourable or unfavourable view of ,,,,,,,,,,,,,,,,,
,Sep,17-18,17/9/15,20,,YouGov,ST,39.0,,31.0,,6.0,,16.0,,3.0,,8.0,,Internet,,,,47.0,44.0,3.0,31.0,39.0,-8.0,8.0,26.0,-18.0,36.0,39.0,-3.0,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Sep,18-20,18/9/15,,,Sky,,,,,,,,,,,,,,Internet,,,,46.0,50.0,-4.0,25.0,47.0,-22.0,11.0,39.0,-28.0,38.0,47.0,-9.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Sep,19-23,19/9/15,24,,Ipsos MORI,ES,39.0,2.0,34.0,3.0,9.0,-1.0,7.0,-2.0,4.0,-4.0,5.0,-2.0,Phone,,,,42.0,52.0,-10.0,33.0,36.0,-3.0,22.0,29.0,-7.0,40.0,45.0,-5.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,57.0,28.0,,,Who do you think would make the most capable Prime Minister?,38.0,54.0,-16.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Sep,25-28,25/9/15,30,,ComRes,DM,39.0,-3.0,30.0,2.0,9.0,1.0,12.0,3.0,4.0,-2.0,9.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,29-30,29/9/15,1,,YouGov,Sun,37.0,-2.0,31.0,0.0,7.0,1.0,17.0,1.0,2.0,-1.0,6.0,-2.0,Internet,,,,,,,36.0,44.0,-8.0,,,,,,,,,,Do you think X WILL DO well or badly as… ,,,,,,,,,,,,,,,,,
