Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Apr,26-29,26/4/16,1,,Opinium,Ob,38.0,5.0,30.0,-2.0,5.0,0.0,15.0,-2.0,4.0,0.0,8.0,7.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,11-12,11/5/16,15,,ComRes,IoS/SM,36.0,1.0,30.0,0.0,8.0,0.0,17.0,1.0,4.0,0.0,6.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,13-15,13/5/16,16,,ICM,Gu,36.0,-2.0,34.0,1.0,7.0,0.0,13.0,0.0,4.0,1.0,2.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,13-15,13/5/16,16,,ICM,Gu,34.0,-2.0,32.0,1.0,7.0,0.0,17.0,1.0,4.0,0.0,2.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,14-16,14/5/16,18,,Ipsos MORI,ES,36.0,-2.0,34.0,-1.0,8.0,2.0,10.0,-1.0,5.0,2.0,2.0,-1.0,Phone,,,,31.0,61.0,-30.0,31.0,50.0,-19.0,22.0,33.0,-11.0,36.0,41.0,-5.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,30.0,62.0,-32.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,May,17-19,17/5/16,20,,Opinium,Ob,35.0,-3.0,30.0,0.0,5.0,0.0,18.0,3.0,5.0,1.0,5.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,31.0,17.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,May,20-25,20/5/16,,,BMG,,31.0,-2.0,32.0,0.0,8.0,2.0,17.0,-1.0,6.0,1.0,-1.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-29,27/5/16,30,,ICM,Gu,36.0,0.0,32.0,-2.0,7.0,0.0,15.0,2.0,3.0,-1.0,4.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-29,27/1/00,30,,ICM,Gu,36.0,2.0,31.0,-1.0,7.0,0.0,17.0,0.0,4.0,0.0,5.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,31-3,31/5/16,3,,Opinium,Ob,34.0,-1.0,30.0,0.0,6.0,1.0,18.0,0.0,4.0,-1.0,4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,31.0,17.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Jun,7-10,7/6/16,10,,Opinium,Ob,35.0,1.0,32.0,2.0,4.0,-2.0,18.0,0.0,4.0,0.0,3.0,-1.0,Internet,,,,30.0,50.0,-20.0,24.0,44.0,-20.0,12.0,31.0,-19.0,25.0,45.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,,,,,,,,,,,,,,,,,
,Jun,10-13,10/6/16,13,,ICM,Gu,34.0,-2.0,33.0,1.0,9.0,2.0,14.0,-1.0,5.0,2.0,,,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,10-13,10/6/16,13,,ICM,Gu,34.0,-2.0,30.0,-1.0,8.0,1.0,19.0,2.0,4.0,0.0,4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,10-15,10/6/16,,,BMG,,32.0,1.0,30.0,-2.0,7.0,-1.0,20.0,3.0,6.0,0.0,2.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,11-14,11/6/16,16,,Ipsos MORI,ES,35.0,-1.0,34.0,0.0,9.0,1.0,10.0,0.0,4.0,-1.0,1.0,-1.0,Phone,,,,35.0,58.0,-23.0,27.0,52.0,-25.0,19.0,32.0,-13.0,38.0,44.0,-6.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,32.0,59.0,-27.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jun,15-16,15/6/16,18,,ComRes,Ind/Sunday People,34.0,-2.0,29.0,-1.0,8.0,0.0,19.0,2.0,4.0,0.0,5.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,16-20,16/6/16,,,Sky,,,,,,,,,,,,,,Internet,,,,34.0,58.0,-24.0,28.0,57.0,-29.0,18.0,42.0,-24.0,37.0,47.0,-10.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Jun,20-22,20/6/16,22,,Opinium,,34.0,-1.0,30.0,-2.0,6.0,2.0,19.0,1.0,4.0,0.0,4.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,24-25,24/6/16,26,,Survation,MoS,32.0,-5.0,32.0,2.0,9.0,2.0,16.0,0.0,,,0.0,-7.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,24-26,24/6/16,27,,ICM,Gu,36.0,2.0,32.0,2.0,7.0,-1.0,15.0,-4.0,5.0,1.0,4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,28-30,28/6/16,1,,Opinium,,34.0,0.0,29.0,-1.0,7.0,1.0,17.0,-2.0,4.0,0.0,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,29.0,13.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Jun,30-1,30/6/16,3,,Survation,MoS,35.0,3.0,30.0,-2.0,8.0,-1.0,16.0,0.0,3.0,,5.0,5.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,1-2,1/7/16,4,,ICM,,37.0,1.0,30.0,-2.0,8.0,1.0,15.0,0.0,4.0,-1.0,7.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,4-5,4/7/16,6,,Survation,Constitutional Research Council,36.0,,32.0,,9.0,,12.0,,,,4.0,,Phone,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,8-10,8/7/16,11,,ICM,,38.0,1.0,30.0,0.0,8.0,0.0,15.0,0.0,4.0,0.0,8.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,9-11,9/7/16,13,,Ipsos MORI,ES,36.0,1.0,35.0,1.0,11.0,2.0,8.0,-2.0,4.0,0.0,1.0,0.0,Phone,,,,28.0,66.0,-38.0,24.0,65.0,-41.0,21.0,37.0,-16.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,24.0,69.0,-45.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jul,13-15,13/7/16,17,,ICM,Sun on Sunday,39.0,1.0,29.0,-1.0,9.0,1.0,14.0,-1.0,4.0,0.0,10.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,17-18,17/7/16,20,,YouGov,,40.0,10.0,29.0,-4.0,9.0,3.0,12.0,-8.0,3.0,0.0,11.0,14.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,19-22,19/7/16,23,,Opinium,Ob,37.0,3.0,31.0,2.0,6.0,-1.0,15.0,-2.0,4.0,0.0,6.0,1.0,Internet,,,,46.0,15.0,31.0,24.0,48.0,-24.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,51.0,16.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Jul,20-25,20/7/16,,,Sky,,,,,,,,,,,,,,Internet,,,,57.0,17.0,40.0,22.0,63.0,-41.0,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Jul,22-24,22/7/16,26,,ICM,,43.0,4.0,27.0,-2.0,8.0,-1.0,13.0,-1.0,4.0,0.0,16.0,6.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,22-26,22/7/16,,,BMG,,39.0,7.0,29.0,-1.0,8.0,1.0,13.0,-7.0,6.0,0.0,10.0,8.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,25-26,25/7/16,27,,YouGov,TT,40.0,0.0,28.0,-1.0,8.0,-1.0,13.0,1.0,4.0,1.0,12.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,52.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Aug,1-2,1/8/16,4,,YouGov,TT,42.0,2.0,28.0,0.0,8.0,0.0,12.0,-1.0,3.0,-1.0,14.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,52.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Aug,5-8,5/8/16,11,,TNS BMRB,,39.0,,26.0,,10.0,,,,7.0,,13.0,,Internet,,,,,,,,,,,,,,,,,,,,44.0,16.0,,,"If you had to choose between X and Y, who do you think would make the best leader for Britain?",,,,,,,,,,,,
,Aug,8-9,8/8/16,10,,YouGov,TT,38.0,-2.0,31.0,3.0,8.0,0.0,13.0,1.0,4.0,1.0,7.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,52.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Aug,10-12,10/8/16,14,,ComRes,IoS/SM,,,,,,,,,,,,,Internet,,,,42.0,24.0,18.0,22.0,50.0,-28.0,,,,24.0,51.0,-27.0,,,,Do you have a favourable or unfavourable view of…,,,,,,,,,,,,,,,,,
,Aug,11-12,11/8/16,16,,YouGov,PB,,,,,,,,,,,,,Internet,,,,48.0,36.0,12.0,29.0,54.0,-25.0,17.0,33.0,-16.0,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,Aug,11-15,11/8/16,,,BMG,,39.0,0.0,29.0,0.0,8.0,0.0,14.0,1.0,5.0,-1.0,10.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,11-22,11/8/16,,,Lord Ashcroft,,40.0,,31.0,,7.0,,13.0,,3.0,,9.0,,Internet,,,,,,,,,,,,,,,,,,,,67.0,25.0,8.0,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Aug,12-15,12/8/16,16,,ICM,,40.0,-3.0,28.0,1.0,8.0,0.0,14.0,1.0,4.0,0.0,12.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,13-15,13/8/16,17,,Ipsos MORI,ES,45.0,9.0,34.0,-1.0,7.0,-4.0,6.0,-2.0,4.0,0.0,11.0,10.0,Phone,,,,54.0,19.0,35.0,25.0,58.0,-33.0,22.0,30.0,-8.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,41.0,45.0,-4.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Aug,16-17,16/8/16,19,,YouGov,TT,38.0,0.0,30.0,-1.0,9.0,1.0,13.0,0.0,4.0,0.0,8.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,51.0,19.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Aug,19-20,18/8/16,2,,Survation,DE,,,,,,,,,,,,,Internet,UK,,,53.0,20.0,33.0,22.0,53.0,-31.0,13.0,25.0,-12.0,,,,,,,To what extent do you think favourably or unfavourably towards…,,,,,,,,,,,,,,,,,
,Aug,22-23,22/8/16,24,,YouGov,,40.0,2.0,29.0,-1.0,8.0,-1.0,13.0,0.0,3.0,-1.0,11.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,50.0,19.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Aug,26-28,26/8/16,31,,ICM,Gu,41.0,1.0,27.0,-1.0,9.0,1.0,13.0,-1.0,4.0,0.0,14.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,26-31,26/8/16,,,Sky,,,,,,,,,,,,,,Internet,,,,55.0,25.0,30.0,21.0,65.0,-44.0,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Aug,29-30,29/8/16,,,YouGov,,,,,,,,,,,,,,Internet,,,,,,,23.0,58.0,-35.0,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Aug,30-31,30/8/16,,,YouGov,TT,38.0,-2.0,30.0,1.0,7.0,-1.0,14.0,1.0,4.0,0.0,8.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,52.0,21.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Sep,4-5,4/9/16,7,,YouGov,TT,40.0,2.0,29.0,-1.0,7.0,0.0,13.0,-1.0,3.0,-1.0,11.0,3.0,Internet,,,,48.0,17.0,31.0,21.0,61.0,-40.0,11.0,24.0,-13.0,,,,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Sep,5-6,5/9/16,,,Survation,,,,,,,,,,,,,,Internet,UK,,,45.0,25.0,20.0,25.0,52.0,-27.0,11.0,21.0,-10.0,,,,,,,To what extent do you think favourably or unfavourably towards…,,,,,,,,,,,,,,,,,
,Sep,9-11,9/9/16,12,,ICM,Gu,41.0,0.0,28.0,1.0,9.0,0.0,13.0,0.0,4.0,0.0,13.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,10-14,10/9/16,15,,Ipsos MORI,ES,40.0,-5.0,34.0,0.0,6.0,-1.0,9.0,3.0,5.0,1.0,6.0,-5.0,Phone,,,,54.0,27.0,27.0,27.0,58.0,-31.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,39.0,52.0,-13.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Sep,13-14,13/9/16,15,,YouGov,TT,38.0,-2.0,31.0,2.0,7.0,0.0,13.0,0.0,4.0,1.0,7.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,50.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Sep,16-19,16/9/16,,,Sky,,,,,,,,,,,,,,Internet,,,,53.0,29.0,24.0,25.0,60.0,-35.0,19.0,36.0,-17.0,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Sep,19-21,19/9/16,23,,YouGov,TT,39.0,1.0,30.0,-1.0,8.0,1.0,13.0,0.0,3.0,-1.0,9.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,19-23,20/9/16,28,,BMG,,39.0,0.0,28.0,-1.0,8.0,0.0,13.0,-1.0,5.0,0.0,11.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,21-23,21/9/16,25,,ICM,Sun on Sunday,41.0,0.0,26.0,-2.0,8.0,-1.0,14.0,1.0,4.0,0.0,15.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,22-23,22/9/16,,,Survation,LabourList,39.0,7.0,29.0,-3.0,8.0,-1.0,13.0,-3.0,4.0,,10.0,10.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,27-30,27/9/16,,,Opinium,,38.0,1.0,31.0,0.0,5.0,-1.0,16.0,1.0,4.0,0.0,7.0,1.0,Internet,,,,44.0,20.0,24.0,24.0,46.0,-22.0,14.0,29.0,-15.0,10.0,25.0,-15.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,44.0,17.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Sep,28-29,28/9/16,30,,YouGov,TT,39.0,0.0,30.0,0.0,8.0,0.0,13.0,0.0,3.0,0.0,9.0,0.0,Internet,,,,46.0,22.0,24.0,,,,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Oct,7-9,7/10/16,10,,ICM,Gu,43.0,2.0,26.0,0.0,8.0,0.0,11.0,-3.0,6.0,2.0,17.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,11-12,11/10/16,14,,YouGov,TT,42.0,3.0,28.0,-2.0,9.0,1.0,11.0,-2.0,3.0,0.0,14.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,51.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Oct,14-17,14/10/16,19,,Ipsos MORI,ES,47.0,7.0,29.0,-5.0,7.0,1.0,6.0,-3.0,4.0,-1.0,18.0,12.0,Phone,,,,48.0,32.0,16.0,31.0,55.0,-24.0,22.0,34.0,-12.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,37.0,53.0,-16.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Oct,18-21,18/10/16,22,,Opinium,Ob,39.0,1.0,30.0,-1.0,6.0,1.0,13.0,-3.0,4.0,0.0,9.0,2.0,Internet,,,,46.0,24.0,22.0,21.0,49.0,-28.0,13.0,33.0,-20.0,21.0,47.0,-26.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,46.0,16.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Oct,19-24,19/10/16,1,,BMG,,42.0,3.0,28.0,0.0,8.0,0.0,12.0,-1.0,4.0,-1.0,14.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,24-25,24/10/16,,,YouGov,TT,40.0,-2.0,27.0,-1.0,11.0,2.0,11.0,0.0,3.0,0.0,13.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,16.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Oct,28-30,28/10/16,1,,ICM,Gu,43.0,0.0,27.0,1.0,8.0,0.0,12.0,1.0,5.0,-1.0,16.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,31-1,31/10/16,3,,YouGov,TT,41.0,1.0,27.0,0.0,10.0,-1.0,11.0,0.0,4.0,1.0,14.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,47.0,17.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Nov,1-3,1/11/16,,,Opinium,,40.0,1.0,32.0,2.0,6.0,0.0,13.0,0.0,4.0,0.0,8.0,-1.0,Internet,,,,46.0,25.0,21.0,23.0,45.0,-22.0,13.0,31.0,-18.0,23.0,45.0,-22.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,45.0,16.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Nov,3-6,3/11/16,,,Sky,,,,,,,,,,,,,,Internet,,,,57.0,32.0,25.0,22.0,66.0,-44.0,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Nov,11-14,11/11/16,16,,Ipsos MORI,ES,42.0,-5.0,33.0,4.0,10.0,3.0,7.0,1.0,3.0,-1.0,9.0,-9.0,Phone,,,,54.0,30.0,24.0,28.0,57.0,-29.0,23.0,36.0,-13.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,43.0,47.0,-4.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Nov,14-15,14/11/16,18,,YouGov,TT,42.0,1.0,28.0,1.0,8.0,-2.0,11.0,0.0,4.0,0.0,14.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Nov,15-18,15/11/16,19,,Opinium,Ob,41.0,1.0,29.0,-3.0,7.0,1.0,12.0,-1.0,3.0,-1.0,12.0,4.0,Internet,,,,43.0,25.0,18.0,23.0,43.0,-20.0,14.0,35.0,-21.0,25.0,45.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,45.0,17.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Nov,18-20,18/11/16,21,,ICM,Gu,42.0,-1.0,28.0,1.0,9.0,1.0,11.0,-1.0,3.0,-2.0,14.0,-2.0,Internet,,,,46.0,24.0,22.0,20.0,54.0,-34.0,15.0,34.0,-19.0,31.0,43.0,-12.0,,,,"From what you have seen or heard, do you think … has done a good or bad job?",,,,,,,,,,,,,,,,,
,Nov,21-22,21/11/16,25,,YouGov,TT,41.0,-1.0,28.0,0.0,9.0,1.0,12.0,1.0,4.0,0.0,13.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,22-25,22/11/18,,,BMG,,,,,,,,,,,,,,Internet,,,,43.0,31.0,12.0,23.0,48.0,-25.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Nov,25-27,25/11/16,29,,ICM,Gu,44.0,2.0,28.0,0.0,7.0,-2.0,12.0,1.0,4.0,1.0,16.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,25-28,25/11/16,,,Sky,,,,,,,,,,,,,,Internet,,,,48.0,40.0,8.0,23.0,62.0,-39.0,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Nov,28-29,28/11/16,2,,YouGov,TT,39.0,-2.0,27.0,-1.0,9.0,0.0,14.0,2.0,4.0,0.0,12.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,45.0,18.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Nov,29-30,29/11/17,1,,YouGov,PB,,,,,,,,,,,,,Internet,,,,46.0,41.0,5.0,26.0,61.0,-35.0,17.0,39.0,-22.0,25.0,64.0,-39.0,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,,
,Dec,4-5,4/12/16,9,,YouGov,TT,42.0,3.0,25.0,-2.0,11.0,2.0,12.0,-2.0,4.0,0.0,17.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,49.0,16.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Dec,6-9,6/12/16,,,BMG,,,,,,,,,,,,,,Internet,,,,43.0,32.0,11.0,23.0,47.0,-24.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Dec,9-11,9/12/16,12,,ICM,Gu,41.0,-3.0,27.0,-1.0,9.0,2.0,14.0,2.0,3.0,-1.0,14.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,9-12,9/12/16,15,,Ipsos MORI,ES,40.0,-2.0,29.0,-4.0,14.0,4.0,9.0,2.0,3.0,0.0,11.0,2.0,Phone,,,,50.0,35.0,15.0,26.0,58.0,-32.0,27.0,28.0,-1.0,18.0,35.0,-17.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,36.0,53.0,-17.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Dec,13-16,13/12/16,18,,Opinium,Ob,38.0,-3.0,31.0,2.0,6.0,-1.0,13.0,1.0,4.0,1.0,7.0,-5.0,Internet,,,,42.0,27.0,15.0,21.0,47.0,-26.0,15.0,32.0,-17.0,11.0,33.0,-22.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,42.0,16.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Dec,18-19,18/12/16,2,,YouGov,TT,39.0,-3.0,24.0,-1.0,12.0,1.0,14.0,2.0,4.0,0.0,15.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,44.0,16.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
2017,Jan,3-4,3/1/17,6,,YouGov,TT,39.0,0.0,26.0,2.0,10.0,-2.0,14.0,0.0,4.0,0.0,13.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,47.0,14.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Jan,6-8,6/1/17,9,,ICM,Gu,42.0,1.0,28.0,1.0,9.0,0.0,12.0,-2.0,4.0,1.0,14.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,6-9,6/1/17,,,BMG,,,,,,,,,,,,,,Internet,,,,42.0,34.0,8.0,23.0,45.0,-22.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,,,,,,,,,,,,
,Jan,9-10,9/1/17,16,,YouGov,TT,39.0,0.0,28.0,2.0,11.0,1.0,13.0,-1.0,3.0,-1.0,11.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,45.0,17.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Jan,10-12,10/1/17,14,,Opinium,Ob,38.0,0.0,30.0,-1.0,7.0,1.0,14.0,1.0,4.0,0.0,8.0,1.0,Internet,,,,40.0,29.0,11.0,21.0,48.0,-27.0,17.0,31.0,-14.0,11.0,33.0,-22.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,40.0,16.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,,
,Jan,13,13/1/17,15,,Survation,MoS,38.0,-1.0,29.0,0.0,10.0,2.0,13.0,0.0,2.0,-2.0,9.0,-1.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,13-16,13/1/17,19,,Ipsos MORI,ES,43.0,3.0,31.0,2.0,11.0,-3.0,6.0,-3.0,4.0,1.0,12.0,1.0,Phone,,,,45.0,39.0,6.0,26.0,61.0,-35.0,23.0,33.0,-10.0,18.0,36.0,-18.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,36.0,56.0,-20.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jan,17-18,17/1/17,19,,YouGov,TT,42.0,3.0,25.0,-3.0,11.0,0.0,12.0,-1.0,3.0,0.0,17.0,6.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,20-22,20/1/17,23,,ICM,Gu,42.0,0.0,26.0,-2.0,10.0,1.0,13.0,1.0,5.0,1.0,16.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,23-24,23/1/17,26,,YouGov,TT,40.0,-2.0,24.0,-1.0,10.0,-1.0,14.0,2.0,4.0,1.0,16.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,47.0,15.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Jan,30-31,30/1/17,3,,YouGov,TT,40.0,0.0,26.0,2.0,11.0,1.0,12.0,-2.0,4.0,0.0,14.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,48.0,16.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
