,,Conservative,,Labour,,LD,,UKIP,,SDP,TIG,,BXP,,Green,,,Lead,,,,,,
,May-19,23.0,-4.4,27.8,-3.9,14.7,5.7,2.5,-2.6,,2.9,-2.3,18.3,5.7,5.4,1.2,,-4.8,-0.5,,,,,
,Jun-19,21.7,-1.3,23.0,-4.8,19.1,4.5,0.9,-1.6,,0.5,-2.4,21.6,3.3,7.6,2.3,,-1.3,3.5,,,,,
,Jul-19,27.1,5.4,24.7,1.7,18.2,-0.9,0.8,-0.2,,0.3,-0.2,17.0,-4.6,6.3,-1.3,,2.4,3.7,,,,,
,Aug-19,32.8,5.8,24.3,-0.4,18.2,-0.0,0.5,-0.3,,0.2,-0.1,13.0,-4.0,5.5,-0.8,,8.5,6.1,,,,,
,Sep-19,32.3,-0.5,24.6,0.3,19.5,1.3,0.6,0.1,,0.1,-0.0,13.1,0.1,4.3,-1.3,,7.6,-0.9,,,,,
,Oct-19,36.4,4.1,25.6,0.9,17.4,-2.1,0.5,-0.1,,0.1,-0.1,11.0,-2.1,3.9,-0.4,,10.8,3.1,,,,,
,Nov-19,41.4,5.1,30.2,4.7,14.7,-2.7,0.2,-0.2,,0.1,0.0,5.3,-5.7,3.2,-0.7,,11.2,0.4,,,,,
,Dec-19,43.1,1.7,33.2,3.0,12.0,-2.7,0.2,-0.0,,0.0,-0.1,3.0,-2.3,2.8,-0.4,,9.9,-1.3,,,,,
,GE,44.7,,32.9,,11.8,,,,,,,2.1,,2.8,,,11.8,,,,,,
2020,Jan-20,,,,,,,,,,,,,,,,,,,,,,,
,Feb-20,,,,,,,,,,,,,,,,,,,,,,,
,Mar-20,,,,,,,,,,,,,,,,,,,,,,,
,Apr-20,,,,,,,,,,,,,,,,,,,,,,,
