Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,BNP,,
,May,15-16,15/5/14,18,,YouGov,ST,23.0,1.0,27.0,-1.0,9.0,-1.0,26.0,1.0,9.0,1.0,Internet,
,May,15-19,15/5/14,20,,TNS-BMRB,,21.0,3.0,28.0,1.0,7.0,-3.0,31.0,-5.0,,,Internet,
,May,16-18,16/5/14,19,,ComRes,ITV,20.0,0.0,27.0,3.0,7.0,1.0,33.0,-4.0,6.0,1.0,Internet,
,May,16-19,16/5/14,,,Opinium,,23.0,3.0,25.0,-4.0,7.0,2.0,30.0,-1.0,6.0,1.0,Internet,
,May,18-19,18/5/14,20,,YouGov,,21.0,-2.0,28.0,1.0,10.0,1.0,24.0,-2.0,12.0,1.0,Internet,
,May,19-20,19/5/14,,,YouGov,,23.0,2.0,27.0,-1.0,10.0,0.0,27.0,3.0,8.0,1.0,Internet,
,May,19-20,19/5/14,21,,Survation,Mirror,23.0,2.0,27.0,-1.0,9.0,0.0,32.0,0.0,4.0,1.0,Internet,
,May,19-21,19/5/14,,,Opinium,,21.0,-2.0,25.0,0.0,6.0,-1.0,32.0,2.0,6.0,1.0,Internet,
,May,20-21,20/5/14,,,YouGov,,22.0,-1.0,26.0,-1.0,9.0,-1.0,27.0,0.0,10.0,1.0,Internet,
,,,,,,,,,,,,,,,,,,,
,,,,,,Result,,24.0,,25.0,,7.0,,27.0,,8.0,1.0,,
