Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1979,Jun,?-7,,NOP,,44.2,,45.5,,8.2,,-1.3,,,
,Jun,13-18,,Gallup,DT,42.0,,43.5,,12.0,,-1.5,,,
,Jul,?-5,,NOP,,43.1,-1.1,45.4,-0.1,9.5,1.3,-2.3,-1.0,,
,Jul,11-16,,Gallup,DT,41.0,-1.0,46.0,2.5,11.5,-0.5,-5.0,-3.5,,
,Aug,8-13,,Gallup,DT,41.5,0.5,44.0,-2.0,12.5,1.0,-2.5,2.5,,
,Aug,?-2,,NOP,,42.8,-0.3,47.3,1.9,8.6,-0.9,-4.5,-2.2,,
,Aug,,,MORI,,44.0,,45.0,,9.0,,-1.0,,,
,Sep,?-6,,NOP,,44.9,2.1,46.0,-1.3,7.4,-1.2,-1.1,3.4,,
,Sep,12-17,,Gallup,DT,40.5,-1.0,45.0,1.0,12.0,-0.5,-4.5,-2.0,,
,Sep,,,MORI,,42.0,-2.0,43.0,-2.0,12.0,3.0,-1.0,0.0,,
,Oct,?-9,,NOP,,40.9,-4.0,47.2,1.2,10.0,2.6,-6.3,-5.2,,
,Oct,10-15,,Gallup,DT,40.5,0.0,45.0,0.0,12.5,0.5,-4.5,0.0,,
,Oct,,,MORI,,41.0,-1.0,46.0,3.0,11.0,-1.0,-5.0,-4.0,,
,Nov,?-6,,NOP,,42.1,1.2,46.3,-0.9,10.1,0.1,-4.2,-2.1,,
,Nov,7-12,,Gallup,DT,39.0,-1.5,43.5,-1.5,15.5,3.0,-4.5,0.0,,
,Nov,21-2,,MORI,,40.0,-1.0,45.0,-1.0,13.0,2.0,-5.0,0.0,,
,Dec,?-4,,NOP,,40.1,-2.0,48.5,2.2,9.5,-0.6,-8.4,-4.2,,
,Dec,4-10,,Gallup,DT,38.0,-1.0,42.0,-1.5,18.0,2.5,-4.0,0.5,,
1980,Jan,?-8,,NOP,,37.2,-2.9,50.3,1.8,10.7,1.2,-13.1,-4.7,,
,Jan,9-14,,Gallup,DT,36.0,-2.0,45.0,3.0,16.0,-2.0,-9.0,-5.0,,
,Jan,18-19,,MORI,,39.0,-1.0,47.0,2.0,12.0,-1.0,-8.0,-3.0,,
,Jan,,,MORI,,40.0,1.0,43.0,-4.0,14.0,2.0,-3.0,5.0,,
,Feb,?-5,,NOP,,35.7,-1.5,51.9,1.6,11.2,0.5,-16.2,-3.1,,
,Feb,6-11,,Gallup,DT,37.5,1.5,42.0,-3.0,18.0,2.0,-4.5,4.5,,
,Feb,21-25,,MORI,,38.0,-2.0,46.0,3.0,14.0,0.0,-8.0,-5.0,,
,Mar,?-11,,NOP,,35.5,-0.2,49.6,-2.3,10.9,-0.3,-14.1,2.1,,
,Mar,11-17,,Gallup,DT,37.0,-0.5,49.5,7.5,11.5,-6.5,-12.5,-8.0,,
,Mar,,,MORI,,38.0,0.0,46.0,0.0,13.0,-1.0,-8.0,0.0,,
,Mar,27-28,,MORI,,42.0,4.0,46.0,0.0,9.0,-4.0,-4.0,4.0,,
,Apr,?-1,,NOP,,41.4,5.9,46.5,-3.1,10.7,-0.2,-5.1,9.0,,
,Apr,10-14,,Gallup,DT,36.5,-0.5,45.0,-4.5,15.0,3.5,-8.5,4.0,,
,Apr,24-28,,MORI,,39.0,-3.0,44.0,-2.0,14.0,5.0,-5.0,-1.0,,
,May,?-6,,NOP,,43.0,1.6,43.3,-3.2,11.7,1.0,-0.3,4.8,,
,May,15-19,,Gallup,DT,39.0,2.5,43.5,-1.5,15.5,0.5,-4.5,4.0,,
,Jun,?-3,,NOP,,41.0,-2.0,46.9,3.6,10.4,-1.3,-5.9,-5.6,,
,Jun,11-16,,Gallup,DT,40.5,1.5,45.0,1.5,11.5,-4.0,-4.5,0.0,,
,Jun,19-23,,MORI,,41.0,2.0,43.0,-1.0,13.0,-1.0,-2.0,3.0,,
,Jul,?-1,,NOP,,38.1,-2.9,47.3,0.4,11.7,1.3,-9.2,-3.3,,
,Jul,10-14,,Gallup,DT,40.0,-0.5,43.5,-1.5,14.0,2.5,-3.5,1.0,,
,Jul,24-27,,MORI,,37.0,-4.0,47.0,4.0,13.0,0.0,-10.0,-8.0,,
,Aug,?-5,,NOP,,40.0,1.9,46.3,-1.0,11.3,-0.4,-6.3,2.9,,
,Aug,14-18,,Gallup,DT,38.5,-1.5,44.0,0.5,14.5,0.5,-5.5,-2.0,,
,Aug,,,MORI,,37.0,0.0,48.0,1.0,13.0,0.0,-11.0,-1.0,,
,Sep,?-2,,NOP,,39.8,-0.2,47.6,1.3,11.0,-0.3,-7.8,-1.5,,
,Sep,10-15,,Gallup,DT,35.5,-3.0,45.0,1.0,16.5,2.0,-9.5,-4.0,,
,Sep,25-29,,MORI,,37.0,0.0,46.0,-2.0,15.0,2.0,-9.0,2.0,,
,Oct,1-6,,Gallup,DT,40.0,4.5,43.0,-2.0,13.5,-3.0,-3.0,6.5,,
,Oct,?-7,,NOP,,39.4,-0.4,46.5,-1.1,12.4,1.4,-7.1,0.7,,
,Oct,15-20,,Gallup,DT,40.0,0.0,43.0,0.0,13.5,0.0,-3.0,0.0,,
,Oct,,,MORI,,34.0,-3.0,50.0,4.0,15.0,0.0,-16.0,-7.0,,
,Nov,?-4,,NOP,,37.2,-2.2,47.7,1.2,12.6,0.2,-10.5,-3.4,,
,Nov,11,,MORI,,38.0,4.0,47.0,-3.0,13.0,-2.0,-9.0,7.0,,
,Nov,12-17,,Gallup,DT,36.5,-3.5,47.0,4.0,15.0,1.5,-10.5,-7.5,,
,Nov,,,MORI,,36.0,-2.0,50.0,3.0,13.0,0.0,-14.0,-5.0,,
,Dec,?-9,,NOP,,35.4,-1.8,51.2,3.5,11.9,-0.7,-15.8,-5.3,,
,Dec,10-15,,Gallup,DT,35.0,-1.5,47.5,0.5,14.5,-0.5,-12.5,-2.0,,
,Dec,18-19,,MORI,,32.0,-4.0,56.0,6.0,11.0,-2.0,-24.0,-10.0,,
