Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1981,Jan,?-13,,NOP,,34.5,-0.9,50.9,-0.3,12.2,0.3,-16.4,-0.6,,
,Jan,14-19,,Gallup,DT,33.0,-2.0,46.5,-1.0,18.5,4.0,-13.5,-1.0,,
,Jan,22-?,,MORI,,35.0,3.0,45.0,-11.0,17.0,6.0,-10.0,14.0,,
,Feb,?-2,,NOP,,37.0,2.5,41.1,-9.8,16.5,4.3,-4.1,12.3,,
,Feb,28-2 or 11-16,,Gallup,DT,36.0,3.0,35.5,-11.0,26.5,8.0,0.5,14.0,,
,Feb,?-23,,MORI,,33.0,-2.0,41.0,-4.0,25.0,8.0,-8.0,2.0,,
,Mar,?-3,,NOP,,35.9,-1.1,42.1,1.0,19.5,3.0,-6.2,-2.1,,
,Mar,12-16,,Gallup,DT,30.0,-6.0,34.0,-1.5,32.0,5.5,-4.0,-4.5,,
,Mar,19-23,,MORI,,28.0,-5.0,38.0,-3.0,32.0,7.0,-10.0,-2.0,,
,Apr,?-7,,NOP,,30.9,-5.0,39.3,-2.8,26.6,7.1,-8.4,-2.2,,
,Apr,8-13,,Gallup,DT,30.0,0.0,34.5,0.5,33.0,1.0,-4.5,-0.5,,
,Apr,23-27,,MORI,,30.0,2.0,38.0,0.0,29.0,-3.0,-8.0,2.0,,
,May,?-5,,NOP,,37.7,6.8,39.3,0.0,20.8,-5.8,-1.6,6.8,,
,May,6-11,,Gallup,DT,32.0,2.0,35.5,1.0,29.0,-4.0,-3.5,1.0,,
,May,9-11,,MORI,,38.0,8.0,41.0,3.0,19.0,-10.0,-3.0,5.0,,
,May,29-30,,MORI,,35.0,-3.0,39.0,-2.0,24.0,5.0,-4.0,-1.0,,
,Jun,?-9,,NOP,,31.5,-6.2,41.2,1.9,24.2,3.4,-9.7,-8.1,,
,Jun,10-15,,Gallup,DT,29.5,-2.5,37.5,2.0,30.5,1.5,-8.0,-4.5,,
,Jun,15-16,,MORI,,37.0,2.0,39.0,0.0,22.0,-2.0,-2.0,2.0,,
,Jun,18-22,,MORI,,31.0,-6.0,39.0,0.0,28.0,6.0,-8.0,0.0,,
,Jul,?-7,,NOP,,31.6,0.1,42.1,0.9,24.3,0.1,-10.5,-0.8,,
,Jul,8-13,,Gallup,DT,30.0,0.5,40.5,3.0,26.5,-4.0,-10.5,-2.5,,
,Jul,,,MORI,,30.0,-1.0,36.0,-3.0,31.0,3.0,-6.0,2.0,,
,Aug,?-11,,NOP,,33.5,1.9,37.4,-4.7,27.7,3.4,-3.9,6.6,,
,Aug,12-17,,Gallup,DT,28.0,-2.0,38.5,-2.0,32.5,6.0,-10.5,0.0,,
,Aug,,,MORI,,30.0,0.0,39.0,3.0,29.0,-2.0,-9.0,-3.0,,
,Sep,?-8,,NOP,,32.1,-1.4,40.4,3.0,24.7,-3.0,-8.3,-4.4,,
,Sep,9-14,,Gallup,DT,32.0,4.0,36.5,-2.0,29.0,-3.5,-4.5,6.0,,
,Sep,14-18,,MORI,,27.0,-3.0,38.0,-1.0,33.0,4.0,-11.0,-2.0,,
,Sep,28,,MORI,,28.0,1.0,42.0,4.0,28.0,-5.0,-14.0,-3.0,,
,Oct,?-6,,NOP,,29.2,-2.9,38.2,-2.2,30.6,5.9,-9.0,-0.7,,
,Oct,21-26,,Gallup,DT,29.5,-2.5,28.0,-8.5,40.0,11.0,,,,
,Oct,23-27,,MORI,,27.0,-1.0,31.0,-11.0,40.0,12.0,-4.0,10.0,,
,Nov,?-3,,NOP,,30.5,1.3,34.3,-3.9,33.1,2.5,-3.8,5.2,,
,Nov,11-16,,Gallup,DT,26.5,-3.0,29.0,1.0,42.0,2.0,,,,
,Nov,27-1,,MORI,,27.0,0.0,27.0,-4.0,44.0,4.0,0.0,4.0,,
,Nov,?-1,,NOP,,28.6,-1.9,32.1,-2.2,37.1,4.0,-3.5,0.3,,
,Dec,9-14,,Gallup,DT,23.0,-3.5,23.5,-5.5,50.5,8.5,,,,
,Dec,10-14,,MORI,,27.0,0.0,29.0,2.0,43.0,-1.0,-2.0,-2.0,,
1982,Jan,?-7,,NOP,,29.3,0.7,31.8,-0.3,35.9,-1.2,-2.5,1.0,,
,Jan,13-18,,Gallup,DT,27.5,4.5,29.5,6.0,39.5,-11.0,,,,
,Jan,21-25,,MORI,,29.0,2.0,30.0,1.0,40.0,-3.0,-1.0,1.0,,
,Feb,?-9,,NOP,,31.7,2.4,31.9,0.1,33.1,-2.8,-0.2,2.3,,
,Feb,10-15,,Gallup,DT,27.5,0.0,34.0,4.5,36.0,-3.5,,,,
,Feb,,,MORI,,30.0,1.0,33.0,3.0,34.0,-6.0,-3.0,-2.0,,
,Mar,?-9,,NOP,,29.7,-2.0,38.7,6.8,29.4,-3.7,-9.0,-8.8,,
,Mar,11-15,,Gallup,DT,31.5,4.0,33.0,-1.0,33.0,-3.0,-1.5,,,
,Mar,,,MORI,,34.0,4.0,34.0,1.0,30.0,-4.0,0.0,3.0,,
,Apr,?-6,,NOP,,32.5,2.8,33.2,-5.5,31.7,2.3,-0.7,8.3,,
,Apr,7-12,,Gallup,DT,31.5,0.0,29.0,-4.0,37.0,4.0,,,,
,Apr,14,,MORI,,33.0,-1.0,34.0,0.0,30.0,0.0,-1.0,-1.0,,
,Apr,20-21,,MORI,,36.0,,30.0,,31.0,,6.0,,Panel survey,
,Apr,23-24,,MORI,,39.0,3.0,32.0,2.0,27.0,-1.0,7.0,1.0,Panel survey,
,Apr,,,MORI,,35.0,2.0,30.0,-4.0,33.0,3.0,5.0,5.0,,
,Apr,30,,MORI,,43.0,8.0,30.0,0.0,25.0,-8.0,13.0,8.0,,
,May,?-4,,NOP,,40.7,8.2,29.3,-3.9,27.3,-4.4,11.4,12.1,,
,May,3-5,,MORI,,38.0,-1.0,32.0,0.0,28.0,1.0,6.0,-1.0,Panel survey,
,May,11-16 or 5-10,,Gallup,DT,41.5,10.0,28.0,-1.0,29.0,-8.0,13.5,,,
,May,,,MORI,,44.0,1.0,30.0,0.0,24.0,-1.0,14.0,1.0,,
,May,16,,MORI,,48.0,4.0,33.0,3.0,17.0,-7.0,15.0,1.0,,
,May,23,,MORI,,48.0,0.0,31.0,-2.0,20.0,3.0,17.0,2.0,,
,May,25-26,,MORI,,51.0,13.0,25.0,-7.0,23.0,-5.0,26.0,20.0,Panel survey,
,Jun,?-8,,NOP,,49.3,8.6,28.3,-1.0,20.6,-6.7,21.0,9.6,,
,Jun,9-14,,Gallup,DT,45.0,3.5,25.0,-3.0,28.5,-0.5,20.0,6.5,,
,Jun,21-23,,MORI,,51.0,0.0,24.0,-1.0,23.0,0.0,27.0,1.0,Panel survey,
,Jun,,,MORI,,48.0,4.0,28.0,-2.0,24.0,0.0,20.0,6.0,,
,Jul,?-6,,NOP,,44.1,-5.2,32.3,4.0,21.4,0.8,11.8,-9.2,,
,Jul,7-12,,Gallup,DT,46.5,1.5,27.5,2.5,24.0,-4.5,19.0,-1.0,,
,Jul,,,MORI,,45.0,-3.0,31.0,3.0,22.0,-2.0,14.0,-6.0,,
,Aug,?-10,,NOP,,44.0,-0.1,31.5,-0.8,22.1,0.7,12.5,0.7,,
,Aug,11-16,,Gallup,DT,44.5,-2.0,26.5,-1.0,27.5,3.5,18.0,-1.0,,
,Aug,,,MORI,,44.0,-1.0,30.0,-1.0,23.0,1.0,14.0,0.0,,
,Sep,?-7,,NOP,,45.0,1.0,31.1,-0.4,21.5,-0.6,13.9,1.4,,
,Sep,8-13,,Gallup,DT,44.0,-0.5,30.5,4.0,23.0,-4.5,13.5,-4.5,,
,Sep,,,MORI,,42.0,-2.0,30.0,0.0,27.0,4.0,12.0,-2.0,,
,Oct,?-5,,NOP,,40.4,-4.6,36.3,5.2,21.2,-0.3,4.1,-9.8,,
,Oct,7-12,,MORI,,42.0,0.0,33.0,3.0,23.0,-4.0,9.0,-3.0,,
,Oct,20-25,,Gallup,DT,40.5,-3.5,29.0,-1.5,27.0,4.0,11.5,-2.0,,
,Oct,21-26,,MORI,,43.0,1.0,32.0,-1.0,23.0,0.0,11.0,2.0,,
,Nov,?-2,,NOP,,43.9,3.5,33.5,-2.8,19.9,-1.3,10.4,6.3,,
,Nov,4-10,,MORI,,42.0,-1.0,33.0,1.0,23.0,0.0,9.0,-2.0,,
,Nov,10-15,,Gallup,DT,42.0,1.5,34.5,5.5,21.5,-5.5,7.5,-4.0,,
,Nov,18-24,,MORI,,43.0,1.0,35.0,2.0,21.0,-2.0,8.0,-1.0,,
,Dec,?-7,,NOP,,42.4,-1.5,38.0,4.5,17.4,-2.5,4.4,-6.0,,
,Dec,8-13,,Gallup,DT,41.0,-1.0,34.5,0.0,22.0,0.5,6.5,-1.0,,
,Dec,9-15,,MORI,,42.0,-1.0,35.0,0.0,21.0,0.0,7.0,-1.0,,
1983,Jan,?-5,10,NOP,DM,41.0,-1.4,36.0,-2.0,21.0,3.6,5.0,0.6,,
,Jan,?-11,,NOP,,43.4,2.4,34.6,-1.4,20.1,-0.9,8.8,3.8,,
,Jan,5-12,,MORI,,44.0,2.0,35.0,0.0,20.0,-1.0,9.0,2.0,,
,Jan,12-17,,Gallup,DT,44.0,3.0,31.5,-3.0,22.5,0.5,12.5,6.0,,
,Jan,20-26,,MORI,,44.0,0.0,36.0,1.0,19.0,-1.0,8.0,-1.0,,
,Feb,?-8,,NOP,,43.6,0.2,34.8,0.2,18.9,-1.2,8.8,0.0,,
,Feb,3-9,,MORI,,45.0,1.0,32.0,-4.0,21.0,2.0,13.0,5.0,,
,Feb,9-14,,Gallup,DT,43.5,-0.5,32.5,1.0,22.0,-0.5,11.0,-1.5,,
,Feb,17-23,,MORI,,46.0,1.0,32.0,0.0,21.0,0.0,14.0,1.0,,
,Feb,26,,MORI,,39.0,-7.0,26.0,-6.0,34.0,13.0,13.0,-1.0,,
,Mar,?-8,,NOP,,40.4,-3.2,31.3,-3.5,25.7,6.8,9.1,0.3,,
,Mar,3-9,,MORI,,41.0,2.0,27.0,1.0,30.0,-4.0,14.0,1.0,,
,Mar,16,,MORI,,42.0,1.0,28.0,1.0,27.0,-3.0,14.0,0.0,,
,Mar,17-21,,Gallup,DT,39.5,-4.0,28.5,-4.0,29.0,7.0,11.0,0.0,,
,Mar,17-23,,MORI,,43.0,1.0,28.0,0.0,28.0,1.0,15.0,1.0,,
,Apr,7-11,,Gallup,DT,40.5,1.0,35.0,6.5,22.5,-6.5,5.5,-5.5,,
,Apr,?-12,,NOP,,47.0,6.6,29.6,-1.7,21.7,-4.0,17.4,8.3,,
,Apr,7-12,,MORI,,43.0,0.0,34.0,6.0,22.0,-6.0,9.0,-6.0,,
,Apr,17-23,,MORI,,46.0,3.0,33.0,-1.0,21.0,-1.0,13.0,4.0,,
,Apr,21-25,,MORI,ST,45.0,-1.0,30.0,-3.0,23.0,2.0,15.0,2.0,Used to create panel for subsequent MORI ST panel surveys,
,May,4-9,,Gallup,DT,49.0,8.5,31.5,-3.5,17.5,-5.0,17.5,12.0,,
,May,5-11,,MORI,,46.0,1.0,32.0,2.0,22.0,-1.0,14.0,-1.0,,
,,,,Harris,Conservatives,44.0,,34.0,,20.0,,10.0,,,Internal party poll conducted just before 8 May election summit
,,,,Gallup,Conservatives,46.0,,31.0,,20.0,,15.0,,,Internal party poll conducted just before 8 May election summit
,May,6,,NOP,,47.0,0.0,34.0,4.4,18.0,-3.7,13.0,-4.4,,
,May,10,11,MORI,D Star,46.0,0.0,31.0,-1.0,21.0,-1.0,15.0,1.0,,
,May,11,13,Harris,Thames,52.0,,31.0,,17.0,,21.0,,,
,May,11-16,19,Gallup,DT,46.0,-3.0,33.0,1.5,19.0,1.5,13.0,-4.5,,
,May,12,13,MORI,DE,49.0,3.0,34.0,3.0,15.0,-6.0,15.0,0.0,,
,May,16,17,MORI,D Star,44.0,-5.0,37.0,3.0,17.0,2.0,7.0,-8.0,,
,May,16,17,ASL,TV-AM,46.0,,31.0,,21.0,,15.0,,Phone,
,May,16-17,18,NOP,DM,49.0,8.0,31.0,-5.0,19.0,-2.0,18.0,13.0,,
,May,17,19,ASL,Sun,44.0,-2.0,33.0,2.0,21.0,0.0,11.0,-4.0,Phone,
,May,17-18,22,MORI,ST,47.0,3.0,30.0,-7.0,21.0,4.0,17.0,10.0,Panel survey,
,May,18,19,Harris,Thames,45.0,-7.0,35.0,4.0,17.0,0.0,10.0,-11.0,,
,May,19,20,MORI,DE,46.0,-1.0,37.0,7.0,16.0,-5.0,9.0,-8.0,,
,May,19-20,22,Harris,Ob,45.0,0.0,36.0,1.0,18.0,1.0,9.0,-1.0,,
,May,20,22,Marplan,SM,47.0,,34.0,,18.0,,13.0,,,
,May,20-23,25,Gallup,DT,48.0,2.0,33.0,0.0,18.0,-1.0,15.0,2.0,,
,May,23,24,ASL,TV-AM,45.0,1.0,32.0,-1.0,20.0,-1.0,13.0,2.0,Phone,
,May,23,24,MORI,D Star,51.0,5.0,33.0,-4.0,15.0,-1.0,18.0,9.0,,
,May,23,26,NOP,DM,52.0,3.0,33.0,2.0,14.0,-5.0,19.0,1.0,,
,May,23-25,27,Marplan,Gu,47.5,0.5,32.5,-1.5,19.0,1.0,15.0,2.0,,
,May,24,26,ASL,Sun,45.0,0.0,32.0,0.0,21.0,1.0,13.0,0.0,Phone,
,May,24-25,26,Harris,Thames,48.0,3.0,33.0,-3.0,18.0,0.0,15.0,6.0,,
,May,24-25,29,MORI,ST,46.0,-5.0,30.0,-3.0,23.0,8.0,16.0,-2.0,Panel survey,
,May,24-26,29,Gallup,DT,49.0,1.0,31.5,-1.5,18.0,0.0,17.5,2.5,,
,May,25-30,3,Gallup,DT,47.5,-1.5,28.0,-3.5,23.0,5.0,19.5,2.0,,
,May,26,27,MORI,DE,51.0,5.0,29.0,-1.0,19.0,-4.0,22.0,6.0,,
,May,26-27,29,Harris,Ob,47.0,-1.0,30.0,-3.0,21.0,2.0,17.0,2.0,,
,May,27,29,Marplan,SM,49.5,2.0,31.0,-1.5,19.0,0.0,18.5,3.5,,
,May,30,31,ASL,TV-AM,41.0,-4.0,30.0,-2.0,24.0,3.0,11.0,-2.0,Phone,
,May,30-1,2,Marplan,Gu,47.0,-2.5,30.0,-1.0,22.0,2.0,17.0,-1.5,,
,May,31,1,MORI,D Star,44.0,-7.0,32.0,3.0,21.0,2.0,12.0,-10.0,,
,May,31,2,ASL,Sun,44.0,3.0,29.0,-1.0,25.0,1.0,15.0,4.0,Phone,
,May,31-1,2,Harris,TV-Eye,46.0,-1.0,28.0,-2.0,24.0,3.0,18.0,1.0,,
,May,31-2,5,Gallup,STel,45.5,-2.0,31.5,3.5,22.0,-1.0,14.0,-5.5,,
,Jun,1-2,5,MORI,ST,45.0,1.0,28.0,-4.0,25.0,4.0,17.0,5.0,Panel survey,
,Jun,2,3,MORI,DE,43.0,-2.0,32.0,4.0,23.0,-2.0,11.0,-6.0,,
,Jun,2-3,5,Harris,Ob,47.0,1.0,28.0,0.0,23.0,-1.0,19.0,1.0,,
,Jun,3,5,Marplan,SM,44.0,-3.0,27.0,-3.0,27.5,5.5,17.0,0.0,,
,Jun,3,5,NOP,MoS,47.0,-5.0,29.0,-4.0,23.0,9.0,18.0,-1.0,,
,Jun,3-4,,Harris,Conservatives,45.4,,28.4,,23.9,,17.0,,,
,Jun,5,7,ASL,Sun,45.0,1.0,24.0,-5.0,28.0,3.0,21.0,6.0,Phone,
,Jun,6,7,Marplan,Gu,47.0,3.0,26.0,-1.0,25.0,-2.5,21.0,4.0,,
,Jun,6-7,8,NOP,DM,46.0,-1.0,28.0,-1.0,24.0,1.0,18.0,0.0,,
,Jun,6-8,9,MORI,DE/D Star,47.0,4.0,26.0,-6.0,25.0,2.0,21.0,10.0,,
,Jun,7,9,ASL,Sun,46.0,1.0,23.0,-1.0,29.0,1.0,23.0,2.0,Phone,
,Jun,7-8,9,Harris,Ob,47.0,0.0,25.0,-3.0,26.0,3.0,22.0,3.0,,
,Jun,7-8,9,Gallup,DT,45.5,0.0,26.5,-5.0,26.0,4.0,19.0,5.0,,
,Jun,8,9,Marplan,Gu,46.0,-1.0,26.0,0.0,26.0,1.0,20.0,-1.0,,
,Jun,8,9,NOP,Northcliffe,47.0,1.0,25.0,-3.0,26.0,2.0,22.0,4.0,,
,Jun,8,9,MORI,ES,44.0,-3.0,28.0,2.0,26.0,1.0,16.0,-5.0,,
,,,,,,,,,,,,,,,
,,Exit polls,9,Harris,ITN,42.0,,28.0,,26.0,,14.0,,Actual exit poll,
,,,8-9,Gallup,BBC,43.9,,28.7,,25.8,,15.2,,Not really an exit poll - done through sampling people day before and on polling day,
,,,,,,,,,,,,,,,
,,,,Result,,43.5,,28.3,,26.0,,15.2,,,
