Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,
,Jun,9-14,,Gallup,DT,44.0,-,40.5,-0.5,11.0,0.5,3.5,0.5,,,,,
,Jul,6-11,,NOP,DM,42.1,-3.7,44.1,2.9,9.5,0.7,-2.0,-6.6,,,,,
,Jul,7-12,,Gallup,DT,41.0,-3.0,41.0,0.5,13.0,2.0,0.0,-3.5,,,,,
,Jul,13-18,,NOP,DM,43.6,1.5,43.5,-0.6,8.7,-0.8,0.1,2.1,,,,,
,Jul,,,ORC,ES,,,,,,,-9.0,-8.0,,,,,
,Aug,11-16,,Gallup,DT,44.0,3.0,41.0,0.0,10.0,-3.0,3.0,3.0,,,,,
,Aug,17-22,,NOP,DM,43.9,0.3,43.3,-0.2,9.3,0.6,0.6,0.5,,,,,
,Sep,7-12,,NOP,DM,46.5,2.6,40.5,-2.8,9.1,-0.2,6.0,5.4,,,,,
,Sep,15-20,,Gallup,DT,42.5,-1.5,42.0,1.0,11.0,1.0,0.5,-2.5,,,,,
,Sep,21-26,,NOP,DM,45.6,-0.9,39.6,-0.9,9.9,0.8,6.0,0.0,,,,,
,Oct,5-10,,NOP,DM,50.7,5.1,35.9,-3.7,9.5,-0.4,14.8,8.8,,,,,
,Oct,12-17,,NOP,DM,53.4,2.7,34.9,-1.0,8.3,-1.2,18.5,3.7,,,,,
,Oct,14-18,,Gallup,DT,48.0,5.5,36.5,-5.5,11.5,0.5,11.5,11.0,,,,,
,Oct,,,ORC,ES,,,,,,,-17.0,-8.0,,,,,
,Nov,2-7,,NOP,DM,49.3,-4.1,38.2,3.3,9.3,1.0,11.1,-7.4,,,,,
,Nov,10-15,,Gallup,DT,55.0,7.0,30.0,-6.5,11.5,0.0,25.0,13.5,,,,,
,Nov,23-28,,NOP,DM,55.2,5.9,31.3,-6.9,9.4,0.1,23.9,12.8,,,,,
,Dec,8-13,,Gallup,DT,49.5,-5.5,34.0,4.0,11.5,0.0,15.5,-9.5,,,,,
,Dec,8-14,,NOP,DM,47.9,-7.3,38.4,7.1,10.6,1.2,9.5,-14.4,,,,,
1977,Jan,12-17,,Gallup,DT,47.0,-2.5,34.0,0.0,14.5,3.0,13.0,-2.5,,,,,
,Jan,,26,NOP,DM,48.4,0.5,36.8,-1.6,10.2,-0.4,11.6,2.1,,,,,
,Jan,,2,NOP,DM,50.0,1.6,35.1,-1.7,11.2,1.0,14.9,3.3,,,,,
,Feb,9-14,,Gallup,DT,46.0,-1.0,33.5,-0.5,14.0,-0.5,12.5,-0.5,,,,,
,Feb,,16,NOP,DM,50.2,0.2,36.1,1.0,10.0,-1.2,14.1,-0.8,,,,,
,Feb,,23,NOP,DM,47.3,-2.9,37.4,1.3,10.9,0.9,9.9,-4.2,,,,,
,Mar,9-14,,Gallup,DT,49.5,3.5,33.0,-0.5,13.0,-1.0,16.5,4.0,,,,,
,Mar,,,MORI,DE,47.0,,38.0,,12.0,,9.0,,,,,,
,Mar,,23,NOP,DM,50.9,3.6,35.7,-1.7,9.7,-1.2,15.2,5.3,,,,,
,Apr,13-18,,Gallup,DT,49.0,-0.5,33.5,0.5,11.5,-1.5,15.5,-1.0,,,,,
,Apr,,20,NOP,DM,49.4,-1.5,38.3,2.6,9.1,-0.6,11.1,-4.1,,,,,
,May,,11,NOP,DM,52.9,3.5,36.9,-1.4,7.2,-1.9,16.0,4.9,,,,,
,May,11-16,,Gallup,DT,53.5,4.5,33.0,-0.5,8.5,-3.0,20.5,5.0,,,,,
,May,,2,NOP,DM,48.3,-4.6,41.0,4.1,6.6,-0.6,7.3,-8.7,,,,,
,Jun,9-13,,Gallup,DT,47.5,-6.0,37.0,4.0,10.5,2.0,10.5,-10.0,,,,,
,Jun,,22,NOP,DM,49.1,0.8,37.1,-3.9,10.8,4.2,12.0,4.7,,,,,
,Jul,,13,NOP,DM,53.1,4.0,35.1,-2.0,8.4,-2.4,18.0,6.0,,,,,
,Jul,13-18,,Gallup,DT,49.0,1.5,34.5,-2.5,10.5,0.0,14.5,4.0,,,,,
,Aug,,10,NOP,DM,51.3,-1.8,38.2,3.1,7.1,-1.3,13.1,-4.9,,,,,
,Aug,10-15,,Gallup,DT,48.5,-0.5,37.5,3.0,9.0,-1.5,11.0,-3.5,,,,,
,Aug,,,MORI,,,,,,,,10.0,,,,,,
,Sep,7-12,,Gallup,DT,45.5,-3.0,41.0,3.5,8.5,-0.5,4.5,-6.5,,,,,
,Sep,,14,NOP,DM,48.0,-3.3,41.8,3.6,7.3,2.0,6.2,-6.9,,,,,
,Sep,21-22,,MORI,DE,49.0,,42.0,,5.0,,7.0,,,,,,
,Sep,,,MORI,,,,,,,,7.0,-3.0,,,,,
,Oct,,19,NOP,DM,44.1,-3.9,45.8,4.0,7.3,0.0,-1.7,-7.9,,,,,
,Oct,19-24,,Gallup,DT,45.0,-0.5,45.0,4.0,8.0,-0.5,0.0,-4.5,,,,,
,Oct,,26,NOP,DM,46.7,2.6,43.0,-2.8,6.9,-0.4,3.7,5.4,,,,,
,Oct,25-26,,MORI,DE,45.0,-4.0,44.0,2.0,7.0,2.0,1.0,-6.0,,,,,
,Oct,,,MORI,,,,,,,,1.0,-6.0,,,,,
,Nov,,9,NOP,DM,45.5,-1.2,44.1,1.1,7.0,0.1,1.4,-2.3,,,,,
