Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
1983,Jun,16-20,4,MORI,DS,43.0,,27.0,,29.0,,,,,,16.0,,
,Jul,7-11,13,Gallup,DT,44.0,,28.5,,26.0,,,,,,15.5,,
,Jul,?-12,,NOP,,46.4,,27.4,,24.3,,,,,,19.0,,
,Jul,21-25,1,MORI,DE,44.0,1.0,30.0,3.0,25.0,-4.0,,,,,14.0,-2.0,
,Aug,?-2,,NOP,,47.1,0.7,24.5,-2.9,27.1,2.8,,,,,22.6,3.6,
,Aug,8-10,23,Marplan,GU,45.0,,30.0,,24.0,,,,,,15.0,,
,Aug,10-15,17,Gallup,DT,44.5,0.5,25.0,-3.5,29.0,3.0,,,,,19.5,4.0,
,Aug,18-22,4,MORI,DS,46.0,2.0,30.0,0.0,22.0,-3.0,,,,,16.0,2.0,
,Sep,?-6,,NOP,,46.1,-1.0,28.5,4.0,23.8,-3.3,,,,,17.6,-5.0,
,Sep,7-12,14,Gallup,DT,45.5,1.0,24.5,-0.5,29.0,0.0,,,,,21.0,1.5,
,Sep,22-26,,MORI,,45.0,-1.0,27.0,-3.0,26.0,4.0,,,,,18.0,2.0,
,Oct,?-4,,NOP,,43.9,-2.2,28.5,0.0,26.3,2.5,,,,,15.4,-2.2,
,Oct,5-6,8,Harris,OB,42.0,,39.0,,18.0,,,,,,3.0,,
,Oct,10-12,,Marplan,GU,42.0,-3.0,37.0,7.0,20.0,-4.0,,,,,5.0,-10.0,
,Oct,19-24,26,Gallup,DT,42.0,-3.5,35.5,11.0,20.5,-8.5,,,,,6.5,-14.5,
,Oct,20-24,30,MORI,ES,42.0,-3.0,37.0,10.0,19.0,-7.0,,,,,5.0,-13.0,
,Nov,,5,MORI,ST,43.0,1.0,35.0,-2.0,20.0,1.0,,,,,8.0,3.0,
,Nov,4-7,8,NOP,DM,44.0,0.1,32.0,3.5,22.0,-4.3,,,,,12.0,-3.4,
,Nov,?-8,,NOP,,45.3,1.3,35.7,3.7,18.1,-3.9,,,,,9.6,-2.4,
,Nov,7-9,,Marplan,GU,42.0,0.0,35.0,-2.0,22.0,2.0,,,,,7.0,2.0,
,Nov,9-14,16,Gallup,DT,43.5,1.5,36.0,0.5,19.5,-1.0,,,,,7.5,1.0,
,Nov,17-21,,MORI,,39.0,-4.0,37.0,2.0,22.0,2.0,,,,,2.0,-6.0,
,Dec,,3,MORI,ST,44.0,5.0,37.0,0.0,18.0,-4.0,,,,,7.0,5.0,
,Dec,?-6,,NOP,,41.5,-3.8,37.4,1.7,20.2,2.1,,,,,4.1,-5.5,
,Dec,5-7,15,Marplan,GU,41.0,-1.0,37.0,2.0,21.0,-1.0,,,,,4.0,-3.0,
,Dec,5-9,,MORI,,42.0,-2.0,37.0,0.0,19.0,1.0,,,,,5.0,-2.0,
,Dec,7-12,15,Gallup,DT,42.5,-1.0,36.0,0.0,19.5,0.0,,,,,6.5,-1.0,
,Dec,,17,MORI,ST,40.5,-1.5,39.5,2.5,18.0,-1.0,,,,,1.0,-4.0,
1984,Jan,5-9,16,MORI,ES,42.0,1.5,37.0,-2.5,19.0,1.0,,,,,5.0,0.0,
,Jan,?-10,,NOP,,44.1,2.6,37.0,-0.4,17.0,-3.2,,,,,7.1,3.0,
,Jan,11-16,19,Gallup,DT,41.5,-1.0,38.0,2.0,19.5,0.0,,,,,3.5,-3.0,
,Jan,12-16,26,Marplan,GU,42.0,1.0,38.0,1.0,19.0,-2.0,,,,,4.0,0.0,
,Jan,,20,Harris,OB,43.0,,36.0,,18.0,,,,,,7.0,,
,Jan,?-18,20,NOP,MoS,45.0,0.9,33.0,-4.0,20.0,3.0,,,,,12.0,4.9,
,Feb,?-7,,NOP,,46.7,1.7,35.4,2.4,15.5,-4.5,,,,,11.3,-0.7,
,Feb,8-13,15,Gallup,DT,43.0,1.5,33.5,-4.5,21.5,2.0,,,,,9.5,6.0,
,Feb,9-13,22,Marplan,GU,39.0,-3.0,40.0,2.0,20.0,1.0,,,,,-1.0,-5.0,
,Feb,16-20,27,MORI,ES,41.0,-1.0,38.0,1.0,19.0,0.0,,,,,3.0,-2.0,
,Mar,,3,MORI,ST,38.0,-3.0,41.0,3.0,18.0,-1.0,,,,,-3.0,-6.0,
,Mar,?-6,,NOP,,40.3,-6.4,41.1,5.7,17.4,1.9,,,,,-0.8,-12.1,
,Mar,14-20,27,MORI,ES,41.0,3.0,40.0,-1.0,17.0,-1.0,,,,,1.0,4.0,
,Mar,15-19,28,Marplan,GU,39.0,-1.0,39.0,-2.0,22.0,2.0,,,,,0.0,1.0,
,Mar,15-19,21,Gallup,DT,41.0,-2.0,38.5,5.0,19.5,-2.0,,,,,2.5,-7.0,
,Apr,?-10,,NOP,,41.0,0.7,39.6,-1.5,18.3,0.9,,,,,1.4,2.2,
,Apr,11-16,18,Gallup,DT,41.0,0.0,36.5,-2.0,20.5,1.0,,,,,4.5,2.0,
,Apr,12-16,26,Marplan,GU,40.0,1.0,37.0,-2.0,21.0,-1.0,,,,,3.0,3.0,
,Apr,13-17,28,Harris,OB,40.0,-3.0,36.0,0.0,22.0,4.0,,,,,4.0,-3.0,
,Apr,24-25,28,MORI,ST,42.0,1.0,36.0,-4.0,20.0,3.0,,,,,6.0,5.0,
,Apr,25-1,7,MORI,ES,40.0,-2.0,39.0,3.0,20.0,0.0,,,,,1.0,-5.0,
,May,?-8,,NOP,,42.6,1.6,35.5,-4.1,20.3,2.0,,,,,7.1,5.7,
,May,9-14,16,Gallup,DT,38.5,-2.5,36.5,0.0,23.0,2.5,,,,,2.0,-2.5,
,May,14,24,Marplan,GU,38.0,-2.0,37.0,0.0,23.0,2.0,,,,,1.0,-2.0,
,May,24-29,4,MORI,ES,40.0,0.0,38.0,-1.0,21.0,1.0,,,,,2.0,1.0,
,Jun,?-5,,NOP,,41.8,-0.8,36.2,0.7,20.3,0.0,,,,,5.6,-1.5,
,Jun,6-11,13,Gallup,DT,37.5,-1.0,38.0,1.5,23.0,0.0,,,,,-0.5,-2.5,
,Jun,7-8,9,MORI,ST,42.0,2.0,38.0,0.0,18.0,-3.0,,,,,4.0,2.0,
,Jun,7-11,21,Marplan,GU,37.0,-1.0,38.0,1.0,23.0,0.0,,,,,-1.0,-2.0,
,Jun,,16,Marplan,SM,38.0,1.0,39.0,1.0,22.0,-1.0,,,,,-1.0,0.0,
,Jun,21-25,2,MORI,ES,39.0,-3.0,39.0,1.0,21.0,3.0,,,,,0.0,-4.0,
,Jul,?-10,,NOP,,39.9,-1.9,36.5,0.3,21.6,1.3,,,,,3.4,-2.2,
,Jul,7-10,19,Marplan,GU,34.5,-3.5,39.0,0.0,25.5,3.5,,,,,-4.5,-3.5,
,Jul,11-16,18,Gallup,DT,37.5,0.0,38.5,0.5,22.0,-1.0,,,,,-1.0,-0.5,
,Jul,19-23,,MORI,,37.0,-2.0,40.0,1.0,20.0,-1.0,,,,,-3.0,-3.0,
,Aug,?-7,,NOP,,41.0,1.1,37.1,0.6,19.3,-2.3,,,,,3.9,0.5,
