Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
,Aug,8-13,15,Gallup,DT,36.0,-1.5,39.0,0.5,22.5,0.5,,,,,-3.0,-2.0,
,Aug,9-13,23,Marplan,GU,36.0,1.5,39.0,0.0,24.0,-1.5,,,,,-3.0,1.5,
,Aug,16-20,28,MORI,ES,39.0,2.0,39.0,-1.0,21.0,1.0,,,,,0.0,3.0,
,Aug,28-29,2,MORI,ST,39.0,0.0,40.0,1.0,19.0,-2.0,,,,,-1.0,-1.0,
,Sep,?-4,,NOP,,42.9,1.9,36.4,-0.7,18.3,-1.0,,,,,6.5,2.6,
,Sep,5-10,12,Gallup,DT,37.0,1.0,36.0,-3.0,25.5,3.0,,,,,1.0,4.0,
,Sep,6-10,18,MORI,TT,40.0,1.0,39.0,-1.0,19.0,0.0,,,,,1.0,2.0,
,Sep,7-11,23,Marplan,GU,39.0,3.0,38.0,-1.0,21.0,-3.0,,,,,1.0,4.0,
,Sep,17-21,27,MORI,ES,42.0,2.0,36.0,-3.0,20.0,1.0,,,,,6.0,5.0,
,Sep,20-24,3,Marplan,GU,38.0,-1.0,36.0,-2.0,24.0,3.0,,,,,2.0,1.0,
,Oct,3-4,7,MORI,ST,43.0,1.0,35.0,-1.0,19.0,-1.0,,,,,8.0,2.0,
,Oct,4-8,18,Marplan,GU,38.0,0.0,37.0,1.0,23.0,-1.0,,,,,1.0,-1.0,
,Oct,?-9,,NOP,,40.2,-2.7,33.5,-2.9,24.4,6.1,,,,,6.7,0.2,
,Oct,17-22,24,Gallup,DT,44.5,7.5,32.0,-4.0,21.5,-4.0,,,,,12.5,11.5,
,Oct,18-22,29,MORI,ES,44.0,1.0,35.0,0.0,20.0,1.0,,,,,9.0,1.0,
,Nov,1-5,14,Marplan,GU,42.0,4.0,33.0,-4.0,24.0,1.0,,,,,9.0,8.0,
,Nov,?-6,,NOP,,45.5,5.3,32.1,-1.4,20.8,-3.6,,,,,13.4,6.7,
,Nov,7-12,14,Gallup,DT,44.5,0.0,30.5,-1.5,23.5,2.0,,,,,14.0,1.5,
,Nov,15-19,26,MORI,ES,43.0,-1.0,35.0,0.0,19.0,-1.0,,,,,8.0,-1.0,
,Dec,?-4,,NOP,,42.0,-3.5,32.6,0.5,23.2,2.4,,,,,9.4,-4.0,
,Dec,5-7,9,MORI,ST,41.0,-2.0,37.0,2.0,20.0,1.0,,,,,4.0,-4.0,
,Dec,5-10,12,Gallup,DT,39.5,-5.0,31.0,0.5,27.5,4.0,,,,,8.5,-5.5,
,Dec,6-10,20,Marplan,GU,41.0,-1.0,32.0,-1.0,26.0,2.0,,,,,9.0,0.0,
,Dec,6-10,,MORI,,40.0,-1.0,36.0,-1.0,22.0,2.0,,,,,4.0,0.0,
,Dec,28,6,MORI,ST,38.0,-2.0,36.0,0.0,25.0,3.0,,,,,2.0,-2.0,
1985,Jan,2-7,14,MORI,ES,42.0,4.0,34.0,-2.0,21.0,-4.0,,,,,8.0,6.0,
,Jan,5,8,NOP,DM,33.0,-9.0,38.0,5.4,28.0,4.8,,,,,-5.0,-14.4,
,Jan,9-14,16,Gallup,DT,39.0,-0.5,33.0,2.0,25.5,-2.0,,,,,6.0,-2.5,
,Jan,10-14,23,Marplan,GU,41.0,0.0,33.0,1.0,25.0,-1.0,,,,,8.0,-1.0,
,Jan,?-15,,NOP,,38.1,5.1,33.2,-4.8,26.9,-1.1,,,,,4.9,9.9,
,Feb,?-5,,NOP,,37.9,-0.2,34.1,0.9,25.5,-1.4,,,,,3.8,-1.1,
,Feb,6,10,MORI,ST,37.0,-5.0,37.0,3.0,24.0,3.0,,,,,0.0,-8.0,
,Feb,6-11,13,Gallup,DT,35.0,-4.0,32.0,-1.0,31.5,6.0,,,,,3.0,-3.0,
,Feb,7-11,20,Marplan,GU,38.0,-3.0,35.0,2.0,26.0,1.0,,,,,3.0,-5.0,
,Feb,16-18,28,MORI,LWT,38.0,1.0,40.0,3.0,19.0,-5.0,,,,,-2.0,-2.0,
,Feb,19-24,4,MORI,ES,39.0,1.0,35.0,-5.0,24.0,5.0,,,,,4.0,6.0,
,Feb,21-25,6,Marplan,GU,38.0,0.0,36.0,1.0,25.0,-1.0,,,,,2.0,-1.0,
,Mar,?-5,,NOP,,38.5,0.6,37.3,3.2,22.0,-3.5,,,,,1.2,-2.6,
,Mar,6-7,9,Harris,OB,40.0,,38.0,,19.0,,,,,,2.0,,
,Mar,7-11,20,Marplan,GU,36.0,-2.0,36.0,0.0,27.0,2.0,,,,,0.0,-2.0,
,Mar,8,9,NOP,MoS,35.0,-3.5,35.0,-2.3,26.0,4.0,,,,,0.0,-1.2,
,Mar,19-24,1,MORI,ES,36.0,-3.0,40.0,5.0,23.0,-1.0,,,,,-4.0,-8.0,
,Mar,21-22,24,MORI,ST,37.0,1.0,39.0,-1.0,22.0,-1.0,,,,,-2.0,2.0,
,Mar,21-25,27,Gallup,DT,33.0,-2.0,39.5,7.5,25.5,-6.0,,,,,-6.5,-9.5,
,Apr,11-15,24,Marplan,GU,33.0,-3.0,38.0,2.0,28.0,1.0,,,,,-5.0,-5.0,
,Apr,?-16,,NOP,,39.9,4.9,37.0,2.0,20.9,-5.1,,,,,2.9,2.9,
,Apr,17-22,24,Gallup,DT,34.0,1.0,37.5,-2.0,26.5,1.0,,,,,-3.5,3.0,
,Apr,25-28,6,MORI,ES,38.0,1.0,37.0,-2.0,24.0,2.0,,,,,1.0,3.0,
,May,7-13,19,MORI,ST,34.0,-4.0,36.0,-1.0,28.0,4.0,,,,,-2.0,-3.0,
,May,8-13,15,Gallup,DT,30.5,-3.5,34.0,-3.5,33.5,7.0,,,,,-3.5,0.0,
,May,9-13,22,Marplan,GU,29.0,-4.0,35.0,-3.0,35.0,7.0,,,,,-6.0,-1.0,
,May,?-21,,NOP,,32.2,-7.7,35.3,-1.7,30.2,9.3,,,,,-3.1,-6.0,
,May,21-26,3,MORI,ES,33.0,-1.0,35.0,-1.0,30.0,2.0,,,,,-2.0,0.0,
,Jun,6-10,19,Marplan,GU,31.0,2.0,36.0,1.0,32.0,-3.0,,,,,-5.0,1.0,
,Jun,?-11,,NOP,,34.3,2.1,35.5,0.2,30.2,0.0,,,,,-1.2,1.9,
,Jun,12-17,19,Gallup,DT,34.5,4.0,34.5,0.5,30.0,-3.5,,,,,0.0,3.5,
,Jun,18-23,30,MORI,ES,35.0,2.0,36.0,1.0,27.0,-3.0,,,,,-1.0,1.0,
,Jun,21,23,MORI,ST,32.0,-3.0,40.0,4.0,26.0,-1.0,,,,,-8.0,-7.0,
,Jul,4-8,17,Marplan,GU,31.0,0.0,34.0,-2.0,33.0,1.0,,,,,-3.0,2.0,
,Jul,?-9,,NOP,,32.2,-2.1,35.0,-0.5,30.7,0.5,,,,,-2.8,-1.6,
,Jul,10-15,17,Gallup,DT,27.5,-7.0,38.0,3.5,32.5,2.5,,,,,-10.5,-10.5,
,Jul,16-21,29,MORI,ES,33.0,1.0,34.0,-6.0,31.0,5.0,,,,,-1.0,7.0,
,Aug,?-6,,NOP,,31.3,-0.9,35.0,0.0,31.8,1.1,,,,,-3.7,-0.9,
,Aug,7-12,14,Gallup,DT,24.0,-3.5,40.0,2.0,34.0,1.5,,,,,-16.0,-5.5,
,Aug,8-12,21,Marplan,GU,31.0,0.0,36.0,2.0,31.0,-2.0,,,,,-5.0,-2.0,
,Aug,9,11,MORI,ST,33.0,0.0,37.0,3.0,29.0,-2.0,,,,,-4.0,-3.0,
,Aug,13-18,26,MORI,ES,31.0,-2.0,35.0,-2.0,31.0,2.0,,,,,-4.0,0.0,
,Aug,29-3,11,Marplan,GU,30.0,-1.0,34.0,-2.0,35.0,4.0,,,,,,,
,Sep,?-3,,NOP,,31.6,0.3,33.9,-1.1,32.5,0.7,,,,,-2.3,1.4,
,Sep,3-8,15,MORI,ES,31.0,0.0,37.0,2.0,31.0,0.0,,,,,-6.0,-2.0,
,Sep,5-7,14,Harris,LWT,35.0,,36.0,,26.0,,,,,,-1.0,,
,Sep,11-16,18,Gallup,DT,29.0,5.0,29.5,-10.5,39.0,5.0,,,,,,,
,Sep,12-16,25,Marplan,GU,31.0,1.0,32.0,-2.0,36.0,1.0,,,,,,,
,Sep,17-22,29,MORI,ES,30.0,-1.0,33.0,-4.0,35.0,4.0,,,,,,,
,Sep,28-29,2,Harris,Thames,33.0,-2.0,32.0,-4.0,32.0,,,,,,1.0,2.0,
,Oct,2-3,4,MORI,TT,34.0,4.0,36.0,3.0,28.0,-7.0,,,,,-2.0,,
,Oct,3-4,5,Harris,OB,32.0,-1.0,39.0,7.0,27.0,-5.0,,,,,-7.0,-8.0,
,Oct,?-8,,NOP,,35.4,3.8,34.9,1.0,27.5,-5.0,,,,,0.5,2.8,
,Oct,10-14,23,Marplan,GU,32.0,1.0,34.0,2.0,32.0,-4.0,,,,,-2.0,,
,Oct,15-20,28,MORI,ES,37.0,3.0,36.0,0.0,25.0,-3.0,,,,,1.0,3.0,
,Oct,16-21,23,Gallup,DT,32.0,3.0,38.0,8.5,28.0,-11.0,,,,,-6.0,,
,Oct,17-19,26,NOP,MoS,37.0,1.6,34.0,-0.9,28.0,0.5,,,,,3.0,2.5,
,Nov,?-5,,NOP,,34.6,-2.4,36.7,2.7,26.3,-1.7,,,,,-2.1,-5.1,
,Nov,6-11,14,Gallup,DT,35.0,3.0,34.0,-4.0,29.5,1.5,,,,,1.0,7.0,
,Nov,7-11,20,Marplan,GU,34.0,2.0,35.0,1.0,29.0,-3.0,,,,,-1.0,1.0,
,Nov,19-24,1,MORI,ES,36.0,-1.0,36.0,0.0,25.0,0.0,,,,,0.0,-1.0,
,Dec,?-3,,NOP,,36.2,1.6,37.4,0.7,24.5,-1.8,,,,,-1.2,0.9,
,Dec,3-8,,MORI,,35.0,-1.0,35.0,-1.0,28.0,3.0,,,,,0.0,0.0,
,Dec,4-9,13,Gallup,DT,33.0,-2.0,32.5,-1.5,32.5,3.0,,,,,0.5,-0.5,
,Dec,5-9,19,Marplan,GU,35.0,1.0,33.0,-2.0,30.0,1.0,,,,,2.0,3.0,
1986,Jan,4-8,13,MORI,ES,33.0,-2.0,38.0,3.0,28.0,0.0,,,,,-5.0,-5.0,
,Jan,8-13,15,Gallup,DT,29.5,-3.5,34.0,1.5,35.0,2.5,,,,,,,
,Jan,9-12,22,Marplan,GU,29.0,-6.0,36.0,3.0,33.0,3.0,,,,,-7.0,-9.0,
,Jan,?-13,,NOP,,33.2,-3.0,32.5,-4.9,32.1,7.6,,,,,0.7,1.9,
,Jan,12,13,Harris,ITN,32.0,,33.0,,31.0,,,,,,-1.0,,
,Jan,24,25,Harris,OB,31.0,-1.0,36.0,3.0,30.0,-1.0,,,,,-5.0,-4.0,
,Feb,5-10,12,Gallup,DT,29.5,0.0,35.5,1.5,33.5,-1.5,,,,,-6.0,,
,Feb,6-10,19,Marplan,GU,27.0,-2.0,36.0,0.0,35.0,2.0,,,,,-9.0,-2.0,
,Feb,?-10,,NOP,,29.6,-3.6,37.4,4.9,30.6,-1.5,,,,,-7.8,-8.5,
,Feb,8-12,16,MORI,ST,33.0,0.0,37.0,-1.0,29.0,1.0,,,,,-4.0,1.0,
,Feb,22-26,4,MORI,ES,34.0,1.0,35.0,-2.0,30.0,1.0,,,,,-1.0,3.0,
,Mar,6-10,12,Marplan,GU,32.0,5.0,35.0,-1.0,31.0,-4.0,,,,,-3.0,6.0,
,Mar,?-10,,NOP,,32.5,2.9,34.8,-2.6,30.8,0.2,,,,,-2.3,5.5,
,Mar,20-24,26,Gallup,DT,29.5,0.0,34.0,-1.5,34.5,1.0,,,,,,,
,Mar,20-21,23,MORI,ST,31.0,-3.0,39.0,4.0,28.0,-2.0,,,,,-8.0,-7.0,
,Mar,22-26,,MORI,,34.0,3.0,36.0,-3.0,28.0,0.0,,,,,-2.0,6.0,
,Apr,?-7,,NOP,,33.8,1.3,34.7,-0.1,29.0,-1.8,,,,,-0.9,1.4,
,Apr,4-8,9,Marplan,GU,32.0,0.0,35.0,0.0,30.0,-1.0,,,,,-3.0,0.0,
,Apr,9-14,16,Gallup,DT,28.0,-1.5,38.5,4.5,31.5,-3.0,,,,,-10.5,,
,Apr,17-21,23,Gallup,DT,33.5,5.5,38.0,-0.5,26.0,-5.5,,,,,-4.5,6.0,
,Apr,19-22,29,MORI,ES,34.0,0.0,39.0,3.0,25.0,-3.0,,,,,-5.0,-3.0,
,May,1-2,4,MORI,ST,36.0,2.0,38.0,-1.0,23.0,-2.0,,,,,-2.0,3.0,
,May,8-12,15,Gallup,DT,27.5,-6.0,37.0,-1.0,32.5,6.5,,,,,-9.5,-5.0,
,May,?-12,,NOP,,33.6,-0.2,38.5,3.8,25.9,-3.1,,,,,-4.9,-4.0,
,May,15-19,21,Marplan,GU,28.0,-4.0,39.0,4.0,30.0,0.0,,,,,-11.0,-8.0,
,May,17-21,27,MORI,ES,32.0,-4.0,40.0,2.0,26.0,3.0,,,,,-8.0,-6.0,
,Jun,?-2,,NOP,,34.0,0.4,36.1,-2.4,27.8,1.9,,,,,-2.1,2.8,
,Jun,11-16,18,Gallup,DT,34.0,6.5,39.0,2.0,24.5,-8.0,,,,,-5.0,4.5,
,Jun,12,14,Harris,OB,31.0,,40.0,,25.0,,,,,,-9.0,,
,Jun,12-16,18,Marplan,GU,33.0,5.0,39.0,0.0,26.0,-4.0,,,,,-6.0,5.0,
,Jun,20-24,30,MORI,ES,34.0,2.0,40.0,0.0,23.0,-3.0,,,,,-6.0,2.0,
,Jul,?-14,,NOP,,36.3,2.3,36.4,0.3,25.0,-2.8,,,,,-0.1,2.0,
,Jul,9-14,16,Gallup,DT,33.0,-1.0,38.0,-1.0,27.0,2.5,,,,,-5.0,0.0,
,Jul,10-14,16,Marplan,GU,31.0,-2.0,38.0,-1.0,28.0,2.0,,,,,-7.0,-1.0,
,Jul,18-22,28,MORI,ES,36.0,2.0,37.0,-3.0,25.0,2.0,,,,,-1.0,5.0,
,Jul,25-29,3,Marplan,Today on S,29.5,-1.5,41.0,3.0,27.5,-0.5,,,,,-11.5,-4.5,
,Jul,30-31,,MORI,TT-ITN,32.0,-4.0,41.0,4.0,25.0,0.0,,,,,-9.0,-8.0,
,Aug,6-11,13,Gallup,DT,30.0,-3.0,36.5,-1.5,30.0,3.0,,,,,-6.5,-1.5,
,Aug,7-11,13,Marplan,GU,32.0,2.5,38.0,-3.0,27.0,-0.5,,,,,-6.0,5.5,
,Aug,?-11,,NOP,,34.6,-1.7,37.3,0.9,25.1,0.1,,,,,-2.7,-2.6,
,Aug,15-19,27,MORI,ES,37.0,5.0,37.0,-4.0,24.0,-1.0,,,,,0.0,9.0,
,Aug,22-27,28,Marplan,Today,35.0,3.0,38.0,0.0,24.0,-3.0,,,,,-3.0,3.0,
,Sep,?-8,,NOP,,34.1,-0.5,42.4,5.1,21.6,-3.5,,,,,-8.3,-5.6,
,Sep,4-9,10,Marplan,GU,34.0,-1.0,40.0,2.0,24.0,0.0,,,,,-6.0,-3.0,
,Sep,10-15,17,Gallup,DT,32.5,2.5,38.0,1.5,27.5,-2.5,,,,,-5.5,1.0,
,Sep,19-23,24,Marplan,Today,34.0,0.0,40.0,0.0,24.0,0.0,,,,,-6.0,0.0,
,Sep,19-23,28,MORI,ES,35.0,-2.0,37.0,0.0,26.0,2.0,,,,,-2.0,-2.0,
,Oct,2-3,4,Harris,OB,38.0,,41.0,,20.0,,,,,,-3.0,,
,Oct,?-6,,NOP,,37.5,3.4,37.6,-4.8,22.2,0.6,,,,,-0.1,8.2,
,Oct,3-7,8,Marplan,GU,36.0,2.0,39.0,-1.0,23.0,-1.0,,,,,-3.0,3.0,
,Oct,,9,,,36.0,,39.0,,23.0,,,,,,-3.0,,
,Oct,16-20,22,Gallup,DT,37.5,5.0,37.5,-0.5,22.0,-5.5,,,,,0.0,5.5,
,Oct,16-20,23,Marplan,Today,40.0,4.0,41.0,2.0,17.0,-6.0,,,,,-1.0,2.0,
,Oct,17-22,27,MORI,ES,39.0,4.0,41.0,4.0,17.0,-9.0,,,,,-2.0,0.0,
,Oct,21-24,4,Marplan,PA,41.0,1.0,37.5,-3.5,19.0,2.0,,,,,3.5,4.5,
,Oct,,7,G9000,,37.2,,38.6,,22.0,,,,,,-1.4,,
,Nov,1-2,3,Harris,TV-AM,40.0,2.0,36.0,-5.0,21.0,1.0,,,,,4.0,7.0,
,Nov,,4,,,31.0,,47.0,,19.0,,,,,,-16.0,,
,Nov,,5,,,37.5,,41.0,,19.0,,,,,,-3.5,,
,Nov,3-4,9,MORI,ST,40.0,1.0,39.0,-2.0,18.0,1.0,,,,,1.0,3.0,
,Nov,?-10,11,NOP,,40.7,3.2,38.5,0.9,18.2,-4.0,,,,,2.2,2.3,
,Nov,,12,MORI,,39.0,-1.0,41.0,2.0,18.0,0.0,,,,,-2.0,-3.0,
,Nov,7-11,12,Marplan,GU,39.0,-2.0,36.0,-1.5,23.0,4.0,,,,,3.0,-0.5,
,Nov,12-17,20,Gallup,DT,36.0,-1.5,39.5,2.0,22.0,0.0,,,,,-3.5,-3.5,
,Nov,20-26,2,MORI,ES,41.0,2.0,39.0,-2.0,18.0,0.0,,,,,2.0,4.0,
,Nov,21-24,29,Marplan,Today,39.0,0.0,38.0,2.0,20.0,-3.0,,,,,1.0,-2.0,
,Nov,,5,G9000,,37.7,0.5,38.3,-0.3,21.6,-0.4,,,,,-0.6,0.8,
,Dec,,3,NOP,,41.0,0.3,38.0,-0.5,19.5,1.3,,,,,3.0,0.8,
,Dec,4-8,11,Marplan,GU,39.0,0.0,38.0,0.0,21.0,1.0,,,,,1.0,0.0,
,Dec,6-7,10,Harris,TV-AM,41.0,1.0,35.0,-1.0,22.0,1.0,,,,,6.0,2.0,
,Dec,8-12,14,MORI,ST,41.0,0.0,39.0,0.0,19.0,1.0,,,,,2.0,0.0,
,Dec,?-15,,NOP,,41.3,0.3,34.9,-3.1,21.1,1.6,,,,,6.4,3.4,
,Dec,10-15,20,Gallup,,41.0,5.0,32.5,-7.0,23.5,1.5,,,,,8.5,12.0,
,Dec,18-30,3,MORI,ST,39.0,-2.0,38.0,-1.0,21.0,2.0,,,,,1.0,-1.0,
,Dec,,9,G9000,,38.2,0.5,35.0,-3.3,24.3,2.7,,,,,3.2,3.8,
1987,Jan,7-14,21,NOP,ES,42.0,0.7,37.0,2.1,19.0,-2.1,,,,,5.0,-1.4,
,Jan,9-12,15,Marplan,GU,38.0,-1.0,36.0,-2.0,23.0,2.0,,,,,2.0,1.0,
,Jan,10-11,13,Harris,TV-AM,42.0,1.0,37.0,2.0,20.0,-2.0,,,,,5.0,-1.0,
,Jan,14-20,22,Gallup,DT,34.5,-0.7,39.5,7.0,23.5,0.0,,,,,-5.0,-13.5,
,Jan,20-22,25,Harris,OB,44.0,2.0,36.0,-1.0,18.0,-2.0,,,,,8.0,3.0,
,Jan,21-28,4,NOP,C4 Union World,38.0,-4.0,40.0,3.0,20.0,1.0,,,,,-2.0,-7.0,
,Jan,23-27,30,Marplan,Today,38.5,0.5,38.5,2.5,20.0,-3.0,,,,,0.0,-2.0,
,Jan,23-28,1,MORI,ST,39.0,0.0,38.0,0.0,21.0,0.0,,,,,1.0,0.0,
,Jan,30-1,2,Harris,TV-AM,37.0,-7.0,39.0,3.0,22.0,4.0,,,,,-2.0,-10.0,
,Jan,,6,G9000,,37.4,-0.8,36.6,1.1,23.8,-0.5,,,,,0.8,-2.4,
,Feb,4-9,18,NOP,ES,39.0,1.0,37.0,-3.0,23.0,3.0,,,,,2.0,4.0,
,Feb,6-10,12,Marplan,GU,38.0,-0.5,35.0,-3.5,25.0,5.0,,,,,3.0,3.0,
,Feb,6-10,15,MORI,ST,39.0,0.0,36.0,-2.0,23.0,2.0,,,,,3.0,2.0,
,Feb,11-16,19,Gallup,DT,36.0,1.5,34.5,-5.0,27.5,2.0,,,,,1.5,6.5,
,Feb,17-19,22,Harris,OB,39.0,2.0,37.0,-2.0,23.0,1.0,,,,,2.0,4.0,
,Feb,20-25,1,MORI,ST,41.0,2.0,35.0,-1.0,21.0,-2.0,,,,,6.0,3.0,
,Feb,25-2,10,NOP,ES,39.0,0.0,34.0,-3.0,25.0,2.0,,,,,5.0,3.0,
,Feb,27-1,3,Harris,TV-AM,36.0,-3.0,33.0,-4.0,29.0,6.0,,,,,3.0,1.0,
,Feb,,6,G9000,,37.7,0.3,33.7,-2.9,26.6,2.8,,,,,4.0,3.2,
,Mar,6-10,12,Marplan,GU,38.0,0.0,32.0,-3.0,27.0,2.0,,,,,6.0,3.0,
