Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1946,Jan,,,Gallup,News Chron,32.0,,52.5,,11.0,,-20.5,,,
,May,,,Gallup,News Chron,40.0,8.0,43.5,-9.0,13.0,2.0,-3.5,17.0,,
1947,Jan,,,Gallup,News Chron,41.0,1.0,44.5,1.0,12.0,-1.0,-3.5,0.0,,
,Mar,,,Gallup,News Chron,43.5,2.5,43.5,-1.0,10.5,-1.5,0.0,3.5,,
,Jun,,,Gallup,News Chron,42.5,-1.0,42.5,-1.0,12.5,2.0,0.0,0.0,,
,Jul,,,Gallup,News Chron,42.5,0.0,42.5,0.0,12.5,0.0,0.0,0.0,,
,Aug,,,Gallup,News Chron,44.5,2.0,41.0,-1.5,11.0,-1.5,3.5,3.5,,
,Sep,,,Gallup,News Chron,44.5,0.0,39.5,-1.5,11.5,0.5,5.0,1.5,,
,Nov,,,Gallup,News Chron,50.5,6.0,38.0,-1.5,9.0,-2.5,12.5,7.5,,
1948,Jan,,,Gallup,News Chron,44.5,-6.0,43.5,5.5,10.5,1.5,1.0,-11.5,,
,Feb,,,Gallup,News Chron,46.0,1.5,42.0,-1.5,8.5,-2.0,4.0,3.0,,
,Mar,,,Gallup,News Chron,46.0,0.0,43.0,1.0,8.5,0.0,3.0,-1.0,,
,Apr,,,Gallup,News Chron,42.5,-3.5,41.0,-2.0,10.5,2.0,1.5,-1.5,,
,May,,,Gallup,News Chron,45.0,2.5,41.5,0.5,11.0,0.5,3.5,2.0,,
,Jul,,,Gallup,News Chron,48.0,3.0,39.5,-2.0,9.0,-2.0,8.5,5.0,,
,Aug,,,Gallup,News Chron,48.0,0.0,41.0,1.5,8.5,-0.5,7.0,-1.5,,
,Sep,,,Gallup,News Chron,47.5,-0.5,41.5,0.5,10.0,1.5,6.0,-1.0,,
,Oct,,,Gallup,News Chron,46.5,-1.0,41.5,0.0,9.5,-0.5,5.0,-1.0,,
,Nov,,,Gallup,News Chron,46.0,-0.5,43.0,1.5,8.5,-1.0,3.0,-2.0,,
1949,Jan,,,Gallup,News Chron,44.0,-2.0,40.5,-2.5,13.0,4.5,3.5,0.5,,
,Feb,,,Gallup,News Chron,44.5,0.5,43.5,3.0,9.5,-3.5,1.0,-2.5,,
,Mar,,,Gallup,News Chron,41.5,-3.0,43.0,-0.5,13.0,3.5,-1.5,-2.5,,
,Apr,,,Gallup,News Chron,42.0,0.5,43.5,0.5,13.0,0.0,-1.5,0.0,,
,May,,,Gallup,News Chron,46.0,4.0,40.0,-3.5,11.0,-2.0,6.0,7.5,,
,Jun,,,Gallup,News Chron,46.0,0.0,41.5,1.5,10.0,-1.0,4.5,-1.5,,
,Jul,,,Gallup,News Chron,44.5,-1.5,40.5,-1.0,12.5,2.5,4.0,-0.5,,
,Aug,,,Gallup,News Chron,46.5,2.0,40.5,0.0,11.5,-1.0,6.0,2.0,,
,Sep,,,Gallup,News Chron,46.0,-0.5,40.0,-0.5,12.0,0.5,6.0,0.0,,
,Oct,,,Gallup,News Chron,45.5,-0.5,39.5,-0.5,12.5,0.5,6.0,0.0,,
,,,,,,50,,39,,8,,,,,From 1950 GE book
,Nov,,,Gallup,News Chron,43.5,-2.0,40.0,0.5,14.0,1.5,3.5,-2.5,,
,,,,Gallup,News Chron,48,,38,,11,,,,,From 1950 GE book
,Dec,,,Gallup,News Chron,45.0,1.5,41.0,1.0,12.5,-1.5,4.0,0.5,,
1950,Jan,,20,Gallup,News Chron,44.0,-1.0,41.5,0.5,12.5,0.0,2.5,-1.5,,
,,,23,,DE,48.0,,42.0,,9.0,,6.0,,,
,,,30,Gallup,News Chron,44.0,0.0,45.5,4.0,10.0,-2.0,-1.5,-4.0,,
,,,30,,DE,47.5,-0.5,42.5,0.5,8.5,-0.5,5.0,-1.0,,
,Feb,,6,,DE,45.0,-2.5,44.0,1.5,10.0,1.5,1.0,-4.0,,
,,,10,Gallup,News Chron,43.0,-1.0,44.5,-1.0,12.0,2.0,-1.5,-4.0,,
,,,13,,DE,45.0,0.0,45.0,1.0,9.5,-0.5,0.0,-1.0,,
,,,17,Gallup,News Chron,42.5,-0.5,45.0,0.5,12.0,0.0,-2.5,-1.0,,
,,,20,,DE,46.0,1.0,44.5,-0.5,9.0,-0.5,1.5,1.5,,
,Feb,5-11,,Daily Mail,,45.5,,42.5,,12.0,,3.0,,,
,Feb,17-20,22,Gallup,News Chron,43.5,1.0,45.0,0.0,10.5,-1.5,-1.5,1.0,,
,Feb,17-21,23,,DE,45.0,-1.5,44.0,-0.5,10.0,2.0,1.0,-1.0,,
,,,,,,,,,,,,,,,
,,,,Result,,43.0,,46.8,,9.3,,-3.8,,,
