Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
,Nov,9-14,9/11/06,26,MORI,OB,35.0,0.0,,,,33.0,-4.0,,,,20.0,2.0,,,,2.0,4.0,F2F,Certain to vote,,,,,,,,,,,25.0,31.0,-6.0,27.0,65.0,-38.0,23.0,26.0,-3.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,20.0, , , , 
,Nov,17-19,17/11/06,22,ICM,GU,37.0,-2.0,,,,32.0,3.0,,,,22.0,0.0,,,,5.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,22.0, , 
,Nov,24-26,24/11/06,28,ComRes,Ind,34.0,-4.0,35,33,2,36.0,4.0,38,35,3,17.0,3.0,15,20,-5,-2.0,-8.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,17.0
,Nov,28-30,28/11/06,1,YouGov,DT,37.0,-2.0,34,40,-6,32.0,0.0,33,32,1,16.0,0.0,16,17,-1,5.0,-2.0,Internet,,,,,,,,,,,,39.0,30.0,9.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Nov,29-30,29/11/06,3,ICM,NOTW,39.0,2.0,,,,31.0,-1.0,,,,20.0,-2.0,,,,8.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,Dec,7-12,7/12/06,,MORI,,37.0,2.0,,,,36.0,3.0,,,,18.0,-2.0,,,,1.0,-1.0,F2F,Certain to vote,,,,,,,,,,,28.0,33.0,-5.0,30.0,64.0,-34.0,22.0,31.0,-9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,18.0, , , , 
,Dec,8-10,8/12/06,12,Populus,TT,34.0,-2.0,,,,33.0,0.0,,,,19.0,-1.0,,,,1.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,19.0, 
,Dec,15-17,15/12/06,20,ICM,GU,40.0,1.0,,,,32.0,1.0,,,,18.0,-2.0,,,,8.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Dec,18-20,18/12/06,22,YouGov,DT,37.0,0.0,35,40,-5,33.0,1.0,33,33,0,17.0,1.0,17,17,0,4.0,-1.0,Internet,,,,,,,,,,,,40.0,29.0,11.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,17.0, , , 
,Dec,19-20,19/12/06,28,ComRes,Ind,36.0,2.0,35,36,-1,37.0,1.0,35,38,-3,14.0,-3.0,13,15,-2,-1.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,14.0
,Dec,20-22,20/12/06,24,YouGov,ST,37.0,0.0,35,39,-4,32.0,-1.0,34,31,3,15.0,-2.0,16,15,1,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,15.0, , , 
2007,Jan,5-7,5/1/07,9,Populus,TT,39.0,5.0,,,,32.0,-1.0,,,,18.0,-1.0,,,,7.0,6.0,Phone,,,,,,,,,,,,,,5.11,,,4.69,,,4.65,How good a leader (on a 10-point scale) is…,, , , ,18.0, 
,Jan,19-21,19/1/07,23,ICM,GU,37.0,-3.0,,,,31.0,-1.0,,,,23.0,5.0,,,,6.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,23.0, , 
,Jan,19-29,19/1/07,2,MORI,,39.0,2.0,,,,35.0,-1.0,,,,19.0,1.0,,,,4.0,3.0,F2F,Certain to vote,,,,,,,,,,,28.0,37.0,-9.0,25.0,68.0,-43.0,22.0,33.0,-11.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,19.0, , , , 
,Jan,22-24,22/1/07,29,YouGov,DT,38.0,1.0,36,40,-4,31.0,-1.0,33,29,4,18.0,3.0,16,20,-4,7.0,2.0,Internet,,,,,,,,,,,,42.0,29.0,13.0,26.0,65.0,-39.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,18.0, , , 
,Jan,26-28,26/1/07,30,ComRes,Ind,34.0,-2.0,39,30,9,29.0,-8.0,27,31,-4,21.0,7.0,18,24,-6,5.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,21.0
,Feb,2-4,2/2/07,6,Populus,TT,36.0,-3.0,,,,33.0,1.0,,,,19.0,1.0,,,,3.0,-4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,19.0, 
,Feb,8-9,8/2/07,11,YouGov,ST,37.0,-1.0,36,37,-1,32.0,1.0,31,32,-1,18.0,0.0,16,19,-3,5.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Feb,16-18,16/2/07,20,ICM,GU,40.0,3.0,,,,31.0,0.0,,,,19.0,-4.0,,,,9.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,19.0, , 
,Feb,19-21,19/2/07,23,YouGov,DT,37.0,0.0,35,40,-5,32.0,0.0,34,30,4,17.0,-1.0,15,19,-4,5.0,0.0,Internet,,,,,,,,,,,,43.0,27.0,16.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,17.0, , , 
,Feb,23-25,23/2/07,27,ComRes,Ind,40.0,6.0,40,40,0,29.0,0.0,30,28,2,17.0,-4.0,14,21,-7,11.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,17.0
,Mar,2-4,2/3/07,5,Populus,TT,38.0,2.0,,,,30.0,-3.0,,,,18.0,-1.0,,,,8.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,18.0, 
,Mar,7-8,7/3/07,11,ICM,SMirror,40.0,0.0,,,,29.0,-2.0,,,,21.0,2.0,,,,11.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Mar,9-15,9/3/07,28,MORI,Capibus,41.0,2.0,,,,33.0,-2.0,,,,17.0,-2.0,,,,8.0,4.0,F2F,Certain to vote,,,,,,,,,,,,,,,,,,,,,,17.0, , , , 
,Mar,15-16,15/3/07,18,YouGov,ST,38.0,1.0,37,39,-2,32.0,0.0,30,33,-3,16.0,-1.0,16,17,-1,6.0,1.0,Internet,,,,,,,,,,,,50.0,37.0,13.0,33.0,62.0,-29.0,25.0,48.0,-23.0,Do you think (name) is doing well or badly as (position)?,, ,16.0, , , 
,Mar,15-17,15/3/07,18,BPIX,MoS,,,,,,,,,,,,,,,,,,Internet, Cameron/Campbell/Brown question only,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Mar,16-18,16/3/07,20,ICM,GU,41.0,1.0,,,,31.0,2.0,,,,18.0,-3.0,,,,10.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Mar,16-19,16/3/07,,BPIX,Ob,,,,,,,,,,,,,,,,11.0,,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Mar,21-22,21/3/07,23,YouGov,DT,39.0,1.0,38,40,-2,31.0,-1.0,32,31,1,19.0,0.0,15,17,-2,8.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,19.0, , , 
,Mar,23-25,23/3/07,28,ComRes,Ind,35.0,-5.0,34,36,-2,31.0,2.0,30,32,-2,20.0,3.0,21,18,3,4.0,-7.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,20.0
,Mar,26-28,26/3/07,30,YouGov,DT,39.0,0.0,38,40,-2,32.0,1.0,32,32,0,17.0,-2.0,15,19,-4,7.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,17.0, , , 
,Apr,4-5,4/4/07,8,YouGov,ST,39.0,0.0,36,42,-6,32.0,0.0,32,29,3,16.0,-1.0,15,17,-2,7.0,0.0,Internet,,,,,,,,,,,,54.0,31.0,23.0,35.0,61.0,-26.0,27.0,45.0,-18.0,Do you think (name) is doing well or badly as (position)?,, ,16.0, , , 
,Apr,13-15,13/4/07,17,Populus,TT,37.0,-1.0,,,,29.0,-1.0,,,,20.0,2.0,,,,8.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,20.0, 
,Apr,13-15,13/4/07,,MORI,,35.0,-6.0,34,37,-3,34.0,0.0,37,32,5,19.0,1.0,17,22,-5,1.0,-6.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,19.0, , , , 
,Apr,19-25,19/4/07,29,MORI,OB,38.0,-3.0,,,,31.0,-2.0,,,,20.0,3.0,,,,7.0,-1.0,F2F,Certain to vote,,,,,,,,,,,30.0,33.0,-3.0,28.0,66.0,-38.0,22.0,32.0,-10.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,20.0, , , , 
,Apr,20-22,20/4/07,24,ComRes,Ind,36.0,1.0,35,36,-1,27.0,-4.0,31,24,7,22.0,2.0,16,27,-11,9.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,22.0
,Apr,20-22,20/4/07,25,ICM,GU,37.0,-4.0,,,,30.0,-1.0,,,,21.0,3.0,,,,7.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Apr,23-25,23/4/07,27,YouGov,DT,37.0,-2.0,37,37,0,32.0,0.0,32,31,1,18.0,2.0,15,21,-6,5.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Apr,25-27,25/4/07,29,ICM,NOTW,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,, , ,0, , 
,May,1-3,1/5/07,,YouGov,Harriet Harman deputy leadership campaign,37.0,0.0,,,,32.0,0.0,,,,16.0,-2.0,,,,5.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,16.0, , , 
,May,10-11,10/5/07,12,YouGov,ST,38.0,1.0,35,41,-6,34.0,2.0,36,31,5,15.0,-1.0,14,17,-3,4.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,15.0, , , 
,May,11-13,11/5/07,15,Populus,TT,37.0,0.0,,,,33.0,4.0,,,,17.0,-3.0,,,,4.0,-4.0,Phone,,,,,,,,,,,,,,4.95,,,5.22,,,4.20,How good a leader (on a 10-point scale) is…,, , , ,17.0, 
,May,11-13,11/5/07,,MORI,,33.0,-2.0,29,37,-8,32.0,-2.0,36,28,8,20.0,1.0,18,24,-6,1.0,0.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,20.0, , , , 
,May,17-22,17/5/07,,MORI,,37.0,-1.0,,,,35.0,4.0,,,,18.0,-2.0,,,,2.0,-5.0,F2F,Certain to vote,,,,,,,,,,,29.0,33.0,-4.0,35.0,57.0,-22.0,21.0,34.0,-13.0,,,18.0, , , , 
,May,18-20,18/5/07,24,ICM,GU,34.0,-3.0,,,,32.0,2.0,,,,21.0,0.0,,,,2.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,May,21-23,21/5/07,26,YouGov,DT,39.0,1.0,38,40,-2,33.0,-1.0,34,32,2,15.0,0.0,14,16,-2,6.0,2.0,Internet,,,,,,,,,,,,,,,,,,18.0,42.0,-24.0,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,15.0, , , 
,May,25-28,25/5/07,30,ComRes,Ind,35.0,-1.0,33,38,-5,31.0,4.0,31,30,1,19.0,-3.0,15,22,-7,4.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,19.0
,May,30-31,30/5/07,3,ICM,STel,37.0,3.0,,,,32.0,0.0,,,,21.0,0.0,,,,5.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Jun,1-3,1/6/07,5,Populus,TT,36.0,-1.0,,,,33.0,0.0,,,,17.0,0.0,,,,3.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,17.0, 
,Jun,8-10,8/6/07,,MORI,,36.0,3.0,36,36,0,33.0,1.0,35,30,5,17.0,-3.0,15,18,-3,3.0,2.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,17.0, , , , 
,Jun,14-15,14/6/07,17,YouGov,ST,37.0,-2.0,39,36,3,35.0,2.0,33,36,-3,14.0,-1.0,13,14,-1,2.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,14.0, , , 
,Jun,14-20,14/6/07,24,MORI,OB,36.0,-1.0,36,35,1,39.0,4.0,41,38,3,15.0,-3.0,13,17,-4,-3.0,-5.0,F2F,Certain to vote,,,,,,,,,,,28.0,33.0,-5.0,33.0,60.0,-27.0,21.0,33.0,-12.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,15.0, , , , 
,Jun,22-24,22/6/07,26,ComRes,Ind,37.0,2.0,40,35,5,32.0,1.0,30,33,-3,18.0,-1.0,18,18,0,5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,18.0
,Jun,27-28,27/6/07,30,ICM,GU,35.0,-2.0,,,,39.0,7.0,,,,18.0,-3.0,,,,-4.0,-9.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Jun,28-29,28/6/07,30,YouGov,DT,35.0,-2.0,34,36,-2,38.0,3.0,37,39,-2,15.0,1.0,16,14,2,-3.0,-5.0,Internet,,,,,,,,,,,,,,,,,,16.0,39.0,-23.0,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,15.0, , , 
,Jun,29-1,29/6/07,3,Populus,TT,34.0,-2.0,,,,37.0,4.0,,,,18.0,1.0,,,,-3.0,-6.0,Phone,,,,,,,,,,,,,,4.81,,,5.49,,,4.36,How good a leader (on a 10-point scale) is…,, , , ,18.0, 
,Jul,4-5,4/7/07,8,ICM,SMirror,35.0,0.0,,,,37.0,-2.0,,,,17.0,-1.0,,,,-2.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,17.0, , 
,Jul,6-9,6/7/07,,MORI,,36.0,0.0,38,34,4,40.0,7.0,38,42,-4,14.0,-3.0,15,13,2,-4.0,-7.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,14.0, , , , 
,Jul,11-13,11/7/07,15,ICM,STel,33.0,-2.0,,,,40.0,3.0,,,,19.0,2.0,,,,-7.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,19.0, , 
,Jul,12-17,12/7/07,22,MORI,OB,35.0,-1.0,32,38,-6,41.0,2.0,46,37,9,15.0,0.0,14,16,-2,-6.0,-3.0,F2F,Certain to vote,,,,,,,,,,,31.0,35.0,-4.0,36.0,20.0,16.0,22.0,32.0,-10.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,15.0, , , , 
,Jul,19-20,19/7/07,22,YouGov,ST,33.0,-2.0,,,,40.0,2.0,,,,15.0,0.0,,,,-7.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,15.0, , , 
,Jul,20-22,20/7/07,25,ICM,GU,32.0,-1.0,,,,38.0,-2.0,,,,20.0,1.0,,,,-6.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,20.0, , 
,Jul,23-25,23/7/07,27,YouGov,DT,32.0,-1.0,30,34,-4,41.0,1.0,42,41,1,16.0,1.0,17,15,2,-9.0,-4.0,Internet,,,,,,,,,,,,27.0,44.0,-17.0,34.0,27.0,7.0,16.0,44.0,-28.0,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,16.0, , , 
,Jul,27-29,27/7/07,31,Populus,TT,33.0,-1.0,,,,39.0,2.0,,,,15.0,-3.0,,,,-6.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,15.0, 
,Jul,27-29,27/7/07,31,ComRes,Ind,34.0,-3.0,32,35,-3,37.0,5.0,41,33,8,16.0,-2.0,12,20,-8,-3.0,-8.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,16.0
,Aug,3-5,3/8/07,,MORI,,35.0,-1.0,36,34,2,39.0,-1.0,38,41,-3,15.0,1.0,13,17,-4,-4.0,0.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,15.0, , , , 
,Aug,8-9,8/8/07,11,MORI,Sun,33.0,-8.0,37,30,7,38.0,4.0,36,40,-4,15.0,-3.0,12,17,-5,-5.0,-12.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,15.0, , , , 
,Aug,9-10,9/8/07,12,YouGov,ST,32.0,0.0,,,,42.0,1.0,,,,14.0,-2.0,,,,-10.0,-1.0,Internet,,,,,,,,,,,,29.0,55.0,-26.0,65.0,17.0,48.0,24.0,43.0,-19.0,Do you think (name) is doing well or badly as (position)?,, ,14.0, , , 
,Aug,8-10,8/8/07,12,ICM,SMirror,33.0,1.0,,,,39.0,1.0,,,,18.0,-2.0,,,,-6.0,0.0,Phone,,,,,,,,,,,,38.0,42.0,-4.0,59.0,19.0,40.0,,,,Are you satisfied or dissatisfied with the job…,, , ,18.0, , 
,Aug,22-23,22/8/07,27,ICM,GU,34.0,1.0,,,,39.0,0.0,,,,18.0,0.0,,,,-5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Aug,23-29,23/8/07,1,MORI,Sun,36.0,1.0,35,37,-2,41.0,0.0,43,39,4,16.0,1.0,17,15,2,-5.0,1.0,F2F,Certain to vote,,,,,,,,,,,29.0,39.0,-10.0,43.0,23.0,20.0,23.0,32.0,-9.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,16.0, , , , 
,Aug,24-28,24/8/07,31,YouGov,DT,33.0,1.0,32,35,-3,41.0,-1.0,41,42,-1,14.0,0.0,14,14,0,-8.0,2.0,Internet,,,,,,,,,,,,24.0,50.0,-26.0,40.0,30.0,10.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,14.0, , , 
,Aug,25-28,25/8/07,1,Populus,Tories,36.0,3.0,,,,37.0,-2.0,,,,16.0,1.0,,,,-1.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,16.0, 
,Aug,29-30,29/8/07,3,ComRes,Ind,36.0,2.0,37,35,2,36.0,-1.0,34,37,-3,15.0,-1.0,15,14,1,0.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,15.0
,Aug,29-31,29/8/07,3,YouGov,GMTV,35.0,2.0,34,37,-3,38.0,-3.0,38,39,-1,15.0,1.0,17,12,5,-3.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,15.0, , , 
,Aug,31-2,31/8/07,4,Populus,TT,36.0,0.0,,,,37.0,0.0,,,,18.0,2.0,,,,-1.0,0.0,Phone,Change in question wording (squeezes others),,,,,,,,,,,,,4.87,,,5.79,,,4.35,How good a leader (on a 10-point scale) is…,, , , ,18.0, 
,Aug,31-2,31/8/07,,MORI,,33.0,0.0,35,32,3,39.0,1.0,38,39,-1,16.0,1.0,14,19,-5,-6.0,-1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,16.0, , , , 
,Sep,11-12,11/9/07,17,ComRes,Ind,34.0,-2.0,31,37,-6,37.0,1.0,40,35,5,15.0,0.0,14,17,-3,-3.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,15.0
,Sep,13-14,13/9/07,16,YouGov,ST,34.0,-1.0,,,,39.0,1.0,,,,15.0,0.0,,,,-5.0,-2.0,Internet,,,,,,,,,,,,35.0,50.0,-15.0,62.0,22.0,40.0,24.0,45.0,-21.0,Do you think (name) is doing well or badly as (position)?,, ,15.0, , , 
,Sep,13-16,13/9/07,19,ICM,GU,32.0,-2.0,,,,40.0,1.0,,,,20.0,2.0,,,,-8.0,-3.0,Phone,,,,,,,,,,,,37.0,45.0,-8.0,55.0,23.0,32.0,36.0,41.0,-5.0,Are you satisfied or dissatisfied with the job…,, , ,20.0, , 
,Sep,19-20,19/9/07,23,ICM,SMirror,33.0,1.0,,,,39.0,-1.0,,,,19.0,-1.0,,,,-6.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,19.0, , 
,Sep,19-21,19/9/07,22,YouGov,DT,33.0,-1.0,32,31,1,39.0,0.0,40,46,-6,16.0,1.0,16,14,2,-6.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,16.0, , , 
,Sep,20-22,20/9/07,24,MORI,Sun,34.0,1.0,35,33,2,42.0,4.0,41,42,-1,14.0,-1.0,12,16,-4,-8.0,-3.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,14.0, , , , 
,Sep,20-26,20/9/07,3,MORI,,31.0,-5.0,33,30,3,44.0,3.0,43,46,-3,15.0,-1.0,13,17,-4,-13.0,-8.0,F2F,Certain to vote,,,,,,,,,,,23.0,45.0,-22.0,44.0,26.0,18.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,15.0, , , , 
,Sep,24-25,24/9/07,25,YouGov,C4,33.0,0.0,35,30,5,44.0,5.0,41,47,-6,13.0,-3.0,14,13,1,-11.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,13.0, , , 
,Sep,26-27,26/9/07,29,Populus,TT,31.0,-5.0,,,,41.0,4.0,,,,17.0,-1.0,,,,-10.0,-9.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,17.0, 
,Sep,26-28,26/9/07,29,YouGov,DT,32.0,-1.0,40,46,-6,43.0,1.0,32,31,1,15.0,2.0,16,14,2,-11.0,0.0,Internet,,,,,,,,,,,,21.0,48.0,-27.0,44.0,33.0,11.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,15.0, , , 
,Sep,27-28,27/9/07,30,MORI,OB,34.0,0.0,31,36,-5,41.0,-1.0,40,41,-1,16.0,2.0,16,16,0,-7.0,1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,16.0, , , , 
,Sep,27-29,27/9/07,30,BPIX,MoS,34.0,,,,,41.0,,,,,12.0,,,,,-7.0,,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Oct,2-3,2/10/07,5,Populus,TT,36.0,5.0,,,,39.0,-2.0,,,,15.0,-2.0,,,,-3.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,15.0, 
,Oct,3-4,3/10/07,4,YouGov,C4,36.0,4.0,34,37,-3,40.0,-3.0,39,41,-2,13.0,-2.0,14,11,3,-4.0,7.0,Internet,,,,,,,,,,,,35.0,38.0,-3.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,13.0, , , 
,Oct,3-4,3/10/07,5,ICM,GU,38.0,5.0,,,,38.0,-1.0,,,,16.0,-3.0,,,,0.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,16.0, , 
,Oct,4-6,4/10/07,7,BPIX,MoS,39.0,5.0,,,,38.0,-3.0,,,,12.0,0.0,,,,1.0,8.0,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Oct,5-6,5/10/07,7,YouGov,ST,41.0,5.0,39,43,-4,38.0,-2.0,39,37,2,11.0,-2.0,12,11,1,3.0,7.0,Internet,,,,,,,,,,,,54.0,34.0,20.0,59.0,29.0,30.0,,,,Do you think (name) is doing well or badly as (position)?,, ,11.0, , , 
,Oct,5-7,5/10/07,9,Populus,TT,38.0,2.0,,,,40.0,1.0,,,,12.0,-3.0,,,,-2.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,12.0, 
,Oct,10,10/10/07,12,MORI,Sun,41.0,7.0,44,38,6,38.0,-3.0,35,41,-6,11.0,-5.0,10,12,-2,3.0,10.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,11.0, , , , 
,Oct,10-11,10/10/07,14,ICM,STel,43.0,5.0,,,,36.0,-2.0,,,,14.0,-2.0,,,,7.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,14.0, , 
,Oct,11-13,11/10/07,14,BPIX,MoS,41.0,2.0,,,,37.0,-1.0,,,,11.0,-1.0,,,,4.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Oct,18-23,18/10/07,28,MORI,OB,40.0,9.0,42,37,5,41.0,-3.0,37,45,-8,13.0,-2.0,13,12,1,-1.0,12.0,F2F,Certain to vote,,,,,,,,,,,36.0,38.0,-2.0,37.0,38.0,-1.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,13.0, , , , 
,Oct,22-24,22/10/07,26,YouGov,DT,41.0,0.0,39,42,-3,38.0,0.0,39,37,2,11.0,0.0,11,11,0,3.0,0.0,Internet,,,,,,,,,,,,40.0,36.0,4.0,34.0,48.0,-14.0,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,11.0, , , 
,Oct,26-28,26/10/07,30,ComRes,Ind,41.0,7.0,41,41,0,33.0,-4.0,31,34,-3,16.0,1.0,15,17,-2,8.0,11.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,16.0
,Oct,26-28,26/10/07,30,ICM,GU,40.0,-3.0,,,,35.0,-1.0,,,,18.0,4.0,,,,5.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,18.0, , 
,Oct,31-1,31/10/07,3,MORI,Sun,40.0,-1.0,40,41,-1,35.0,-3.0,33,36,-3,13.0,2.0,12,15,-3,5.0,2.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,13.0, , , , 
,Nov,2-4,2/11/07,6,Populus,TT,36.0,-2.0,,,,37.0,-3.0,,,,16.0,4.0,,,,-1.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,16.0, 
,Nov,8-10,8/11/07,11,ICM,S Express,43.0,3.0,,,,35.0,0.0,,,,15.0,-3.0,,,,8.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,15.0, , 
,Nov,14-16,14/11/07,18,YouGov,ST,41.0,0.0,39,42,-3,35.0,-3.0,36,33,3,13.0,2.0,12,14,-2,6.0,3.0,Internet,,,,,,,,,,,,46.0,31.0,15.0,33.0,43.0,-10.0,,,,Do you think (name) is doing well or badly as (position)?,, ,13.0, , , 
,Nov,21-22,21/11/07,22,YouGov,C4,41.0,0.0,41,41,0,32.0,-3.0,32,32,0,14.0,1.0,14,14,0,9.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,14.0, , , 
,Nov,21-22,21/11/07,24,ICM,GU,37.0,-6.0,,,,31.0,-4.0,,,,21.0,6.0,,,,6.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
,Nov,22-24,22/11/07,25,BPIX,MoS,40.0,-1.0,,,,35.0,-2.0,,,,,,,,,5.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Nov,23-25,23/11/07,27,ComRes,Ind,40.0,-1.0,43,37,6,27.0,-6.0,23,32,-9,18.0,2.0,16,21,-5,13.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , , ,18.0
,Nov,23-27,23/11/07,30,MORI,,41.0,1.0,41,41,0,32.0,-3.0,33,31,2,17.0,4.0,17,16,1,9.0,4.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,17.0, , , , 
