Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,,,,Media:,BPC mbr 5,2.1  5,2.2  5,Change  5/10,Stat sig  5,Penalty -5 each,Score,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,MORI LD,YouGov LD,ICM LD,Populus LD,ComRes LD
,Nov,2-3,2/11/05,6,ICM,STel,33.0,0.0,,,,39.0,3.0,,,,21.0,-1.0,,,,-6.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,21.0, , 
,Nov,4-6,4/11/05,8,Populus,TT,32.0,2.0,,,,40.0,0.0,,,,19.0,-2.0,,,,-8.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,, ,19.0, 
,Nov,17-22,17/11/05,26,MORI,Sun,32.0,-2.0,,,,42.0,2.0,,,,19.0,0.0,,,,-10.0,-4.0,F2F,Certain to vote,,,,,,,,,,,,,,37.0,55.0,-18.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,19.0, , , , 
,Nov,18-20,18/11/05,22,ICM,GU,33.0,0.0,,,,38.0,-1.0,,,,19.0,-2.0,,,,-5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,19.0, , 
,Nov,22-24,22/11/05,25,YouGov,DT,35.0,3.0,35,36,-1,37.0,-3.0,37,36,1,20.0,1.0,20,21,-1,-2.0,6.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,20.0, , , 
,Dec,5-6,5/12/05,6,YouGov,Sky,36.0,1.0,33,39,-6,36.0,-1.0,38,34,4,18.0,-2.0,19,18,1,0.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Dec,6-8,6/12/05,11,YouGov,ST,37.0,1.0,37,38,-1,36.0,0.0,36,37,-1,18.0,0.0,19,18,1,1.0,1.0,Internet,,,,,,,,,,,Cameron. YouGov website says for leader ratings fieldwork 6-9,52.0,18.0,34.0,39.0,57.0,-18.0,45.0,37.0,8.0,Do you think (name) is doing well or badly as (position)?,, ,18.0, , , 
,Dec,7-8,7/12/05,11,ICM,STel,37.0,4.0,,,,35.0,-3.0,,,,21.0,2.0,,,,2.0,7.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,21.0, , 
,Dec,8-9,8/12/05,11,BPIX,MoS,37.0,2.0,,,,38.0,1.0,,,,17.0,-2.0,,,,-1.0,1.0,Internet,LD figure is guess from graph,,,,,,,,,,,,,,,,,,,,,, ,, , , 
,Dec,9-11,9/12/05,13,Populus,TT,35.0,3.0,,,,38.0,-2.0,,,,19.0,0.0,,,,-3.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,, ,19.0, 
,Dec,9-12,9/12/05,18,MORI,OB,40.0,,,,,31.0,,,,,21.0,,,,,9.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,21.0, , , , 
,Dec,13-15,13/12/05,16,YouGov,DT,38.0,1.0,34,41,-7,36.0,0.0,37,36,1,18.0,0.0,20,16,4,2.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,18.0, , , 
,Dec,15-18,15/12/05,20,ICM,GU,37.0,0.0,,,,36.0,1.0,,,,21.0,0.0,,,,1.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,21.0, , 
2006,Jan,5-7,5/1/06,8,BPIX,MoS,38.0,1.0,,,,38.0,0.0,,,,16.0,-1.0,,,,0.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,, , , 
,Jan,6-8,6/1/06,10,Populus,TT,36.0,1.0,,,,39.0,1.0,,,,16.0,-3.0,,,,-3.0,0.0,Phone,Methodology change - in weighting by past vote. Change takes 1 point off Labour,,,,,,,,,,,,,5.28,,,5.33,,,4.69,How good a leader (on a 10-point scale) is…,, ,, ,16.0, 
,Jan,11-12,11/1/06,15,ICM,NOTW,39.0,2.0,,,,35.0,-1.0,,,,20.0,-1.0,,,,4.0,3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,20.0, , 
,Jan,12-17,12/1/06,20,MORI,Sun,39.0,-1.0,,,,39.0,8.0,,,,15.0,-6.0,,,,0.0,-9.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,15.0, , , , 
,Jan,19-23,19/1/06,31,MORI,FT,40.0,8.0,,,,38.0,-4.0,,,,17.0,-2.0,,,,2.0,12.0,F2F,Certain to vote,,,,,,,,,,Cameron,31.0,17.0,14.0,36.0,57.0,-21.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,17.0, , , , 
,Jan,20-22,20/1/06,24,ICM,GU,37.0,-2.0,,,,36.0,1.0,,,,19.0,-1.0,,,,1.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,19.0, , 
,Jan,24-26,24/1/06,27,YouGov,DT,39.0,1.0,36,41,-5,40.0,4.0,41,38,3,13.0,-5.0,14,13,1,-1.0,-3.0,,,,,,,,,,,,,39.0,17.0,22.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,13.0, , , 
,Jan,26-28,26/1/06,29,ICM,STel,37.0,0.0,,,,36.0,0.0,,,,18.0,-1.0,,,,1.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,18.0, , 
,Feb,3-5,3/2/06,7,Populus,TT,37.0,1.0,,,,36.0,-3.0,,,,18.0,2.0,,,,1.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,, ,18.0, 
,Feb,9-10,9/2/06,12,YouGov,ST,37.0,-2.0,34,40,-6,39.0,-1.0,40,37,3,15.0,2.0,16,14,2,-2.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,15.0, , , 
,Feb,16-20,16/2/06,24,MORI,Sun,35.0,-4.0,,,,38.0,-1.0,,,,20.0,5.0,,,,-3.0,-3.0,Phone,Certain to vote,,,,,,,,,,,31.0,16.0,15.0,31.0,60.0,-29.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,20.0, , , , 
,Feb,17-19,17/2/06,21,ICM,GU,37.0,0.0,,,,34.0,-2.0,,,,21.0,3.0,,,,3.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,21.0, , 
,Feb,21-22,21/2/06,24,YouGov,DT,38.0,1.0,37,39,-2,36.0,-3.0,36,36,0,18.0,3.0,17,18,-1,2.0,4.0,Internet,,,,,,,,,,,,46.0,19.0,27.0,,,,,,,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,18.0, , , 
,Mar,3-4,3/3/06,5,BPIX,MoS,39.0,1.0,,,,37.0,-1.0,,,,16.0,0.0,,,,2.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,, ,, , , 
,Mar,3-5,3/3/06,7,Populus,TT,35.0,-2.0,,,,35.0,-1.0,,,,20.0,2.0,,,,0.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,, ,20.0, 
,Mar,10-12,10/3/06,15,ICM,GU,34.0,-3.0,,,,37.0,3.0,,,,21.0,0.0,,,,-3.0,-6.0,Phone,,,,,,,,,,,,37.0,16.0,21.0,37.0,45.0,-8.0,31.0,13.0,18.0,,, ,,21.0, , 
,Mar,16-21,16/3/06,,MORI,,34.0,-6.0,,,,39.0,1.0,,,,19.0,2.0,,,,-5.0,-7.0,F2F,Certain to vote,,,,,,,,,,Campbell ,32.0,19.0,13.0,31.0,62.0,-31.0,22.0,17.0,5.0,Are you satisfied or dissatisfied with the way X is doing his job as Y?,,19.0, , , , 
,Mar,17-18,17/3/06,19,YouGov,ST,38.0,1.0,37,39,-2,35.0,-1.0,37,33,4,19.0,1.0,18,20,-2,3.0,1.0,Internet,,,,,,,,,,,Campbell. YouGov website says for leader ratings fieldwork 16-17,55.0,22.0,33.0,36.0,61.0,-25.0,29.0,24.0,5.0,Do you think (name) is doing well or badly as (position)?,, ,19.0, , , 
,Mar,17-18,17/3/06,19,ICM,STel,33.0,-1.0,,,,37.0,0.0,,,,21.0,0.0,,,,-4.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,, ,,21.0, , 
,Mar,27-29,27/3/06,31,YouGov,DT,36.0,-2.0,34,39,-5,36.0,1.0,38,35,3,18.0,-1.0,17,19,-2,0.0,-3.0,Internet,,,,,,,,,,,,38.0,24.0,14.0,30.0,60.0,-30.0,26.0,24.0,2.0,Do you think (name) is or is not proving a good leader of X / Are you satisfied or dissatisfied with Z as PM?,, ,18.0, , , 
,Mar,31-2,31/3/06,4,Populus,TT,34.0,-1.0,,,,36.0,1.0,,,,21.0,1.0,,,,-2.0,-2.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , , ,21.0, 
,Apr,?-8,6/4/06,9,BPIX,MoS,37.0,-2.0,,,,36.0,-1.0,,,,17.0,1.0,,,,1.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,, , , , , 
,Apr,5-6,5/4/06,7,ICM,C4,35.0,2.0,,,,35.0,-2.0,,,,21.0,0.0,,,,0.0,4.0,Phone,,,,,,,,,,,,,,,,,,,,,,, , ,21.0, , 
