Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
,Mar,23-25,26,ASL,,30.0,-4.0,51.0,5.0,6.0,-1.0,3.0,0.0,7.0,-1.0,-21.0,-9.0,Phone
,Mar,24,25,NOP,IoS,33.0,0.0,52.0,1.0,6.0,0.0,3.0,0.0,4.0,-1.0,-19.0,-9.0,
,Mar,28-2,6,Gallup,DT,28.0,-3.0,52.5,3.0,7.5,0.5,3.5,0.0,6.0,0.5,-24.5,-6.0,
,Mar,,6,G9000,,28.5,-4.2,52.0,4.7,7.8,-0.2,3.1,-0.5,5.6,-0.1,-23.5,-8.9,
,Apr,6,8,ICM,SC,32.0,4.0,54.0,-1.0,5.0,-2.0,2.0,0.0,5.0,-1.0,-22.0,5.0,
,Apr,6-7,8,NMR,IoS,30.0,,54.0,,5.0,,4.0,,4.0,,-24.0,,
,Apr,6-7,12,ICM,GU,32.0,0.0,56.0,2.0,4.0,-1.0,2.0,0.0,4.0,-1.0,-24.0,-2.0,
,Apr,18-19,22,Harris,OB,32.0,3.0,54.0,-3.0,7.0,1.0,1.0,-2.0,4.0,0.0,-22.0,6.0,
,Apr,19-24,29,MORI,ST,31.0,0.0,54.0,0.0,6.0,0.0,3.0,1.0,4.0,0.0,-23.0,0.0,
,Apr,20-22,27,NOP,Ind,29.0,-4.0,54.0,2.0,7.0,1.0,3.0,0.0,4.0,0.0,-25.0,-6.0,
,Apr,25-30,4,Gallup,DT,32.0,4.0,47.0,-5.5,7.5,0.0,4.0,0.5,6.0,0.0,-15.0,9.5,
,Apr,27-28,29,NOP,IoS,31.0,2.0,51.0,-3.0,7.0,0.0,3.0,0.0,5.0,1.0,-20.0,5.0,
,Apr,27-28,29,ICM,SC,30.0,-2.0,53.0,-3.0,8.0,4.0,2.0,0.0,5.0,1.0,-23.0,1.0,
,Apr,27-29,30,ASL,,32.0,2.0,49.0,-2.0,6.0,0.0,4.0,1.0,7.0,0.0,-17.0,4.0,Phone
,Apr,,4,G9000,,28.1,-0.4,51.8,-0.2,8.6,0.8,3.0,-0.1,5.8,0.2,-23.7,0.2,
,May,4,6,NOP,MoS,34.0,3.0,47.0,-4.0,8.0,1.0,3.0,0.0,4.0,-1.0,-13.0,7.0,
,May,11-12,17,ICM,GU,32.0,2.0,50.0,-3.0,8.0,0.0,4.0,2.0,4.0,-1.0,-18.0,5.0,
,May,19-21,26,NOP,Ind,34.0,0.0,49.0,2.0,8.0,0.0,2.0,-1.0,4.0,0.0,-15.0,-2.0,
,May,23-24,27,Harris,OB,32.0,0.0,50.0,-4.0,9.0,2.0,1.0,0.0,5.0,1.0,-18.0,4.0,
,May,17-21,27,MORI,ST,35.0,4.0,48.0,-6.0,8.0,2.0,4.0,1.0,4.0,0.0,-13.0,10.0,
,May,25-26,27,ICM,SC,36.0,4.0,50.0,0.0,5.0,-3.0,1.0,-3.0,4.0,0.0,-14.0,4.0,
,May,25-27,28,ASL,,37.0,5.0,47.0,-2.0,5.0,-1.0,3.0,-1.0,6.0,-1.0,-10.0,7.0,Phone
,May,30-4,8,Gallup,DT,29.5,-2.5,53.0,6.0,7.5,0.0,2.5,-1.5,5.5,-0.5,-23.5,-8.5,
,May,3-29,8,G9000,,32.7,4.6,47.5,-4.3,10.0,1.4,2.3,-0.7,4.9,-0.9,-14.8,8.9,
,Jun,8,10,NMR,IoS,36.0,6.0,49.0,-7.0,9.0,4.0,,,4.0,0.0,-13.0,13.0,
,Jun,8-9,14,ICM,GU,35.0,-1.0,54.0,4.0,5.0,0.0,,,4.0,0.0,-19.0,-5.0,
,Jun,16-18,22,NOP,Ind,37.0,3.0,48.0,-1.0,8.0,0.0,,,4.0,0.0,-11.0,4.0,
,Jun,20-21,24,Harris,OB,37.0,5.0,48.0,-2.0,8.0,-1.0,,,5.0,0.0,-11.0,7.0,
,Jun,13-18,24,MORI,ST,38.0,3.0,49.0,1.0,8.0,0.0,,,3.0,-1.0,-11.0,2.0,
,Jun,22-23,1,ICM,SC,36.0,1.0,53.0,-1.0,5.0,0.0,,,3.0,-1.0,-17.0,2.0,
,Jun,27-2,6,Gallup,DT,36.0,6.5,47.0,-6.0,9.0,1.5,,,4.5,-1.0,-11.0,12.5,
,Jun,29-1,2,ASL,,39.0,2.0,44.0,-3.0,7.0,2.0,,,7.0,1.0,-5.0,5.0,Phone
,Jun,1-26,6,G9000,,33.7,1.0,49.5,2.0,8.8,0.8,,,5.3,-0.2,-15.8,-1.0,
,Jul,6-7,12,ICM,GU,35.0,-1.0,51.0,-2.0,8.0,3.0,,,4.0,1.0,-16.0,1.0,
,Jul,14-16,21,NOP,Ind,37.0,0.0,50.0,2.0,7.0,-1.0,,,3.0,-1.0,-13.0,-2.0,
,Jul,18-19,22,Harris,OB,37.0,0.0,49.0,1.0,7.0,-1.0,,,5.0,0.0,-12.0,-1.0,
,Jul,19-23,29,MORI,ST,38.0,0.0,46.0,-3.0,10.0,2.0,,,4.0,1.0,-8.0,3.0,
,Jul,20-21,29,ICM,SC,36.0,1.0,52.0,1.0,7.0,-1.0,,,3.0,-1.0,-16.0,0.0,
,Jul,24-30,3,Gallup,DT,33.5,-2.5,48.0,1.0,11.5,2.5,,,4.5,0.0,-14.5,-3.5,
,Jul,27-29,30,ASL,,35.0,-4.0,46.0,2.0,9.0,2.0,,,7.0,0.0,-11.0,-6.0,Phone
,Jul,1-31,3,G9000,,34.4,0.7,47.9,-1.6,9.9,1.1,,,4.9,-0.4,-13.5,2.3,
,Aug,,12,ICM,SC,,,,,,,,,,,-8.0,8.0,
,Aug,10-11,16,ICM,GU,38.0,,49.0,,9.0,,,,2.0,,-11.0,-3.0,
,Aug,11-13,18,NOP,Ind,36.0,-1.0,48.0,-2.0,7.0,0.0,,,4.0,1.0,-12.0,1.0,
,Aug,16-20,26,MORI,ST,35.0,-3.0,50.0,4.0,10.0,0.0,,,4.0,-1.0,-15.0,-7.0,
,Aug,22-23,26,Harris,OB,38.0,1.0,46.0,-3.0,10.0,3.0,,,,,-8.0,4.0,
,Aug,24-25,26,ICM,SC,37.0,-1.0,51.0,2.0,6.0,-3.0,,,3.0,1.0,-14.0,-3.0,
,Aug,29-3,8,Gallup,DT,35.5,2.0,48.0,0.0,8.5,-3.0,,,4.5,0.0,-12.5,2.0,
,Aug,31-2,3,ASL,,38.0,3.0,45.0,-1.0,6.0,-3.0,,,6.0,-1.0,-7.0,4.0,Phone
,Aug,1-28,8,G9000,,35.1,0.7,47.6,-0.3,9.3,-0.6,,,4.5,-0.4,-12.5,1.0,
,Sep,7-8,13,ICM,GU,37.0,0.0,50.0,-1.0,8.0,2.0,,,3.0,0.0,-13.0,1.0,
,Sep,19-20,23,Harris,OB,38.0,0.0,46.0,0.0,10.0,0.0,,,3.0,,-8.0,0.0,
,Sep,20-24,30,MORI,ST,38.0,3.0,45.0,-5.0,12.0,2.0,,,3.0,0.0,-7.0,8.0,
,Sep,21-22,30,ICM,SC,35.0,-2.0,44.0,-6.0,12.0,4.0,,,4.0,1.0,-9.0,4.0,
,Sep,22-24,29,NOP,Ind,39.0,3.0,44.0,-4.0,12.0,5.0,,,3.0,-1.0,-5.0,7.0,
,Sep,28-29,30,NMR,IoS,33.0,-3.0,52.0,3.0,10.0,1.0,,,3.0,-1.0,-19.0,6.0,
,Sep,26-1,7,Gallup,STel,31.5,-4.0,46.0,-2.0,14.0,5.5,,,4.0,-0.5,-14.5,-2.0,
,Sep,,1,ASL,,32.0,-6.0,45.0,0.0,15.0,9.0,,,5.0,-1.0,-13.0,-6.0,Phone
,Sep,,8,Gallup,DT,31.5,-4.0,46.0,-2.0,14.0,5.5,,,4.0,-0.5,-14.5,2.0,
,Sep,29-2,8,G9000,,34.6,-0.5,46.6,-1.0,11.1,1.8,,,4.5,0.0,-12.0,0.5,
,Oct,,7,ICM,SC,,,,,,,,,,,,,
,Oct,12-13,15,ICM,GU,36.0,,49.0,,9.0,,,,4.0,,-13.0,,
,Oct,18-22,28,MORI,ST,33.0,-5.0,49.0,4.0,14.0,2.0,,,2.0,-1.0,-16.0,-9.0,
,Oct,20-22,27,NOP,Ind,35.0,-4.0,45.0,1.0,15.0,3.0,,,3.0,0.0,-10.0,-5.0,
,Oct,24-25,28,Harris,OB,32.0,-6.0,48.0,2.0,14.0,4.0,,,2.0,-1.0,-16.0,-8.0,
,Oct,26-27,28,ICM,SC,34.0,-2.0,44.0,-5.0,14.0,5.0,,,4.0,0.0,-10.0,3.0,
,Oct,26-28,29,ASL,,36.0,4.0,40.0,-5.0,13.0,-2.0,,,7.0,2.0,-4.0,9.0,Phone
,Oct,24-29,,Gallup,DT,31.5,0.0,46.0,0.0,15.5,1.5,,,,,-14.5,0.0,
,Oct,3-30,,G9000,,34.3,-0.3,46.4,-0.2,13.0,1.9,,,,,-12.1,-0.1,
,Nov,2-3,4,NMR,IoS,32.0,-1.0,49.0,-3.0,13.0,3.0,,,4.0,1.0,-17.0,2.0,
,Nov,3,4,NOP,MoS,30.0,-5.0,51.0,6.0,12.0,-3.0,,,4.0,1.0,-21.0,-11.0,
,Nov,9-10,15,ICM,GU,33.0,-1.0,49.0,5.0,13.0,-1.0,,,2.0,-2.0,-16.0,-6.0,
,Nov,,15,Harris,ITN,34.0,2.0,49.0,1.0,13.0,-1.0,,,2.0,0.0,-15.0,1.0,
,Nov,14,15,NOP,Ind,32.0,2.0,46.0,-5.0,15.0,3.0,,,4.0,1.0,-14.0,7.0,
,Nov,15,16,MORI,TT,41.0,8.0,45.0,-4.0,10.0,-4.0,,,2.0,0.0,-4.0,12.0,
,Nov,,18,Gallup ,STel,35.0,,48.0,,11.0,,,,2.0,,-13.0,,Phone
,Nov,11-17,18,NMR,IoS,42.0,10.0,44.0,-5.0,11.0,-2.0,,,4.0,0.0,-2.0,15.0,
,Nov,14-15,18,Harris,OB,34.0,0.0,49.0,0.0,13.0,0.0,,,2.0,0.0,-15.0,0.0,
,Nov,15-19,25,MORI,ST,38.0,1.0,46.0,-2.0,12.0,1.0,,,2.0,0.0,-8.0,3.0,
,Nov,16,18,MORI,ST,37.0,-4.0,48.0,3.0,11.0,1.0,,,2.0,0.0,-11.0,-7.0,
,Nov,16,18,ICM,SC,37.0,3.0,49.0,5.0,9.0,-6.0,,,3.0,-1.0,-12.0,-2.0,
,Nov,,21,G9000,,33.5,-0.8,44.4,-2.0,15.4,2.4,,,,,-10.9,1.2,
,Nov,17-19,20,Gallup,DT,36.0,4.5,44.5,-1.5,10.5,-5.5,,,3.0,,-8.5,6.0,
,Nov,17-19,24,NOP,Ind,40.0,8.0,45.0,-1.0,11.0,-4.0,,,2.0,-2.0,-5.0,9.0,
,Nov,23,25,Gallup,STel,43.0,7.0,41.5,-3.5,11.0,0.5,,,2.0,-1.0,2.0,10.5,
,Nov,23,25,ICM,SC,46.0,9.0,40.0,-9.0,10.0,1.0,,,2.0,-1.0,6.0,18.0,
,Nov,23-25,26,ASL,,44.0,8.0,37.0,-3.0,12.0,-1.0,,,5.0,-2.0,7.0,11.0,Phone
,Nov,24-26,26,Gallup,DT,44.0,1.0,41.0,-0.5,10.0,-1.0,,,2.0,0.0,3.0,1.5,
,Nov,26,27,NOP,Ind,49.0,9.0,38.0,-7.0,9.0,-2.0,,,,,11.0,16.0,
,Nov,27-28,29,Harris,ITN,49.0,15.0,38.0,-11.0,9.0,-4.0,,,2.0,0.0,11.0,26.0,
,Nov,30-1,2,NMR,IoS,48.0,6.0,40.0,-4.0,8.0,-3.0,,,2.0,-2.0,8.0,10.0,
,Nov,30-2,3,ASL,,49.0,5.0,36.0,-1.0,9.0,-3.0,,,3.0,-2.0,13.0,6.0,Phone
,Nov,,14,G9000,,48.4,14.9,36.9,-7.5,10.0,-5.4,,,,,11.5,22.4,
,Dec,4-10,14,Gallup,DT,43.0,-1.0,40.5,-0.5,10.5,0.5,,,2.0,0.0,2.5,-0.5,
,Dec,7-8,13,ICM,GU,45.0,-1.0,43.0,3.0,9.0,-1.0,,,2.0,0.0,2.0,-4.0,
,Dec,8-10,13,NOP,Ind,47.0,-2.0,42.0,4.0,7.0,-2.0,,,2.0,0.0,5.0,-6.0,
,Dec,12-13,16,Harris,OB,44.0,-5.0,40.0,2.0,10.0,1.0,,,3.0,1.0,4.0,-7.0,
,Dec,27-28,30,MORI,ST,41.0,3.0,45.0,-1.0,9.0,-3.0,,,2.0,0.0,-4.0,4.0,
,Dec,1-18,8,G9000,,44.6,-3.8,39.1,2.2,10.5,0.5,,,,,5.5,-6.0,
1991,Jan,4-5,6,ASL,,39.0,-10.0,43.0,7.0,11.0,2.0,,,4.0,1.0,-4.0,-17.0,Phone
,Jan,4-7,8,Gallup,DT,43.0,0.0,41.5,1.0,10.0,-0.5,,,2.5,0.5,1.5,-1.0,
,Jan,9-10,11,MORI,TT,44.0,3.0,42.0,-3.0,11.0,2.0,,,2.0,,2.0,6.0,
,Jan,10-11,12,Harris,ITN,47.0,3.0,41.0,1.0,7.0,-3.0,,,2.0,-1.0,6.0,2.0,
,Jan,11-12,17,ICM,GU,43.0,-2.0,43.0,0.0,10.0,1.0,,,2.0,,0.0,-2.0,
,Jan,12-14,15,NOP,Ind,43.0,-4.0,44.0,2.0,8.0,1.0,,,2.0,,-1.0,-6.0,
,Jan,16-17,20,Harris,OB,46.0,-1.0,41.0,0.0,9.0,2.0,,,1.0,-1.0,5.0,-1.0,
,Jan,18-21,27,MORI,ST,46.0,2.0,41.0,-1.0,9.0,-2.0,,,2.0,,5.0,3.0,
,Jan,25-27,28,ASL,,51.0,12.0,34.0,-9.0,8.0,-3.0,,,4.0,,17.0,21.0,Phone
,Jan,30-4,8,Gallup,DT,42.0,-1.0,42.5,1.0,10.0,0.0,,,3.0,0.5,-0.5,-2.0,
,Jan,4-28,8,G9000,,44.3,0.0,39.2,0.1,10.8,0.3,,,,,5.1,-0.4,
,Feb,1-3,4,ASL,,46.0,-5.0,39.0,5.0,8.0,0.0,,,5.0,1.0,7.0,-10.0,Phone
,Feb,8-9,14,ICM,GU,44.0,1.0,42.0,-1.0,9.0,-1.0,,,2.0,0.0,2.0,2.0,
,Feb,9-13,16,NOP,Ind,45.0,2.0,42.0,-2.0,9.0,1.0,,,2.0,0.0,3.0,4.0,
,Feb,15-16,17,NMR,IoS,47.0,-1.0,40.0,0.0,8.0,0.0,,,,,7.0,-1.0,
,Feb,13-14,17,Harris,OB,46.0,0.0,42.0,1.0,8.0,-1.0,,,2.0,1.0,4.0,-1.0,
,Feb,22-23,24,ICM,DM,44.0,0.0,43.0,1.0,9.0,0.0,,,2.0,0.0,1.0,-1.0,
,Feb,22-25,3,MORI,ST,44.0,-2.0,41.0,0.0,11.0,2.0,,,1.0,-1.0,3.0,-2.0,
,Feb,25-1,8,Gallup,DT,45.0,3.0,36.5,-6.0,13.0,3.0,,,,,8.5,9.0,
,Feb,2-4?,3,Harris,OB,47.0,1.0,39.0,-3.0,9.0,1.0,,,3.0,1.0,8.0,4.0,
,Feb,,8,G9000,,44.3,0.0,39.3,0.1,11.0,0.2,,,,,5.0,-0.1,
,Mar,1-4,5,NOP,Prov Cap,43.0,-2.0,38.0,-4.0,11.0,2.0,,,,,5.0,2.0,
,Mar,2-4,10,Harris,OB,47.0,1.0,39.0,-3.0,9.0,1.0,,,3.0,0.0,8.0,4.0,
,Mar,8,10,MORI,SE,41.0,-3.0,37.0,-4.0,16.0,5.0,,,,,4.0,1.0,
,Mar,8-9,13,ICM,GU,39.0,-5.0,40.0,-3.0,16.0,7.0,,,2.0,0.0,-1.0,-2.0,
,Mar,8-10,12,ASL,,44.0,-2.0,32.0,-7.0,19.0,11.0,,,3.0,-2.0,12.0,-5.0,Phone
,Mar,9-11,15,NOP,Ind,38.0,-5.0,39.0,1.0,18.0,7.0,,,2.0,0.0,-1.0,-6.0,
,Mar,13-14,17,Harris,OB,40.0,-7.0,39.0,0.0,17.0,8.0,,,2.0,-1.0,1.0,-7.0,
,Mar,21,23,ICM,DE,37.0,-2.0,40.0,0.0,14.0,-2.0,,,2.0,0.0,-3.0,-2.0,
,Mar,21-25,31,MORI,ST,40.0,2.0,40.0,-4.0,16.0,1.0,,,2.0,0.0,0.0,6.0,
,Mar,22,24,MORI,SE,38.0,-3.0,44.0,7.0,15.0,-1.0,,,,,-6.0,-10.0,
,Mar,23-24,27,ICM,DM,41.0,4.0,40.0,0.0,15.0,1.0,,,1.0,-1.0,1.0,4.0,
,Mar,25-30,5,Gallup,DT,39.5,-5.5,34.5,-2.0,18.0,5.0,,,,,5.0,-3.5,
,Mar,1-31,5,G9000,,41.2,-3.1,36.2,-3.1,17.3,6.3,,,,,5.0,0.0,
,Apr,5-6,11,ICM,GU,39.0,-2.0,43.0,3.0,13.0,-2.0,,,3.0,2.0,-4.0,-5.0,
,Apr,17-18,21,Harris,OB,40.0,0.0,40.0,1.0,14.0,-3.0,,,2.0,0.0,0.0,-1.0,
,Apr,18-22,28,MORI,ST,42.0,2.0,40.0,0.0,15.0,-1.0,,,1.0,-1.0,2.0,2.0,
,Apr,20-22,26,NOP,Ind,41.0,3.0,41.0,2.0,13.0,-5.0,,,2.0,0.0,0.0,1.0,
,Apr,25-26,28,Harris,SE,41.0,1.0,41.0,1.0,14.0,0.0,,,,,0.0,0.0,
,Apr,26,28,Gallup,STel,42.0,2.5,39.0,4.5,14.0,-4.0,,,,,3.0,-2.0,
,Apr,26-27,28,NMR,IoS,47.0,0.0,37.0,-3.0,14.0,6.0,,,,,10.0,3.0,
,Apr,26-27,1,ICM,DM,39.0,0.0,41.0,-2.0,14.0,1.0,,,3.0,0.0,-2.0,2.0,
,Apr,26-28,29,ASL,,43.0,-1.0,38.0,6.0,14.0,-5.0,,,2.0,-1.0,5.0,-7.0,Phone
,Apr,,3,ICM,DE,38.0,-1.0,40.0,-1.0,19.0,5.0,,,1.0,-2.0,-2.0,0.0,
,Apr,29-6,9,Gallup,DT,38.5,-3.5,38.0,-1.0,18.0,4.0,,,,,0.5,-2.5,
,Apr,3-30,9,G9000,,40.9,-0.3,37.1,0.9,16.5,-0.8,,,,,3.8,-1.2,
,May,10-11,15,ICM,GU,37.0,-1.0,43.0,3.0,16.0,-3.0,,,2.0,1.0,-6.0,-4.0,
,May,10-12,18,ASL,,39.0,-4.0,39.0,1.0,19.0,5.0,,,2.0,0.0,0.0,-5.0,Phone
,May,15-16,19,Harris,OB,38.0,-3.0,42.0,1.0,16.0,2.0,,,2.0,0.0,-4.0,-4.0,
,May,18-20,24,NOP,Ind,36.0,-5.0,44.0,3.0,15.0,2.0,,,2.0,0.0,-8.0,-8.0,
,May,24-25,30,ICM,DM,37.0,0.0,41.0,-2.0,16.0,0.0,,,,,-4.0,2.0,
,May,24-28,2,MORI,ST,37.0,-5.0,43.0,3.0,16.0,1.0,,,2.0,1.0,-6.0,-8.0,
,May,27-3,7,Gallup,DT,33.5,-5.0,41.5,3.5,21.0,3.0,,,,,-8.0,-8.5,
,May,1-28,7,G9000,,37.2,-3.7,38.3,1.2,19.4,2.9,,,,,-1.1,-4.9,
,May,31-1,2,NMR,IoS,37.0,-10.0,43.0,6.0,16.0,2.0,,,,,-6.0,-16.0,
,Jun,1-2,3,Harris,TV-AM,36.0,-2.0,43.0,1.0,15.0,-1.0,,,,,-7.0,-3.0,
,Jun,7-8,11,ICM,GU,34.0,-3.0,44.0,3.0,17.0,1.0,,,1.0,0.0,-10.0,-6.0,
,Jun,12-13,16,Harris,OB,35.0,-1.0,45.0,2.0,16.0,1.0,,,2.0,0.0,-10.0,-3.0,
,Jun,15-17,21,NOP,Ind,37.0,1.0,45.0,1.0,14.0,-1.0,,,2.0,0.0,-8.0,0.0,
,Jun,20-21,26,ICM,DM,35.0,1.0,44.0,0.0,17.0,0.0,,,1.0,0.0,-9.0,1.0,
,Jun,21,23,MORI,SE,39.0,2.0,38.0,-5.0,17.0,1.0,,,,,1.0,7.0,
,Jun,21-24,30,MORI,ST,39.0,0.0,41.0,3.0,15.0,-2.0,,,1.0,0.0,-2.0,-3.0,
,Jun,25-1,5,Gallup,DT,37.0,3.5,40.5,-1.0,17.0,-4.0,,,,,-3.5,4.5,
,Jun,27,30,NOP,MoS,41.0,4.0,42.0,-3.0,13.0,-1.0,,,,,-1.0,7.0,
,Jun,28-30,1,ASL,,41.0,2.0,42.0,3.0,13.0,-6.0,,,1.0,-1.0,-1.0,-1.0,Phone
,Jun,1-30,5,G9000,,36.5,-0.7,39.7,1.4,18.7,-0.7,,,,,-3.2,-2.1,
,Jul,5-6,10,ICM,GU,37.0,2.0,43.0,-1.0,16.0,-1.0,,,2.0,1.0,-6.0,3.0,
,Jul,13-15,19,NOP,Ind,39.0,-2.0,43.0,1.0,13.0,0.0,,,2.0,0.0,-4.0,-3.0,
,Jul,17-18,21,Harris,OB,39.0,4.0,42.0,-3.0,14.0,-2.0,,,2.0,0.0,-3.0,7.0,
,Jul,19-20,23,ICM,DM,37.0,0.0,44.0,1.0,16.0,0.0,,,1.0,-1.0,-7.0,-1.0,
,Jul,19-22,28,MORI,ST,38.0,-1.0,43.0,2.0,15.0,0.0,,,2.0,1.0,-5.0,3.0,
,Jul,24,26,ICM,DE,38.0,1.0,44.0,0.0,13.0,-3.0,,,2.0,1.0,-6.0,1.0,
,Jul,26-28,29,ASL,,35.0,-6.0,43.0,1.0,15.0,2.0,,,4.0,3.0,-8.0,-7.0,Phone
,Jul,31-5,9,Gallup,DT,36.0,-1.0,41.0,0.5,16.5,-0.5,,,,,-5.0,-1.5,
,Jul,2-30,9,G9000,,38.3,1.8,39.1,-0.6,17.6,-1.1,,,,,-0.8,2.4,
,Aug,9-10,14,ICM,GU,36.0,-2.0,45.0,1.0,16.0,3.0,,,2.0,0.0,-9.0,-3.0,
,Aug,14-15,18,Harris,OB,40.0,1.0,41.0,-1.0,14.0,0.0,,,3.0,1.0,-1.0,2.0,
,Aug,17-19,23,NOP,Ind,38.0,-1.0,44.0,1.0,12.0,-1.0,,,2.0,0.0,-6.0,-2.0,
,Aug,23-24,29,ICM,DM,40.0,4.0,43.0,-2.0,12.0,-4.0,,,1.0,-1.0,-3.0,6.0,
,Aug,23-27,1,MORI,ST,42.0,4.0,40.0,-3.0,14.0,-1.0,,,2.0,0.0,2.0,7.0,
,Aug,29-31,1,ASL,,39.0,4.0,40.0,-3.0,15.0,0.0,,,3.0,-1.0,-1.0,7.0,Phone
,Aug,24-2,6,Gallup,DT,39.5,3.5,35.0,-6.0,19.5,3.0,,,,,4.5,9.0,
,Aug,30-3,6,G9000,,38.5,0.2,38.8,-0.3,17.1,-0.5,,,,,-0.3,0.5,
,Sep,6-7,8,NOP,IoS,41.0,3.0,39.0,-5.0,15.0,3.0,,,,,2.0,8.0,
,Sep,11-12,15,Harris,OB,43.0,3.0,38.0,-3.0,16.0,2.0,,,1.0,-2.0,5.0,6.0,
,Sep,12-13,15,ICM,SE,41.0,1.0,37.0,-6.0,17.0,5.0,,,2.0,1.0,4.0,8.0,
,Sep,13-14,18,ICM,GU,39.0,-2.0,39.0,2.0,17.0,0.0,,,1.0,-1.0,0.0,-4.0,
,Sep,18-23,29,Gallup,STel,40.0,0.5,38.5,3.5,16.0,-3.5,,,,,1.5,-3.0,
,Sep,19-20,22,MORI,ST,39.0,-3.0,43.0,3.0,14.0,0.0,,,2.0,0.0,-4.0,-6.0,
,Sep,20-24,29,MORI,ST,39.0,0.0,39.0,-4.0,17.0,3.0,,,1.0,-1.0,0.0,4.0,
,Sep,21-23,27,NOP,Ind,39.0,-2.0,42.0,3.0,14.0,-1.0,,,,,-3.0,-5.0,
,Sep,24-30,30,Gallup,?DT,42.0,2.0,38.0,-0.5,15.0,-1.0,,,,,4.0,2.5,
,Sep,25-26,29,Harris,OB,40.0,-3.0,41.0,3.0,13.0,-3.0,,,2.0,1.0,-1.0,-6.0,
,Sep,25-26,29,NOP,MoS,40.0,1.0,39.0,-3.0,16.0,2.0,,,,,1.0,4.0,
,Sep,27-28,2,ICM,DM,40.0,1.0,42.0,3.0,14.0,-3.0,,,,,-2.0,-2.0,
,Sep,27-29,30,ASL,,41.0,2.0,37.0,-3.0,14.0,-1.0,,,3.0,0.0,4.0,5.0,Phone
,Sep,31-3,7,ICM,PA,40.0,0.0,42.0,0.0,13.0,-1.0,,,2.0,1.0,-2.0,0.0,
,Sep,2-30,5,G9000,,40.5,2.0,36.9,-1.9,17.1,0.0,,,,,3.6,3.9,
,Oct,3-4,5,Gallup,DT,39.5,-2.5,41.5,3.5,15.0,0.0,,,,,-2.0,-6.0,
,Oct,4-5,6,NOP,IoS,39.0,-1.0,46.0,7.0,13.0,-3.0,,,,,-7.0,-8.0,
,Oct,11-12,16,ICM,GU,41.0,1.0,43.0,1.0,12.0,-1.0,,,1.0,-1.0,-2.0,0.0,
,Oct,16-17,20,Harris,OB,39.0,-1.0,46.0,5.0,12.0,-1.0,,,1.0,-1.0,-7.0,-6.0,
,Oct,18-21,27,MORI,ST,39.0,0.0,45.0,6.0,12.0,-5.0,,,2.0,1.0,-6.0,-6.0,
,Oct,19-21,25,NOP,Ind,39.0,0.0,45.0,-1.0,12.0,-1.0,,,,,-6.0,1.0,
,Oct,,27,Harris,OB,39.0,0.0,45.0,-1.0,12.0,0.0,,,2.0,1.0,-6.0,1.0,
,Oct,25-26,28,ICM,DM,40.0,-1.0,42.0,-1.0,13.0,1.0,,,1.0,0.0,-2.0,0.0,
,Oct,25-27,28,ASL,,37.0,-4.0,42.0,5.0,16.0,2.0,,,2.0,-1.0,-5.0,-9.0,Phone
,Oct,29-4,8,Gallup,DT,36.0,-3.5,44.0,2.5,15.5,0.5,,,,,-8.0,-6.0,
,Oct,,8,G9000,,41.0,0.5,40.4,3.5,13.8,-3.3,,,,,0.6,0.0,
,Nov,1,3,MORI,ST,42.0,3.0,41.0,-4.0,13.0,1.0,,,,,1.0,7.0,
,Nov,8-9,13,ICM,GU,41.0,1.0,43.0,1.0,13.0,0.0,,,2.0,1.0,-2.0,0.0,
,Nov,13-14,17,Harris,OB,39.0,0.0,44.0,-1.0,13.0,1.0,,,,,-6.0,1.0,
,Nov,22-23,24,MORI,ST,41.0,-1.0,43.0,2.0,13.0,0.0,,,,,-2.0,-3.0,
,Nov,22-23,27,ICM,DM,39.0,-2.0,41.0,-2.0,16.0,3.0,,,1.0,-1.0,-2.0,0.0,
,Nov,22-25,1,MORI,ST,40.0,-1.0,42.0,-1.0,15.0,2.0,,,1.0,0.0,-2.0,0.0,
,Nov,23-25,29,NOP,Ind,40.0,1.0,41.0,-4.0,15.0,3.0,,,,,-1.0,5.0,
,Nov,27-2,6,Gallup,DT,39.5,3.5,37.0,-7.0,19.0,3.5,,,,,2.5,10.5,
,Nov,,6,G9000,,39.5,-1.5,38.9,-1.5,16.6,2.8,,,,,0.6,0.0,
,Dec,29-1,2,ASL,,39.0,2.0,40.0,-2.0,16.0,0.0,,,3.0,1.0,-1.0,4.0,Phone
,Dec,4-5,7,MORI,TT,40.0,0.0,43.0,1.0,12.0,-3.0,,,,,-3.0,-1.0,
,Dec,6-7,11,ICM,GU,39.0,0.0,42.0,1.0,14.0,-2.0,,,1.0,-1.0,-3.0,1.0,
,Dec,,15,Gallup,STel,42.0,2.5,41.5,4.5,13.0,-6.0,,,,,0.5,-2.0,Phone
,Dec,13,15,NOP,IoS,41.0,1.0,40.0,-1.0,14.0,-1.0,,,,,1.0,2.0,
,Dec,27,29,MORI,ST,38.0,-2.0,44.0,1.0,14.0,2.0,,,2.0,1.0,-6.0,-3.0,
,Dec,4-18,,G9000,,40.6,1.1,38.8,-0.1,15.0,-1.6,,,,,1.8,1.2,
1992,Jan,7-8,12,NOP,IoS,40.0,-1.0,45.0,5.0,12.0,-2.0,,,,,-5.0,-6.0,
