,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
,M,36.7,48.7,-12.0,54.3,35.4,18.9,51.0,48.6,22.8,25.8,18.0,65.5,20.8,44.7,19.0,,,,,,,,,,,,,,,,
,J,34.0,52.1,-18.1,51.7,38.8,12.9,,47.0,22.6,24.4,,61.5,23.5,38.0,,,,,,,,,,,,,,,,,
,J,30.4,55.5,-25.1,49.2,41.4,7.8,43.0,48.5,20.2,28.3,27.0,57.4,24.8,32.6,17.0,,,,,,,,,,,,,,,,
,A,26.2,60.7,-34.5,45.2,44.8,0.4,41.0,38.8,17.4,21.4,30.0,57.0,23.6,33.4,15.0,,,,,,,,,,,,,,,,
,S,22.4,64.5,-42.1,38.7,52.1,-13.4,40.0,33.6,22.1,11.5,29.0,55.2,26.0,29.2,16.0,,,,,,,,,,,,,,,,
,O,14.0,75.6,-61.6,25.6,67.0,-41.4,26.0,45.1,18.6,26.5,35.0,54.5,26.1,28.4,21.0,,,,,,,,,,,,,,,,
,N,13.9,77.4,-63.5,23.3,69.0,-45.7,21.0,48.9,21.3,27.6,38.0,56.3,26.7,29.6,16.0,29.0,47.0,-18.0,,,,,,,,,,,,,
,D,15.9,74.9,-59.0,27.0,65.7,-38.7,25.5,46.3,25.5,20.8,34.0,55.1,28.2,26.9,15.7,28.3,38.7,-10.4,,,,,,,,,,,,,
1993,J,17.4,72.1,-54.7,31.2,61.2,-30.0,27.6,43.0,29.5,13.5,32.0,56.1,26.1,30.0,16.4,31.8,39.6,-7.8,,,,,,,,,,,,,
,F,16.0,74.3,-58.3,27.9,65.3,-37.4,25.4,45.1,28.6,16.5,31.6,56.2,25.3,30.9,16.9,30.1,39.9,-9.8,,,,,,,,,,,,,
,M,14.4,76.0,-61.6,24.9,68.3,-43.4,23.0,47.2,27.7,19.5,32.6,55.6,25.0,30.6,17.9,26.9,40.5,-13.6,,,,,,,,,,,,,
,A,16.0,74.4,-58.4,26.0,67.5,-41.5,23.2,47.0,29.7,17.3,31.5,55.9,24.2,31.7,17.5,28.1,40.8,-12.7,,,,,,,,,,,,,
,M,13.8,77.4,-63.6,23.1,70.4,-47.3,20.4,44.4,32.2,12.2,30.3,61.9,20.6,41.3,21.6,27.1,40.5,-13.4,,,,,,,,,,,,,
,J,11.0,80.4,-69.4,18.4,75.5,-57.1,15.8,43.0,35.4,7.6,29.0,62.3,20.7,41.6,24.9,23.4,40.6,-17.2,,,,,,,,,,,,,
,J,12.2,79.0,-66.8,19.5,74.0,-54.5,17.7,45.0,33.9,11.1,30.2,63.3,20.5,42.8,25.0,25.7,40.0,-14.3,,,,,,,,,,,,,
,A,12.0,79.0,-67.0,19.5,74.4,-54.9,16.1,43.7,34.3,9.4,27.9,63.7,20.0,43.7,25.8,25.8,37.8,-12.0,,,,,,,,,,,,,
