,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,J,36,43,-7,,,,38.0,,,,19.0,,,,16.0,,,,,,,,,,,,,,,,
,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,34,46,-12,,,,36.0,,,,11.0,,,,19.0,34.0,41.0,-7.0,,,,,,,,,,,,,
,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouGov,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,J,28,62,-34,,,,33,,,,15,,,,22,31.0,32.0,-1.0,27.0,65.0,-38.0,4.0,,,,,,,,,
,F,31,61,-30,34.0,59.0,-25.0,36,15.0,65.0,-50.0,12,,,,23,32.0,34.0,-2.0,30.0,62.0,-32.0,2.0,,,,,,,,,
,M,37,54,-17,,,,43,,,,14,,,,15,34.0,35.0,-1.0,35.0,56.0,-21.0,4.0,,,,,,,,,
,A,36,54,-18,,,,42,,,,14,,,,15,32.0,35.0,-3.0,34.0,57.0,-23.0,5.0,,,,,,,,,
,M,31,58,-27,,,,38,,,,19,,,,15,33.0,34.0,-1.0,29.0,62.0,-33.0,6.0,,,,,,,,,
,J,29,62,-33,,,,34,,,,21,,,,18,34.0,31.0,3.0,25.0,66.0,-41.0,8.0,,,,,,,,,
,J,26,63,-37,,,,31,,,,21,,,,18,33.0,33.0,0.0,24.0,68.0,-44.0,7.0,,,,,,,,,
,A,26,63,-37,,,,30,,,,19,,,,18,34.0,31.0,3.0,22.0,69.0,-47.0,10.0,,,,,,,,,
,S,25,65,-40,,,,28,,,,18,,,,21,34.0,30.0,4.0,21.0,71.0,-50.0,10.0,,,,,,,,,
Howard,O,26,61,-35,,,,29,,,,22,,,,14,33.0,28.0,5.0,24.0,65.0,-41.0,6.0,,,,,,,,,
,N,26,59,-33,,,,31,,,,27,,,,10,33.0,31.0,2.0,28.0,65.0,-37.0,4.0,,,,,,,,,
,D,31,58,-27,,,,35,,,,29,,,,13,35.0,34.0,1.0,28.0,64.0,-36.0,9.0,,,,,,,,,
2004,J,26,62,-36,,,,31,,,,29,,,,12,35.0,29.0,6.0,26.0,66.0,-40.0,4.0,,,,,,,,,
,F,27,60,-33,,,,32,,,,28,,,,13,35.0,31.0,4.0,25.0,67.0,-42.0,9.0,,,,,,,,,
,M,29,60,-31,,,,32,,,,29,,,,15,33.0,32.0,1.0,25.0,66.0,-41.0,10.0,,,,,,,,,
,A,25,63,-38,,,,29,,,,29,,,,13,34.0,31.0,3.0,22.0,68.0,-46.0,8.0,,,,,,,,,
,M,28,61,-33,,,,30,,,,28,,,,15,31.0,32.0,-1.0,26.0,66.0,-40.0,7.0,,,,,,,,,
,J,27,62,-35,,,,31,,,,26,,,,12,32.0,32.0,0.0,25.0,67.0,-42.0,7.0,,,,,,,,,
,J,27,60,-33,,,,32,,,,24,,,,15,30.0,34.0,-4.0,24.0,56.0,-32.0,-1.0,,,,,,,,,
,A,29,57,-28,,,,33,,,,23,,,,14,31.0,34.0,-3.0,28.0,63.0,-35.0,7.0,,,,,,,,,
,S,26,59,-33,,,,30,,,,22,,,,14,32.0,31.0,1.0,24.0,67.0,-43.0,10.0,,,,,,,,,
,O,27,59,-32,,,,32,,,,21,,,,14,27.0,34.0,-7.0,25.0,66.0,-41.0,9.0,,,,,,,,,
,N,29,57,-28,,,,31,,,,19,,,,16,28.0,32.0,-4.0,24.0,65.0,-41.0,13.0,,,,,,,,,
,D,27,57,-30,,,,31,,,,20,,,,15,,,,,,,,,,,,,,,,
2005,J,30,57,-27,41.0,56.0,-15.0,32,31.0,55.0,-24.0,21,61.0,23.0,38.0,14,28.0,33.0,-5.0,24.0,66.0,-42.0,15.0,,,,,,,,,
,F,32,55,-23,,,,32,,,,23,,,,18,28.0,39.0,-11.0,26.0,63.0,-37.0,14.0,,,,,,,,,
,M,,,,46.0,50.0,-4.0,34,41.0,47.0,-6.0,26,55.0,29.0,26.0,16,29.0,44.0,-15.0,,,,,,,,,,,,,
,A,,,,46.0,50.0,-4.0,37,40.0,46.0,-6.0,25,60.0,25.0,35.0,15,29.0,45.0,-16.0,,,,,,,,,,,,,
Pre GE,M,,,,,,,37,,,,25,,,,19,,,,,,,,,,,,,,,,
Post GE,M,36,50,-14,,,,37,,,,20,,,,18,,,,,,,,,,,,,,,,
,J,34,53,-19,,,,37,,,,19,,,,16,28.0,42.0,-14.0,,,,,,,,,,,,,
,J,37,49,-12,,,,40,,,,18,,,,14,28.0,43.0,-15.0,,,,,,,,,,,,,
,A,34,52,-18,,,,36,,,,18,,,,16,28.0,40.0,-12.0,,,,,,,,,,,,,
,S,34,52,-18,,,,37,,,,16,,,,15,27.0,42.0,-15.0,,,,,,,,,,,,,
,O,33,53,-20,,,,,,,,,,,,,27.0,38.0,-11.0,,,,,,,,,,,,,
Cameron,N,30,55,-25,,,,30,,,,24,,,,13,29.0,37.0,-8.0,,,,,,,,,,,,,
,D,30,54,-24,,,,30,,,,30,,,,11,30.0,35.0,-5.0,,,,,,,,,,,,,
2006,J,30,53,-23,,,,,,,,,,,,,29.0,34.0,-5.0,,,,,,,,,,,,,
,F,29,57,-28,,,,,,,,,,,,,30.0,34.0,-4.0,,,,,,,,,,,,,
,M,29,56,-27,,,,29,,,,25,,,,8,29.0,33.0,-4.0,,,,,,,,,,,,,
,A,27,58,-31,,,,30,,,,21,,,,8,28.0,33.0,-5.0,,,,,,,,,,,,,
,M,25,62,-37,,,,28,,,,27,,,,8,29.0,32.0,-3.0,,,,,,,,,,,,,
,J,26,62,-36,,,,28,,,,30,,,,6,31.0,31.0,0.0,,,,,,,,,,,,,
,J,23,61,-38,,,,25,,,,26,,,,7,30.0,31.0,-1.0,,,,,,,,,,,,,
,A,22,64,-42,,,,24,,,,26,,,,7,32.0,30.0,2.0,,,,,,,,,,,,,
,S,24,62,-38,,,,26,,,,27,,,,6,30.0,31.0,-1.0,,,,,,,,,,,,,
,O,23,61,-38,,,,27,,,,28,,,,6,30.0,31.0,-1.0,,,,,,,,,,,,,
,N,24,60,-36,,,,28,,,,23,,,,6,30.0,29.0,1.0,,,,,,,,,,,,,
,D,,,,,,,27,,,,26,,,,6,30.0,35.0,-5.0,,,,,,,,,,,,,
2007,J,21,64,-43,,,,26,,,,28,,,,6,32.0,30.0,2.0,,,,,,,,,,,,,
,F,22,62,-40,,,,24,,,,28,,,,7,30.0,27.0,3.0,,,,,,,,,,,,,
,M,23,61,-38,,,,28,,,,27,,,,6,32.0,29.0,3.0,,,,,,,,,,,,,
,A,25,60,-35,,,,26,,,,28,,,,7,30.0,29.0,1.0,,,,,,,,,,,,,
Brown,M,27,56,-29,,,,30,,,,27,,,,6,29.0,32.0,-3.0,,,,,,,,,,,,,
,J,28,56,-28,,,,35,,,,23,,,,5,27.0,35.0,-8.0,,,,,,,,,,,,,
,J,27,52,-25,,,,37,,,,19,,,,6,25.0,37.0,-12.0,,,,,,,,,,,,,
,A,30,52,-22,,,,44,,,,20,,,,6,28.0,40.0,-12.0,,,,,,,,,,,,,
,S,,,,,,,42,,,,20,,,,6,28.0,36.0,-8.0,,,,,,,,,,,,,
,O,30,55,-25,,,,,,,,,,,,,32.0,35.0,-3.0,,,,,,,,,,,,,
,N,22,62,-40,,,,,,,,,,,,,33.0,32.0,1.0,,,,,,,,,,,,,
,D,22,61,-39,,,,,,,,,,,,,34.0,31.0,3.0,,,,,,,,,,,,,
2008,J,23,61,-38,,,,27,,,,31,,,,5,34.0,30.0,4.0,,,,,,,,,,,,,
,F,24,60,-36,,,,27,,,,29,,,,6,32.0,29.0,3.0,,,,,,,,,,,,,
,M,21,64,-43,,,,24,,,,32,,,,7,35.0,27.0,8.0,,,,,,,,,,,,,
,A,17,68,-51,,,,19,,,,32,,,,7,36.0,24.0,12.0,,,,,,,,,,,,,
,M,16,72,-56,,,,17,,,,39,,,,7,39.0,22.0,17.0,,,,,,,,,,,,,
,J,17,70,-53,,,,18,,,,37,,,,6,38.0,23.0,15.0,,,,,,,,,,,,,
,J,18,70,-52,,,,18,,,,37,,,,7,37.0,23.0,14.0,,,,,,,,,,,,,
,A,18,68,-50,,,,19,,,,37,,,,6,38.0,24.0,14.0,,,,,,,,,,,,,
,S,17,70,-53,,,,16,,,,34,,,,10,37.0,20.0,17.0,,,,,,,,,,,,,
,O,23,62,-39,,,,27,,,,34,,,,5,34.0,30.0,4.0,,,,,,,,,,,,,
,N,28,58,-30,,,,31,,,,33,,,,7,34.0,32.0,2.0,,,,,,,,,,,,,
,D,24,60,-36,,,,31,,,,29,,,,7,33.0,31.0,2.0,,,,,,,,,,,,,
2009,J,22,62,-40,,,,35,,,,27,,,,7,36.0,28.0,8.0,,,,,,,,,,,,,
,F,20,64,-44,,,,25,,,,33,,,,6,34.0,26.0,8.0,,,,,,,,,,,,,
,M,21,63,-42,,,,24,,,,35,,,,7,35.0,25.0,10.0,,,,,,,,,,,,,
,A,20,67,-47,,,,22,,,,39,,,,9,39.0,24.0,15.0,,,,,,,,,,,,,
,M,15,72,-57,,,,17,,,,36,,,,10,36.0,21.0,15.0,,,,,,,,,,,,,
,J,17,69,-52,,,,18,,,,35,,,,10,36.0,24.0,12.0,,,,,,,,,,,,,
,J,17,70,-53,,,,19,,,,37,,,,10,37.0,23.0,14.0,,,,,,,,,,,,,
,A,17,69,-52,,,,19,,,,35,,,,10,37.0,23.0,14.0,,,,,,,,,,,,,
,S,20,67,-47,,,,20,,,,35,,,,12,35.0,24.0,11.0,,,,,,,,,,,,,
,O,19,67,-48,,,,20,,,,36,,,,11,38.0,25.0,13.0,,,,,,,,,,,,,
,N,19,67,-48,,,,22,,,,34,,,,10,35.0,25.0,10.0,,,,,,,,,,,,,
,D,20,65,-45,,,,22,,,,34,,,,10,35.0,26.0,9.0,,,,,,,,,,,,,
2010,J,20,64,-44,,,,23,,,,33,,,,11,34.0,26.0,8.0,,,,,,,,,,,,,
