Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1997,May,,,G9000,DT,23.3,-7.7,56.9,6.9,14.7,2.1,-33.6,-14.6,,
,May,29-4,5,Gallup,DT,23.0,-10.0,59.0,13.0,13.0,-3.0,-36.0,-23.0,,Only ICM of the major pollsters regularly used
,Jun,6-7,10,ICM,GU,23.0,-10.0,62.0,19.0,14.0,-4.0,-39.0,-29.0,,a prompted voting intention question
,Jun,27-28,1,ICM,GU,23.0,0.0,61.0,-1.0,12.0,-2.0,-38.0,1.0,,(ie named Lib Dems) in this Parliament - hence LD rating higher
,Jun,20-23,26,MORI,TT,24.0,-5.0,58.0,12.0,15.0,-4.0,-34.0,-17.0,,
,Jun,,,G9000,,24.2,0.9,60.4,3.5,11.5,-3.5,-36.2,-2.6,,
,Jul,2-3,5,Gallup,DT,23.0,0.0,61.0,2.0,13.0,0.0,-38.0,-2.0,,
,Jul,25-28,31,MORI,TT,23.0,-1.0,57.0,-1.0,15.0,0.0,-34.0,0.0,,
,Jul,31-6,,Gallup,DT,25.0,2.0,58.0,-3.0,12.0,-1.0,-33.0,5.0,,
,Jul,,,G9000,,25.3,1.1,58.5,-1.9,12.0,0.5,-33.2,3.0,,
,Aug,8-9,12,ICM,GU,29.0,6.0,55.0,-6.0,12.0,0.0,-26.0,12.0,,
,Aug,21-25,28,MORI,TT,28.0,5.0,54.0,-3.0,15.0,0.0,-26.0,8.0,,
,Aug,27-3,12,Gallup,DT,26.0,1.0,58.0,0.0,12.0,0.0,-32.0,1.0,,
,Aug,,,G9000,,26.8,1.5,57.6,-0.9,11.4,-0.6,-30.8,2.4,,
,Sep,4-8,10,ICM,GU,24.0,-5.0,60.0,5.0,10.0,-2.0,-36.0,-10.0,,
,Sep,25-1,6,Gallup,DT,22.0,-4.0,60.0,2.0,14.0,2.0,-38.0,-6.0,,
,Sep,26-29,2,MORI,TT,25.0,-3.0,59.0,5.0,13.0,-2.0,-34.0,-8.0,,
,Sep,,,G9000,,23.1,-3.7,62.0,4.4,11.0,-0.4,-38.9,-8.1,,
,Oct,6,8,ICM,GU,23.0,-3.0,59.0,1.0,13.0,3.0,-36.0,-4.0,,
,Oct,24-27,29,MORI,TT,24.0,-1.0,60.0,1.0,12.0,-1.0,-36.0,-2.0,,
,Oct,30-4,7,Gallup,DT,23.0,1.0,63.0,3.0,11.0,-3.0,-40.0,-2.0,,
,Oct,,,G9000,,23.2,0.1,63.2,1.2,9.7,-1.3,-40.0,-1.1,,
,Nov,7-8,12,ICM,GU,30.0,7.0,52.0,-7.0,14.0,1.0,-22.0,14.0,,
,Nov,13-14,17,MORI,Sun,30.0,,56.0,,11.0,,-26.0,,Phone,
,Nov,21-24,27,MORI,TT,24.0,0.0,56.0,-4.0,16.0,4.0,-32.0,4.0,,
,Nov,27-3,5,Gallup,DT,21.0,-2.0,57.0,-6.0,17.0,6.0,-36.0,4.0,,
,Nov,,,G9000,,23.6,0.4,58.6,-4.6,13.0,3.3,-35.0,5.0,,
,Dec,5-6,9,ICM,GU,29.0,-1.0,50.0,-2.0,17.0,3.0,-21.0,1.0,,
,Dec,17,21,NOP,ST,28.0,,48.0,,,,-20.0,,,
,Dec,12-15,18,MORI,TT,26.0,2.0,55.0,-1.0,15.0,-1.0,-29.0,3.0,,
,Dec,,,G9000,,24.6,1.0,56.6,-2.0,13.8,0.8,-32.0,3.0,,
1998,Jan,5-7,9,Gallup,DT,26.0,5.0,56.0,1.0,12.0,-5.0,-30.0,6.0,,
,Jan,9-11,13,ICM,GU,30.0,1.0,48.0,-2.0,17.0,0.0,-18.0,3.0,,
,Jan,23-26,29,MORI,TT,28.0,2.0,54.0,-1.0,14.0,-1.0,-26.0,3.0,,
,Jan,28-4,6,Gallup,DT,29.0,3.0,54.0,-2.0,11.0,-1.0,-25.0,5.0,,
,Jan,,,G9000,,26.8,2.2,54.9,-1.7,13.1,-0.7,-28.1,3.9,,
,Feb,6-8,10,ICM,GU,31.0,1.0,47.0,-1.0,18.0,1.0,-16.0,2.0,,
,Feb,20-23,26,MORI,TT,28.0,0.0,52.0,-2.0,15.0,1.0,-24.0,2.0,,
,Feb,26-4,6,Gallup,DT,29.0,0.0,51.0,-3.0,14.0,3.0,-22.0,3.0,,
,Feb,,,G9000,,28.1,1.3,54.4,-0.5,12.9,-0.2,-26.3,1.8,,
,Mar,6-8,10,ICM,GU,33.0,2.0,46.0,-1.0,17.0,-1.0,-13.0,3.0,,
,Mar,20-23,26,MORI,TT,28.0,0.0,53.0,1.0,14.0,-1.0,-25.0,-1.0,,
,Mar,26-1,3,Gallup,DT,26.0,-3.0,54.0,3.0,16.0,2.0,-28.0,-6.0,,
,Mar,,,G9000,,29.3,1.2,51.1,-3.3,14.0,1.1,-21.8,4.5,,
,Apr,3-5,8,ICM,GU,31.0,-2.0,48.0,2.0,16.0,-1.0,-17.0,-4.0,,
,Apr,20-23,26,ICM,OB,29.0,-2.0,52.0,4.0,16.0,0.0,-23.0,-6.0,,
,Apr,23-29,1,Gallup,DT,25.0,-1.0,54.0,0.0,16.0,0.0,-29.0,-1.0,,
,Apr,24-26,29,MORI,Sun,30.0,,54.0,,13.0,,-24.0,,Phone,
,Apr,24-27,30,MORI,TT,27.0,-1.0,55.0,2.0,14.0,0.0,-28.0,-3.0,,
,Apr,,,G9000,,26.5,-2.8,53.8,2.7,15.3,1.3,-27.3,-5.5,,
,May,13-14,17,ICM,OB,25.0,-4.0,47.0,-5.0,15.0,-1.0,-22.0,1.0,,
,May,15-19,20,ICM,GU,29.0,4.0,50.0,3.0,16.0,1.0,-21.0,1.0,,
,May,21-24,28,MORI,TT,26.0,-1.0,55.0,0.0,14.0,0.0,-29.0,-1.0,,
,May,28-3,5,Gallup,DT,28.0,3.0,54.0,0.0,12.0,-4.0,-26.0,3.0,,
,May,,,G9000,,25.9,-0.6,55.2,1.4,13.8,-1.5,-29.3,-2.0,,
,Jun,5-6,9,ICM,GU,29.0,0.0,51.0,1.0,16.0,0.0,-22.0,-1.0,,
,Jun,24-26,29,MORI,Sun,28.0,-2.0,51.0,-3.0,15.0,2.0,-23.0,1.0,Phone,
,Jun,25-30,2,MORI,TT,27.0,1.0,56.0,1.0,13.0,-1.0,-29.0,0.0,,
,Jun,25-1,3,Gallup,DT,28.0,0.0,52.0,-2.0,14.0,2.0,-24.0,2.0,,
,Jun,,,Gallup,,27.1,1.2,54.1,-1.1,12.8,-1.0,-27.0,2.3,,
,Jul,3-4,7,ICM,GU,27.0,-2.0,52.0,1.0,17.0,1.0,-25.0,-3.0,,
,Jul,17-21,23,MORI,TT,28.0,1.0,53.0,-3.0,14.0,0.0,-25.0,4.0,,
,Jul,,,Gallup,,27.8,0.7,53.9,-0.2,12.7,-0.1,-26.1,0.9,,
,Aug,30-5,7,Gallup,DT,28.0,0.0,53.0,1.0,13.0,-1.0,-25.0,-1.0,,
,Aug,7-9,15,ICM,GU,31.0,4.0,47.0,-5.0,17.0,0.0,-16.0,9.0,,
,Aug,21-24,28,MORI,TT,28.0,0.0,52.0,-1.0,14.0,0.0,-24.0,1.0,,
,Aug,26-3,4,Gallup,DT,28.0,0.0,54.0,1.0,12.0,-1.0,-26.0,-1.0,,
,Aug,,,Gallup,,28.0,0.2,54.9,1.0,12.0,-0.7,-26.9,-0.8,,
,Sep,4-6,9,ICM,GU,29.0,-2.0,49.0,2.0,17.0,0.0,-20.0,-4.0,,
,Sep,18-21,24,MORI,TT,24.0,-4.0,56.0,4.0,15.0,1.0,-32.0,-8.0,,
,Sep,24-30,7,Gallup,DT,23.0,-5.0,57.0,3.0,15.0,3.0,-34.0,-8.0,,
,Sep,,,Gallup,,28.0,0.0,54.1,-0.8,12.6,0.6,-26.1,0.8,,
,Oct,1-4,6,ICM,GU,29.0,0.0,51.0,2.0,15.0,-2.0,-22.0,-2.0,,
,Oct,23-26,29,MORI,TT,26.0,2.0,53.0,-3.0,16.0,1.0,-27.0,5.0,,
,Oct,29-4,6,Gallup,DT,28.0,5.0,54.0,3.0,14.0,-1.0,-26.0,8.0,,
,Oct,,,Gallup,,25.3,-2.7,56.5,2.4,13.0,0.4,-31.2,-5.1,,
,Nov,6-7,10,ICM,GU,27.0,-2.0,51.0,0.0,17.0,2.0,-24.0,-2.0,,
,Nov,20-23,26,MORI,TT,29.0,3.0,53.0,0.0,13.0,-3.0,-24.0,3.0,,
,Nov,26-2,4,Gallup,DT,29.0,1.0,55.0,1.0,11.0,-3.0,-26.0,0.0,,
,Nov,,,Gallup,,27.2,1.9,54.3,-2.2,13.1,0.1,-27.1,4.1,,
,Dec,4-7,9,ICM,GU,29.0,2.0,49.0,-2.0,16.0,-1.0,-20.0,4.0,,
,Dec,9-15,,NOP,ES,27.0,,55.0,,12.0,,-28.0,,,
,Dec,11-14,17,MORI,TT,27.0,-2.0,54.0,1.0,12.0,-1.0,-27.0,-3.0,,
,Dec,30-3,5,ICM,GU,30.0,1.0,50.0,1.0,15.0,-1.0,-20.0,0.0,,
,Dec,,,Gallup,,27.1,-0.1,55.5,1.2,12.3,-0.8,-28.4,-1.3,,
1999,Jan,4-6,8,Gallup,DT,29.0,0.0,52.0,-3.0,13.0,2.0,-23.0,3.0,,
,Jan,5-6,8,NOP,DE,24.0,-3.0,48.0,-7.0,19.0,7.0,-24.0,4.0,,
,Jan,6-12,13,NOP,ES,25.0,1.0,57.0,9.0,12.0,-7.0,-32.0,-8.0,,
,Jan,22-25,28,MORI,TT,24.0,-3.0,56.0,2.0,14.0,2.0,-32.0,-5.0,,
,Jan,28-3,5,Gallup,DT,29.0,0.0,53.0,1.0,13.0,0.0,-24.0,-1.0,,
,Jan,,,Gallup,,27.8,0.7,53.7,-1.8,13.1,0.8,-25.9,2.5,,
,Feb,5-7,9,ICM,GU,28.0,-2.0,49.0,-1.0,16.0,1.0,-21.0,-1.0,,
,Feb,19-22,26,MORI,TT,30.0,6.0,51.0,-5.0,14.0,0.0,-21.0,11.0,,
,Feb,26-4,5,Gallup,DT,30.0,1.0,52.0,-1.0,11.0,-2.0,-22.0,2.0,,
,Feb,,,Gallup,,27.5,-0.3,53.9,0.2,13.6,0.5,-26.4,-0.5,,
,Mar,5-7,11,ICM,GU,29.0,1.0,52.0,3.0,16.0,0.0,-23.0,-2.0,,
,Mar,19-22,24,MORI,TT,27.0,-3.0,54.0,3.0,13.0,-1.0,-27.0,-6.0,,
,Mar,30-7,9,Gallup,DT,27.0,-3.0,54.0,2.0,13.0,2.0,-27.0,-5.0,,
,Mar,,,Gallup,,28.5,1.0,53.3,-0.6,12.8,-0.8,-24.8,1.6,,
,Apr,16-17,21,ICM,GU,28.0,-1.0,50.0,-2.0,17.0,1.0,-22.0,1.0,,
,Apr,21-28,30,Gallup,DT,29.0,2.0,52.0,-2.0,13.0,0.0,-23.0,4.0,,
,Apr,23-26,29,MORI,TT,25.0,-2.0,56.0,2.0,13.0,0.0,-31.0,-4.0,,
,Apr,28-30,2,NOP,SE,28.0,3.0,55.0,-2.0,11.0,-1.0,-27.0,5.0,,
,Apr,30-1,2,MORI,MoS,30.0,,50.0,,14.0,,-20.0,,Phone,
,Apr,,,Gallup,,26.1,-2.4,55.4,2.1,12.9,0.1,-29.3,-4.5,,
,May,7-8,11,ICM,GU,28.0,0.0,51.0,1.0,16.0,-1.0,-23.0,-1.0,,
,May,7-8,11,ICM,GU,28.0,0.0,51.0,1.0,16.0,-1.0,-23.0,-1.0,,
,May,15-20,,MORI,UKIP,25.0,0.0,52.0,-4.0,17.0,4.0,-27.0,4.0,,
,May,21-24,26,MORI,TT,28.0,3.0,52.0,-4.0,14.0,1.0,-24.0,-7.0,,
,May,26-2,4,Gallup,DT,24.0,-5.0,52.0,0.0,16.0,3.0,-28.0,-5.0,,
,May,,,Gallup,,26.7,0.6,53.6,-1.8,13.8,0.9,-26.9,2.4,,
,Jun,4-5,8,ICM,GU,29.0,1.0,46.0,-5.0,19.0,3.0,-17.0,6.0,,
,Jun,18-21,24,MORI,TT,28.0,3.0,51.0,-1.0,13.0,-4.0,-23.0,4.0,,
,Jun,23-30,,Gallup,DT,27.0,3.0,51.0,-1.0,14.0,-2.0,-24.0,4.0,,
,Jun,,,Gallup,,26.7,0.0,50.2,-3.4,15.2,1.4,-23.5,3.4,,
,Jul,9-11,13,ICM,GU,31.0,2.0,48.0,2.0,16.0,-3.0,-17.0,0.0,,
,Jul,23-26,28,MORI,TT,28.0,0.0,51.0,0.0,14.0,1.0,-23.0,0.0,,
,Jul,28-4,6,Gallup,DT,30.0,3.0,51.0,0.0,12.0,-2.0,-21.0,3.0,,
,Jul,,,Gallup,,27.6,0.9,51.5,1.3,14.0,-1.2,-23.9,-0.4,,
,Aug,13-14,18,ICM,GU,30.0,-1.0,48.0,0.0,16.0,0.0,-18.0,-1.0,,
,Aug,20-23,26,MORI,TT,27.0,-1.0,49.0,-2.0,17.0,3.0,-22.0,1.0,,
,Aug,25-1,3,Gallup,DT,27.0,-3.0,52.0,1.0,13.0,1.0,-25.0,-4.0,,
,Aug,,,Gallup,,27.7,0.1,51.6,0.1,14.4,0.4,-23.9,0.0,,
,Sep,9-11,,MORI,,32.0,,49.0,,13.0,,-17.0,,Phone,
,Sep,9-11,12,MORI,MoS,32.0,5.0,49.0,0.0,13.0,-4.0,-17.0,5.0,,
,Sep,17-19,27,ICM,GU,32.0,2.0,45.0,-3.0,16.0,0.0,-13.0,5.0,,
,Sep,21-22,26,ICM,OB,32.0,0.0,47.0,2.0,16.0,0.0,-15.0,-2.0,,
,Sep,23-29,4,Gallup,DT,29.0,2.0,52.0,0.0,13.0,0.0,-23.0,2.0,,
,Sep,24-27,30,MORI,TT,25.0,-7.0,52.0,3.0,17.0,4.0,-27.0,-10.0,,
,Sep,,,Gallup,,27.6,-0.1,52.8,1.2,13.3,-1.1,-25.2,-1.3,,
,Oct,13-14,15,MORI,Sun,31.0,-1.0,52.0,3.0,13.0,0.0,-21.0,-4.0,Phone,
,Oct,22-25,29,MORI,TT,28.0,3.0,56.0,4.0,11.0,-6.0,-28.0,-1.0,,
,Oct,22-26,27,ICM,GU,32.0,0.0,45.0,-2.0,17.0,1.0,-13.0,2.0,,
,Oct,27-2,5,Gallup,DT,28.0,-1.0,52.0,0.0,14.0,1.0,-24.0,-1.0,,
,Oct,,,Gallup,,27.6,0.0,53.2,0.4,12.7,-0.6,-25.6,-0.4,,
,Nov,8-10,11,MORI,DM,32.0,1.0,50.0,-2.0,12.0,-1.0,-18.0,3.0,Phone,
,Nov,12-14,17,ICM,GU,34.0,2.0,44.0,-1.0,15.0,-2.0,-10.0,3.0,,
,Nov,19-22,25,MORI,TT,25.0,-3.0,55.0,-1.0,14.0,3.0,-30.0,-2.0,,
,Nov,25-1,3,Gallup,DT,27.0,-1.0,53.0,1.0,15.0,1.0,-26.0,-2.0,,
,Nov,,,Gallup,,27.4,-0.2,52.8,-0.4,14.3,1.6,-25.4,0.2,,
,Dec,10-12,14,ICM,GU,29.0,-5.0,48.0,4.0,17.0,2.0,-19.0,-9.0,,
,Dec,10-14,16,MORI,TT,28.0,3.0,54.0,-1.0,13.0,-1.0,-26.0,4.0,,
,Dec,,,Gallup,,27.0,-0.4,54.2,1.4,13.3,-1.0,-27.2,-1.8,,
2000,Jan,5-12,14,Gallup,DT,30.0,3.0,53.0,0.0,12.0,-3.0,-23.0,3.0,,
,Jan,14-17,19,ICM,GU,30.0,1.0,47.0,-1.0,17.0,0.0,-17.0,2.0,,
,Jan,20-25,27,MORI,TT,30.0,2.0,50.0,-4.0,15.0,2.0,-20.0,6.0,,
,Jan,25-27,29,MORI,DM,29.0,,49.0,,15.0,,-20.0,,Phone,
,Jan,,,Gallup,,28.3,1.3,52.5,-1.7,13.5,0.2,-24.2,3.0,,
,Feb,2-6,11,Gallup,DT,28.0,-2.0,49.0,-4.0,15.0,3.0,-21.0,2.0,,
,Feb,11-13,14,ICM,GU,29.0,-1.0,44.0,-3.0,18.0,1.0,-15.0,2.0,,
,Feb,17-22,24,MORI,TT,29.0,-1.0,50.0,0.0,15.0,0.0,-21.0,-1.0,,
,Feb,,,Gallup,,29.1,0.8,51.3,-1.2,12.9,-0.6,-22.2,2.0,,
,Mar,1-7,10,Gallup,DT,31.0,3.0,51.0,2.0,11.0,-4.0,-20.0,1.0,,
,Mar,17-19,20,ICM,GU,32.0,3.0,44.0,0.0,16.0,-2.0,-12.0,3.0,,
,Mar,23-28,31,MORI,TT,29.0,0.0,50.0,0.0,14.0,-1.0,-21.0,0.0,,
,Mar,,,Gallup,,29.8,0.7,50.9,-0.4,12.7,-0.2,-21.1,1.1,,
,Apr,5-11,14,Gallup,DT,32.0,1.0,50.0,-1.0,12.0,1.0,-18.0,2.0,,
,Apr,13-18,19,MORI,TT,27.0,-2.0,51.0,1.0,15.0,1.0,-24.0,-3.0,,
,Apr,14-15,19,ICM,GU,32.0,0.0,45.0,1.0,15.0,-1.0,-13.0,-1.0,,
,Apr,,,Gallup,,30.4,0.6,49.5,-1.4,13.1,0.4,-19.1,2.0,,
,May,3-9,12,Gallup,DT,31.0,-1.0,47.0,-3.0,14.0,2.0,-16.0,2.0,,
,May,6-7,,ICM,Con,35.0,3.0,43.0,-2.0,15.0,0.0,-8.0,5.0,,
,May,13-15,16,ICM,GU,34.0,-1.0,41.0,-2.0,18.0,3.0,-7.0,1.0,,
,May,17-19,19?,MORI,DM,33.0,,46.0,,14.0,,-13.0,,Phone,
,May,18-23,25,MORI,TT,32.0,5.0,48.0,-3.0,15.0,0.0,-16.0,8.0,,
,May,31-6,9,Gallup,DT,30.0,-1.0,49.0,2.0,15.0,1.0,-19.0,-3.0,,
,May,,,Gallup,,32.5,2.1,47.3,-2.2,13.4,0.3,-14.8,4.3,,
,Jun,8-9,11,MORI,MoS,38.0,5.0,41.0,-5.0,16.0,2.0,-3.0,10.0,Phone,
,Jun,22-23,25,MORI,NoW,34.0,-4.0,47.0,6.0,14.0,-2.0,-13.0,-10.0,Phone,
,Jun,22-27,29,MORI,TT,33.0,1.0,47.0,-1.0,13.0,-2.0,-14.0,2.0,,
,Jun,23-26,28,ICM,GU,32.0,-2.0,43.0,2.0,17.0,-1.0,-11.0,4.0,,
,Jun,29-30,2,MORI,MoS,32.0,-2.0,46.0,-1.0,17.0,3.0,-14.0,-1.0,Phone,
,Jun,,,Gallup,,31.7,-0.8,46.7,-0.6,15.2,1.8,-15.0,-0.2,,
,Jul,5-11,14,Gallup,DT,35.0,5.0,45.0,-4.0,14.0,-1.0,-10.0,9.0,,
,Jul,12-14,16,MORI,MoS,32.0,0.0,47.0,1.0,15.0,-2.0,-15.0,-1.0,Phone,
,Jul,14-15,18,ICM,GU,35.0,3.0,42.0,-1.0,17.0,0.0,-7.0,4.0,,
,Jul,20-22,23,MORI,MoS,32.0,0.0,51.0,4.0,11.0,-4.0,-19.0,-5.0,Phone,
,Jul,20-24,28,MORI,TT,33.0,0.0,49.0,2.0,12.0,-1.0,-16.0,-2.0,,
,Jul,,,Gallup,,32.0,0.3,48.9,2.2,12.7,-2.5,-16.9,-1.9,,
,Aug,2-7,11,Gallup,DT,32.0,-3.0,47.0,2.0,14.0,0.0,-15.0,-5.0,,
,Aug,11-13,16,ICM,GU,34.0,-1.0,44.0,2.0,17.0,0.0,-10.0,-3.0,,
,Aug,17-18,20,MORI,NoW,32.0,0.0,51.0,0.0,12.0,1.0,-19.0,0.0,Phone,
,Aug,17-21,24,MORI,TT,29.0,-4.0,51.0,2.0,15.0,3.0,-22.0,-6.0,,
,Aug,31-6,,MORI,,32.0,3.0,48.0,-3.0,13.0,-2.0,-16.0,6.0,,
,Aug,,,Gallup,,29.7,-2.3,50.6,1.7,13.3,0.6,-20.9,-4.0,,
,Sep,6-12,,MFS,,30.0,-2.0,45.0,-3.0,17.0,4.0,-15.0,1.0,,
,Sep,6-12,,MORI,,30.0,-2.0,45.0,-3.0,17.0,4.0,-15.0,1.0,,
,Sep,6-12,15,Gallup,DT,32.0,0.0,45.0,-2.0,16.0,2.0,-13.0,2.0,,
,Sep,13-19,21,Gallup,DT,40.0,8.0,35.0,-10.0,16.0,0.0,5.0,18.0,,
,Sep,14-15,17,MORI,NoW,38.0,6.0,36.0,-15.0,21.0,9.0,2.0,21.0,Phone,
,Sep,14-16,17,NOP,ST,37.0,,37.0,,18.0,,0.0,,,
,Sep,14-19,,MORI,,37.0,7.0,36.0,-9.0,19.0,2.0,1.0,16.0,,
,Sep,14-19,25,MFS,Schroder Salomon Smith Barney,36.0,,36.0,,21.0,,0.0,,F2F,
,Sep,15-17,19,ICM,GU,38.0,4.0,34.0,-10.0,22.0,5.0,4.0,14.0,,
,Sep,20-26,2,Gallup,DT,36.0,-4.0,39.0,4.0,20.0,4.0,-3.0,-8.0,,
,Sep,21-22,24,MORI,MoS,39.0,1.0,35.0,-1.0,21.0,0.0,4.0,2.0,Phone,
,Sep,21-23,23,NOP,C4,40.0,3.0,32.0,-5.0,22.0,4.0,8.0,8.0,,
,Sep,21-26,28,MORI,TT,35.0,-2.0,37.0,1.0,21.0,2.0,-2.0,-3.0,,
,Sep,28-29,1,NOP,SE,37.0,-3.0,43.0,11.0,13.0,-9.0,-6.0,-14.0,,
,Sep,29-30,1,ICM,NoW,37.0,-1.0,38.0,4.0,20.0,-2.0,-1.0,-5.0,,
