Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,CUK good,CUK bad,CUK net,BXP good,BXP bad,BXP net,Question,Con Best PM,Lab Best PM,LD Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,
,Jul,31-1,31/7/17,3,,YouGov,TT,41.0,0.0,44.0,1.0,7.0,1.0,3.0,0.0,2.0,0.0,,,,,-3.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,33.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Aug,7-11,7/8/17,13,,BMG,IoS,42.0,4.0,39.0,-2.0,7.0,-2.0,6.0,0.0,3.0,0.0,,,,,3.0,,Internet,,,,36.0,50.0,-14.0,40.0,38.0,2.0,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,32.0,33.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Aug,15-16,15/8/17,,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,31.0,58.0,-27.0,38.0,51.0,-13.0,18.0,45.0,-27.0,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Aug,15-18,15/8/17,20,,Opinium,Ob,40.0,-1.0,43.0,0.0,6.0,1.0,4.0,-1.0,2.0,0.0,,,,,-3.0,-1.0,Internet,,,,31.0,48.0,-17.0,35.0,40.0,-5.0,14.0,35.0,-21.0,,,,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,34.0,30.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Aug,21-22,21/8/17,29,,YouGov,TT,41.0,0.0,42.0,-2.0,8.0,1.0,4.0,1.0,1.0,-1.0,,,,,-1.0,2.0,Internet,,,,36.0,53.0,-17.0,,,,,,,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,37.0,33.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Aug,25-28,25/8/17,29,,ICM,Gu,42.0,0.0,42.0,-1.0,7.0,0.0,3.0,0.0,3.0,1.0,,,,,0.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,25-29,25/8/17,,,Sky,,,,,,,,,,,,,,,,,,Internet,,,,33.0,61.0,-28.0,39.0,52.0,-13.0,,,,,,,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,
,Aug,30-31,30/8/17,4,,YouGov,TT,41.0,0.0,42.0,0.0,6.0,-2.0,4.0,,2.0,1.0,,,,,-1.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,32.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Aug,31-1,31/8/17,3,,Survation,MoS,38.0,-1.0,43.0,2.0,7.0,-1.0,4.0,-2.0,,,,,,,-5.0,-3.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,4-5,4/9/17,,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,34.0,54.0,-20.0,36.0,50.0,-14.0,23.0,38.0,-15.0,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Sep,8-10,8/9/17,12,,ICM,Gu,42.0,0.0,42.0,0.0,7.0,0.0,4.0,1.0,3.0,0.0,,,,,0.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,11-12,11/9/17,,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,30.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Sep,12-13,12/9/17,15,,YouGov,,41.0,0.0,42.0,0.0,7.0,1.0,3.0,-1.0,2.0,0.0,,,,,-1.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,12-15,12/9/17,17,,Opinium,Ob,41.0,1.0,41.0,-2.0,5.0,-1.0,5.0,1.0,3.0,1.0,,,,,0.0,3.0,Internet,,,,33.0,44.0,-11.0,33.0,40.0,-7.0,13.0,35.0,-22.0,,,,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,36.0,28.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Sep,12-15,12/9/17,20,,BMG,Ind,39.0,-3.0,38.0,-1.0,8.0,1.0,6.0,0.0,4.0,1.0,,,,,1.0,-2.0,Internet,,,,34.0,50.0,-16.0,34.0,42.0,-8.0,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,32.0,28.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Sep,15-18,15/9/17,21,,Ipsos MORI,ES,40.0,-1.0,44.0,2.0,9.0,0.0,2.0,-1.0,1.0,-1.0,,,,,-4.0,-3.0,Phone,,,,37.0,54.0,-17.0,43.0,46.0,-3.0,30.0,31.0,-1.0,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,30.0,60.0,-30.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,
,Sep,15-20,15/9/17,26,,Survation,LabourList,40.0,2.0,41.0,-1.0,7.0,-1.0,5.0,1.0,2.0,0.0,,,,,-1.0,3.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,19-22,19/9/17,24,,Opinium,Ob,42.0,1.0,40.0,-1.0,6.0,1.0,4.0,-1.0,2.0,-1.0,,,,,2.0,2.0,Internet,,,,33.0,44.0,-11.0,32.0,42.0,-10.0,18.0,34.0,-16.0,,,,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,36.0,26.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Sep,22,22/9/17,24,,Survation,MoS,38.0,0.0,42.0,-1.0,8.0,1.0,4.0,0.0,2.0,,,,,,-4.0,1.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,22-24,22/9/17,25,,ICM,Gu,40.0,-2.0,42.0,0.0,8.0,1.0,4.0,0.0,2.0,-1.0,,,,,-2.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,22-24,22/9/17,27,,YouGov,TT,39.0,-2.0,43.0,1.0,7.0,0.0,4.0,1.0,2.0,0.0,,,,,-4.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,29.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Sep,26-29,26/9/17,8,,BMG,Ind,37.0,-2.0,42.0,4.0,10.0,2.0,4.0,-2.0,3.0,-1.0,,,,,-5.0,-6.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,30.0,32.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Oct,4-5,4/10/17,6,,YouGov,TT,40.0,1.0,42.0,-1.0,7.0,0.0,4.0,0.0,2.0,0.0,,,,,-2.0,2.0,Internet,,,,31.0,59.0,-28.0,,,,,,,,,,,,,,,,,,,Do you think X is doing well or badly as Y?,36.0,33.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Oct,4-5,4/10/17,18,,Survation,,38.0,0.0,44.0,2.0,7.0,-1.0,4.0,0.0,1.0,-1.0,,,,,-6.0,-2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,4-6,4/10/17,8,,Opinium,Ob,40.0,-2.0,42.0,2.0,5.0,-1.0,5.0,1.0,2.0,0.0,,,,,-2.0,-4.0,Internet,,,,30.0,47.0,-17.0,35.0,40.0,-5.0,14.0,33.0,-19.0,,,,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,32.0,29.0,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,,,,
,Oct,6-8,6/10/17,9,,ICM,Gu,41.0,1.0,41.0,-1.0,7.0,-1.0,4.0,0.0,2.0,0.0,,,,,0.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,10-11,10/10/17,13,,YouGov,TT,39.0,-1.0,42.0,0.0,8.0,1.0,4.0,0.0,2.0,0.0,,,,,-3.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,33.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Oct,16-20,17/10/17,,,BMG,Ind,37.0,0.0,43.0,1.0,8.0,-2.0,4.0,0.0,4.0,1.0,,,,,-6.0,-1.0,Internet,,,,32.0,54.0,-22.0,35.0,44.0,-9.0,,,,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,29.0,31.0,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister? ",,,,,,,,,,,
,Oct,18-19,18/10/17,20,,YouGov,TT,40.0,1.0,42.0,0.0,8.0,0.0,4.0,0.0,2.0,0.0,,,,,-2.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,20-23,20/10/17,24,,ICM,Gu,42.0,1.0,42.0,1.0,7.0,0.0,3.0,-1.0,2.0,0.0,,,,,0.0,0.0,Internet,,,,34.0,50.0,-16.0,37.0,43.0,-6.0,,,,,,,,,,,,,,,,"From what you have seen or heard, do you think (title) X is doing a good job or a bad job?",,,,,,,,,,,,,,,,
,Oct,23-24,23/10/17,27,,YouGov,TT,41.0,1.0,43.0,1.0,7.0,-1.0,3.0,-1.0,2.0,0.0,,,,,-2.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,27-1,27/10/17,3,,Ipsos MORI,ES,38.0,-2.0,40.0,-4.0,9.0,0.0,4.0,2.0,3.0,2.0,,,,,-2.0,2.0,Phone,,,,37.0,53.0,-16.0,42.0,45.0,-3.0,26.0,33.0,-7.0,,,,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,30.0,59.0,-29.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,
,Nov,7-8,7/11/17,10,,YouGov,TT,40.0,-1.0,43.0,0.0,6.0,-1.0,4.0,1.0,2.0,0.0,,,,,-3.0,-1.0,Internet,,,,31.0,55.0,-24.0,44.0,39.0,5.0,,,,,,,,,,,,,,,,Do you think X is doing well or badly as Y?,34.0,31.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,
,Nov,7-9,7/11/17,,,Sky,,,,,,,,,,,,,,,,,,Internet,,,,32.0,65.0,-33.0,48.0,47.0,1.0,19.0,45.0,-26.0,,,,,,,,,,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,
,Nov,9-10,9/11/17,14,,YouGov,,,,,,,,,,,,,,,,,,Internet,,,,32.0,55.0,-23.0,38.0,48.0,-10.0,20.0,44.0,-24.0,,,,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,,,
,Nov,10-12,10/11/17,15,,ICM,Gu,41.0,-1.0,41.0,-1.0,7.0,0.0,4.0,1.0,2.0,0.0,,,,,0.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
